Grapheme	IPA
^tịṭti	t i ʈ  + ʈ i
^thjoba	tʰ j o + b a
^gri	g r i
^lo̤ra	l o̤ + r a
a	a
ʌ	ʌ
i	i
b	+ b
j	+ j
u	u
r	+ r
o	o
e	e
^k	k
l	+ l
^m	m
^ts	ts
^s	s
^p	p
m	+ m
n	+ n
^ŋ	ŋ
^n	n
^t	t
^r	r
s	+ s
õ	õ
^l	l
^kh	kʰ
g	+ g
^j	j
ẽ	ẽ
ĩ	ĩ
^ṭ	ʈ
ã	ã
^b	b
^ph	pʰ
^tsh	tsʰ
d	+ d
ũ	ũ
^a	a
u:	uː
k	+ k
p	+ p
ŋ	+ ŋ
ḍ	+ ɖ
dz	+ dz
ts	+ ts
^th	tʰ
ʌi	ʌi
kh	+ kʰ
ʌi$	ʌi
^dz	dz
t	+ t
i:$	iː
i:	iː
^g	g
^dh	dʱ
rs	r + s
ai$	ai
ṭ	+ ʈ
gh	+ gʱ
au$	au
ʌ̃$	ʌ̃
^bh	bʱ
^d	d
^m̤ra	m r a̤
w	+ w
ẽ̤	ẽ̤
ʌ̃	ʌ̃
i̤$	i̤
ai	ai
^w	w
h	+ h
^ã	ã
gh$	gʱ
tsh	+ tsʰ
iu$	iu
ʌĩ$	ʌĩ
^gh	gʱ
kk	k + k
u:$	uː
ou$	ou
ṭṭ	ʈ + ʈ
mm	m + m
^Ph	pʰ
ʌu$	ʌu
^h	h
oẽ$	oẽ
ʌẽ$	ʌẽ
e̤$	e̤
uĩ$	uĩ
ũ:$	ũː
e:$	eː
ui$	ui
tsh$	tsʰ
oĩ$	oĩ
^aũ	aũ
ms	m + s
ʌ:$	ʌː
ʌ̤$	ʌ̤
ph	+ pʰ
ʌũ$	ʌũ
ʌĩ	ʌĩ
th	+ tʰ
ui	ui
^ʌ	ʌ
iu	iu
^n̤ʌ	n ʌ̤
ṭh	+ ʈʰ
ʌu	ʌu
oi$	oi
o̤$	o̤
^ḍ	ɖ
ṭh$	ʈʰ
aĩ$	aĩ
dh	+ dʱ
^i	i
bh	+ bʱ
ll	l + l
tt	t + t
ts$	ts
ĩu$	ĩu
ũi	ũi
ns	n + s
^r̤idu	r i̤ + d u
au	au
ae$	ae
^e	e
ũi$	ũi
ʌe$	ʌe
ʌa$	ʌa
õu$	õu
ẽ̤	ẽ̤
ei	ei
^tsj	ts j
^kr	k r
^nw	n w
rd	r + d
rdz	r + dz
pl	p + l
^pl	p + l
ml	m + l
bl	b + l
kr	k + r
^khl	kʰ l
^kl	k l
pj	p j
^m̤ra	m r a̤
^phj	pʰ j
rkj	r + k j
lṭ	l + ʈ
gl	g + l
^pr	p r
^mr	m r
rt	r + t
^ṭj	ʈ j
ŋj	ŋ + j
^kj	k j
^sj	s j
msj	m + s j
sj	s + j
br	b + r
nr	n + r
rg	r + g
pr	p + r
^mj	m j
nd	n + d
nt	n + t
lph	l + pʰ
^ml	m l
nṭ	n + ʈ
^pj	p j
lb	l + b
^ŋj	ŋ + j
kj	k + j
gr	g + r
mkh	m + kʰ
mr	m + r
lm	l + m
ghj	+ gʱ j
tsj	+ ts j
dzj	+ dz j
tm	t + m
^phr	pʰ r
^tj	t j
dg	d + g
dr	d + r
^tshj	tsʰ j
tshj	+ tsʰ j
rb	r + b
^tshb	tsʰ b
rgj	r + g j
rj	r + j
^thj	ʰ j
gj	+ g j
lg	l + g
lgj	l + g j
^gr	^ g r
khr	+ kʰ r
^br	b r
nts	n + ts
khl	+ kʰ l
tj	t + j
kn	k + n
ŋb	ŋ + b
nb	n + b
^khr	kʰ r
gḍ	g + ɖ
^hj	h j
nl	n + l
_	NULL
ʌ:	ʌː
^m̤ri	m r i̤
