Grapheme	IPA	Frequency	Examples	Languages
a	a	954	jam//jam	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
m	m	299	jam//jam	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
ŋ	ŋ	267	ṭaŋ//ṭaŋ	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
n	n	258	nabak//nabhak	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
o	o	253	pok//pok	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
k	k	237	pok//pok	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
i	i	229	chaṭṭi//chaṭṭi	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
u	u	211	nabhu//nabu	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
ə	ə	167	ŋaləŋ//mək	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
w	w	152	ṭaŋmɨwa//ṭaŋmwa	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
e	e	146	lem//lem	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
s	s	124	sɨŋ//sɨŋ	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
l	l	118	ŋalɨŋ//ŋalɨŋ	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
kh	kh	113	khɨ//khɨ	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
b	b	111	nabak//nabak	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
ɨ	ɨ	101	ṭaŋmɨwa//ŋalɨŋ	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
j	j	100	jam//jam	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
ch	ch	93	chaṭṭi//chaṭṭi	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
p	p	91	pok//pok	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
r	r	87	nəŋra//nəŋra	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
c	c	87	cuwa//cuwa	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
t	t	84	taŋma//ten	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
d	d	74	do//do	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
h	h	62	həṭkela//həṭkela	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
ṭ	ṭ	52	ṭaŋ//ṭaŋ	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
g	g	32	aŋguli//luŋganukkha	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
ʔ	ʔ	30	phophoʔwa//phophoʔwa	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
ḍ	ḍ	28	ḍo//ḍo	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
dh	dh	25	dhuri//dhago	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
mm	mm	18	ladimma//ninamma	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
dz	dz	18	dzəu//dzəu	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
kk	kk	16	cəkku//cəkku	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
