Grapheme	IPA	Frequency	Examples	Languages
ai	ai	16	waichet//waichet	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
əu	əu	15	siləuṭa//əuṭhi	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
+	+	15	banda kopi//bənda kopi	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
bh	bh	14	nabhak//nabhak	Lungin (Hatuwa)/Khoku, Dhankuta/Thidingkha, (Amchok)/Okhre, Khena
ŋs	ŋs	11	koŋsa//sɨŋsɨwa	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
ṭh	ṭh	11	əuṭhi//əuṭhi	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
ui	ui	10	kuina//kuina	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
ks	ks	10	ŋaksi//ŋaksi	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
ḍh	ḍh	9	chɨkuḍhap//ḍhuri	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
ph	ph	8	phophoʔwa//phophoʔwa	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
əi	əi	8	dəilo//dəilo	Thidingkha, (Amchok)/Timma, Rimchim
gh	gh	8	jaghaŋma//jaghaŋma	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
pp	pp	7	cheppa//cheppa	Khoku, Dhankuta/Timma, Rimchim/Okhre, Khena
kʰ	kʰ	7	jaŋkʰabuk//kʰakʰut	Timma, Rimchim/Okhre, Khena
ao	ao	7	cijao//usao	Timma, Rimchim/Okhre, Khena
nn	nn	7	khannujaŋwo//oṭoŋninno	Lungin (Hatuwa)/Thidingkha, (Amchok)/Timma, Rimchim/Okhre, Khena
əye	əye	5	eksəye//eksəye	Thidingkha, (Amchok)/Timma, Rimchim/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta
th	th	4	thabuk//thabut	Lungin (Hatuwa)/Timma, Rimchim/Okhre, Khena
ṭṭ	ṭṭ	3	chaṭṭi//chaṭṭi	Lungin (Hatuwa)/Khoku, Dhankuta/Timma, Rimchim
tt	tt	3	chatti//chatti	Thidingkha, (Amchok)/Okhre, Khena
cʰ	cʰ	2	cʰuri//nicʰak	Khoku, Dhankuta/Timma, Rimchim
bʰ	bʰ	2	bʰen//bʰen	Timma, Rimchim/Okhre, Khena
ã	ã	2	ãp//ãp	Timma, Rimchim/Okhre, Khena
ua	ua	2	nuak//chua	Thidingkha, (Amchok)/Timma, Rimchim
?	?	2	umphe?phe?wa//umphe?phe?wa	Okhre, Khena
dzh	dzh	2	dzharak//dzharak	Okhre, Khena
dʰ	dʰ	1	dʰoka	Okhre, Khena
oi	oi	1	maŋkoi	Lungin (Hatuwa)
ss	ss	1	khanəssawo	Thidingkha, (Amchok)
oa	oa	1	wahoa	Thidingkha, (Amchok)
eu	eu	1	beuwa	Khoku, Dhankuta
jh	jh	1	jhana	Thidingkha, (Amchok)
ə:	ə:	1	dhə:na	Lungin (Hatuwa)
u:	u:	1	hju:na	Lungin (Hatuwa)
wh	wh	1	wha	Lungin (Hatuwa)
M	M	1	Mitma sɨʔwaŋ	Khoku, Dhankuta
