Grapheme	IPA
ĩ	ĩ
t̃$	t
ẽ	ẽ
ty	+ t j
^ty	t j
u:	uː
ŋgh	ŋ + gʱ
rkh	r + kʰ
a	a
i	i
e	e
m	+ m
n	+ n
o	o
u	u
k	+ k
ŋ	+ ŋ
r	+ r
b	+ b
t	+ t
^s	s
l	+ l
ə	ə
^m	m
^l	l
^a	a
s	+ s
^n	n
w	+ w
^kh	kʰ
^h	h
^w	w
^p	p
p	+ p
^u	u
g	+ g
^ph	pʰ
^ts	ts
^tsh	tsʰ
d	+ d
ts	+ ts
^b	b
^t	t
^k	k
tsh$	tsʰ
tsh	+ tsʰ
ṭ	+ ʈ
bh	+ bʱ
^ya	j a
ɖ	+ ɖ
dz	+ dz
ya$	j a
kh	+ kʰ
h	+ h
^th	tʰ
ph	+ pʰ
^d	d
^i	i
^dz	dz
^r	r
^ye	j e
^dh	dʱ
^yu	j u
ai$	ai
^e	e
bb	b + b
dh	dʱ
mm	m + m
^g	g
ya	j a
nn	n + n
ms	m + s
au	au
^o	o
əu$	əu
ŋs	ŋ + s
^ṭ	ʈ
pp$	p + p
iu$	iu
ai	ai
aũ$	aũ
th$	tʰ
^c	tʃ
^mh	m̥
j	+ dʒ
^bh	bʱ
au$	au
əũ$	əũ
iya	i j a
th	+ tʰ
ũ	ũ
ẽ	ẽ
^ŋ	ŋ
pp	p + p
gh	+ gʱ
rs	r + s
^ṭh	ʈʰ
ks$	k + s
əy	əi̯
ph$	pʱ
^ãi	ãi
ks	k + s
sh	ʃ
nn$	n + n
yu	j u
^yo	j o
mm$	m + m
^ə	ə
ã	ã
oi$	oi
ye	j e
ms$	m + s
^gh	gʱ
ŋh	ŋ + h
ɖh	ɖʱ
^dzh	dzʱ
^ai	ai
əya	ə + j a
ei$	ei
uyu	u + j u
^yei	j ei
iye	i + j e
ui$	ui
^əũ	əũ
euə	e + w ə
t̃	t
ae$	ae
dzh	+ dzʱ
yu$	j u
yũ$	j ũ
yĩ$	j ĩ
yo	j o
tsyh	tsʰ j
bh$	bʱ
ãyũ	ã + j ũ
ẽyu$	ẽ + j u
iyu	i + j u
kh$	kʰ
^you	j ou
oĩ$	oĩ
oe$	oe
eya$	e + j a
eya	e + j a
kk	k + k
^yuya	j u + j a
iya$	i + j a
^dz	dz
^th	tʰ
^t	t
ŋg	ŋ + g
^kh	kʰ
^ph	pʰ
^n	n
^m	m
^k	k
^l	l
khph	kʰ + pʰ
khp	kʰ + p
^d	d
rm	r + m
ŋm	ŋ + m
ktsh	k + tsʰ
mb	m + b
kt	k + t
^tsh	tsʰ
km	k + m
^w	w
^h	h
^s	s
rw	r + w
pm	p + m
tm	t + m
^g	g
^p	p
^dh	dʱ
^dhw	dʱ + w
nd	n + d
^r	r
tn	t + n
ṭn	ʈ + n
sk	s + k
^ts	ts
pts	p + ts
kts	k + ts
^b	b
rkh	r + kʰ
^c	c
ŋb	ŋ + b
^gh	gʱ
nb	n + b
mdzh	m + dzʱ
kp	k + p
rk	r + k
ndz	n + dz
ŋbh	ŋ + bʱ
ŋgb	ŋ + b
^mh	m̥
ŋt	ŋ + t
lph	l + pʰ
tl	t + l
^bh	bʱ
nt	n + t
rts	r + ts
rd	r + d
mbh	m + bʱ
^ŋ	ŋ
ŋw	ŋ + w
ŋts	ŋ + ts
rb	r + b
^ṭ	ʈ
ŋgh	ŋ + gh
pl	p + l
^tp	t + p
^tshtl	tsʰ !t/i l
mdz	m + dz
^dzh	dzʱ
^uʔchəwat	u ʔ + tʃʰ ə + w a t
ŋdz	ŋ + dz
mr	m + r
mk	m + k
pt	p + t
pn	p + n
ŋn	ŋ + n
^ṭh	ʈʰ
kn	k + n
tr	t + r
khr	kʰ + r
rg	r + g
mt	m + t
nts	n + ts
ntsh	n + tsʰ
nr	n + r
ṭkh	ʈ + kʰ
mn	m + n
kkh	k + kʰ
kl	k + l
kw	k + w
ŋk	ŋ + k
ng	n + g
