Grapheme	IPA	Frequency	Examples	Languages
a	a	817	taŋge//nabhak	Tekunala/Santang/Khalde/Hatiya /Dhan kuta Bazaar/Guthitar
i	i	291	mik//mik	Tekunala/Santang/Khalde/Hatiya /Dhan kuta Bazaar/Guthitar
e	e	265	thek//thek	Tekunala/Santang/Khalde/Hatiya /Dhan kuta Bazaar/Guthitar
m	+ m	244	marma//tuŋmai	Tekunala/Santang/Khalde/Hatiya /Dhan kuta Bazaar/Guthitar
n	+ n	207	mun//kuino	Tekunala/Santang/Khalde/Hatiya /Dhan kuta Bazaar/Guthitar
o	o	205	nabo//phok	Tekunala/Santang/Khalde/Hatiya /Dhan kuta Bazaar/Guthitar
u	u	198	nubhe//nubhe	Tekunala/Santang/Khalde/Hatiya /Dhan kuta Bazaar/Guthitar
k	+ k	171	thek//thek	Tekunala/Santang/Khalde/Hatiya /Dhan kuta Bazaar/Guthitar
ŋ	+ ŋ	168	taŋge//keŋ	Tekunala/Santang/Khalde/Hatiya /Dhan kuta Bazaar/Guthitar
r	+ r	116	nari//marma	Tekunala/Santang/Khalde/Hatiya /Dhan kuta Bazaar/Guthitar
b	+ b	115	nubek//nabo	Tekunala/Santang/Khalde/Hatiya /Dhan kuta Bazaar/Guthitar
t	+ t	93	nabhat//dut	Tekunala/Santang/Khalde/Hatiya /Dhan kuta Bazaar/Guthitar
^s	s	93	sarwa//saruwa	Tekunala/Santang/Khalde/Hatiya /Dhan kuta Bazaar/Guthitar
l	+ l	78	aŋguli//aŋguli	Tekunala/Santang/Khalde/Hatiya /Dhan kuta Bazaar/Guthitar
ə	ə	77	tohəriŋ//həmər	Tekunala/Santang/Khalde/Hatiya /Dhan kuta Bazaar/Guthitar
^m	m	74	mik//mik	Tekunala/Santang/Khalde/Hatiya /Dhan kuta Bazaar/Guthitar
^l	l	70	lekhpha//lekhpha	Tekunala/Santang/Khalde/Hatiya /Dhan kuta Bazaar/Guthitar
^a	a	70	aŋguli//aŋguli	Tekunala/Santang/Khalde/Hatiya /Dhan kuta Bazaar/Guthitar
s	+ s	65	yasi//yasi	Tekunala/Santang/Khalde/Hatiya /Dhan kuta Bazaar/Guthitar
^n	n	64	nabhak//nabhak	Tekunala/Santang/Khalde/Hatiya /Dhan kuta Bazaar/Guthitar
w	+ w	62	wowa//howa	Tekunala/Santang/Khalde/Hatiya /Dhan kuta Bazaar/Guthitar
^kh	kʰ	54	khyak//khyak	Tekunala/Santang/Khalde/Hatiya /Dhan kuta Bazaar/Guthitar
^h	h	53	howa//həuwa	Tekunala/Santang/Khalde/Hatiya /Dhan kuta Bazaar/Guthitar
