Grapheme	IPA
+	+
_	+
^H	h
^J	dʒ
^M	m
^a	a
^b	b
^bh	bʱ
^c	tʃ
^ch	tʃʰ
^d	d
^dh	dʱ
^dz	dz
^dzh	dzʱ
^e	e
^g	g
^h	h
^i	i
^j	dʒ
^k	k
^kh	kʰ
^l	l
^m	m
^n	n
^o	o
^p	p
^ph	pʰ
^r	r
^s	s
^t	t
^th	tʰ
^u	u
^w	w
^ŋ	ŋ
^ɨ	ɨ
a	a
ai$	ai
b	+ b
bh	+ bʱ
c	+ tʃ
cch	t + tʃʰ
ch	+ tʃʰ
d	+ d
dd	d  + d
dh	+ dʱ
dz	+ dz
d̪	+ d̪/d
e	e
g	+ g
gh	+ gʱ
gm	g + m
gw	g + w
h	+ h
i	i
ia	i/j a
j	+ dʒ
k	+ k
k$	k
kh	+ kʰ
kk	k + k
kl	k + l
km	k + m
kn	k + n
kp	k + p
kt	k + t
kw	k + w
l	+ l
lc	l + tʃ
ls	l + s
m	+ m
m$	m
mb	m + b
mbh	m + bʱ
mc	m + tʃ
mdh	m + dʱ
mm	m + m
mph	m + pʰ
ms	m + s
n	+ n
n$	n
nb	n + b
nd	n + d
nm	n + m
nn	n + n
nt	n + t
o	o
p	+ p
p$	p
pd	p + d
ph	+ pʰ
phth	ph/p + tʰ
pm	p + m
pmw	p + m w
pp	p + p
pt	p + t
r	+ r
r$	r
rc	r + tʃ
rd̪	r + d̪/d
s	+ s
s$	s
t	+ t
t$	t
th	+ tʰ
tm	t + m
tp	t + p
tt	t + t
tʔ	~tʔ/t
u	u
ui$	u/w i
w	+ w
ŋ	+ ŋ
ŋb	ŋ + b
ŋg	ŋ + g
ŋgh	ŋ + gʱ
ŋk	ŋ + k
ŋkh	ŋ + kʰ
ŋl	ŋ + l
ŋm	ŋ + m
ŋs	ŋ + s
ŋt	ŋ + t
ŋw	ŋ + w
ə	ə
ɨ	ɨ
ɾ	+ ɾ
ʔ	+ ʔ
ʔj	ʔ + dʒ
ʔl	ʔ + l
ʔm	ʔ + m
ʔmw	ʔ + m w
ʔw	ʔ + w
ʔŋ	ʔ + ŋ
