Grapheme	IPA	Frequency	Examples	Languages
a	a	914	jam//jam	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
ŋ	+ ŋ	247	ṭaŋ//ṭaŋ	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
o	o	228	pok//pok	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
m	+ m	224	jam//jam	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
i	i	221	chaṭṭi//chaṭṭi	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
u	u	193	nabhu//nabu	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
n	+ n	190	kuina//kuina	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
k	+ k	186	pok//pok	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
ə	ə	138	ŋaləŋ//mək	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
e	e	131	lem//lem	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
w	+ w	125	ṭaŋmɨwa//ṭaŋmwa	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
ɨ	ɨ	88	ṭaŋmɨwa//ŋalɨŋ	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
^s	s	86	sɨŋ//sɨŋ	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
^b	b	81	buk//buk	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
r	+ r	81	nəŋra//nəŋra	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
^m	m	75	mɨ//mək	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
^kh	kh	74	khɨ//khɨ	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
^n	n	68	nabak//nabhak	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
t	+ t	68	martola//martola	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
l	+ l	67	ŋalɨŋ//ŋalɨŋ	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
j	+ j	66	ɨjuwa//maʔkjo	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
