Grapheme	IPA
ɂpj	ʔ + p j
_	+
_^	+
+	+
^A	a
^a	a
^ai	ai
^au	au
^aũ	aũ
^b	b
^bh	bʱ
^b̤	bʱ
^b̤h	bʱ
^c	tʃ
^bijuli_^tsʌmkʌnu	b i + j u + l i + ts ʌ m + k ʌ + n u
^ch	tʃʰ
^d	d
^dh	dʱ
^dw	d w
^dz	dz
^dzh	dzʱ
^d̤	dʱ
^d̤h	dʱ
^e	e
^g	g
^h	h
^i	i
^j	j
^k	k
^kh	kʰ
^khv	kʰ v
^l	l
^m	m
^m̤	mʱ
^n	n
^o	o
^p	p
^ph	pʰ
^r	r
^s	s
^t	t
^th	tʰ
^tj	t j
^ts	ts
^tsh	tsʰ
^tshkk	tsʰ kː
^tshr	ts r
^tshw	tsʰ w
^tsj	ts j
^t̺	t
^t̺h	tʰ
^t̺s	ts
^u	u
^w	w
^ã	ã
^ŋ	ŋ
^ɦ	ɦ
^ʌ	ʌ
^ʌi	ʌi
^ḍ	ɖ
^ḍh	ɖʱ
^ṭ	ʈ
a	a
ae$	ae
ai	ai
ai$	ai
au	au
au$	au
aʌ	aʌ
a̺	a
b	+ b
bg	b + g
bh	bʱ
bhk	bʱ k
br	b + r
c	+ c
d	+ d
dh	+ dʱ
dz	+ dz
d̺	+ d
e	e
eu$	eu
g	+ g
gh	+ gʱ
ghŋm	gʱ + ŋ m
gj	g + j
gl	g + l
gm	g + m
gr	+ g r
gts	g + ts
gw	g + w
h	+ h
i	i
ie$	i e
io	i o
iu$	i u
j	+ j
k	+ k
kh	+ kʰ
kh$	kʰ
khr	kʰ + r
kk	k + k
kk$	k + k
km	k + m
kp	k + p
kph	k + pʰ
ks	k + s
ks$	k + s
kt	k + t
kts	k + ts
ktts	k + ts
l	+ l
lk	l + k
ln	l n
lph	l + pʰ
lt	l + t
m	+ m
mb	m + b
md	m + d
mg	m + g
mk	m + k
mkh	m + kʰ
ml	m + l
mm	m + m
mm$	m + m
mn	m + n
mp	m + p
mph	m + pʰ
mphk	m pʰ + k
ms	m + s
mts	m + ts
mtsh	m + tsʰ
mt̺	m + t
mṭ	m + ʈ
n	+ n
nd	n + d
ndr	n + d r
nd̺	n d̺
ng	n + g
nk	n + k
nm	n + m
nmm	+ n m/ə + m
nmn	n m/ə n
nn	n + n
ns	n + s
nts	n + ts
ntsh	n + tsʰ
nt̺	n + t
nṭ	n + ʈ
o	o
oa	oa
oi$	oi
ou	ou
ou$	ou
oũ$	oũ
p	+ p
pg	p + g
ph	+ pʰ
pj	p + j
pkh	p + kʰ
pm	p + m
pmn	+ p m/ə n
pt	p + t
pt̺	p + t
r	+ r
rd	r + d
rg	r + g
rkh	r + kʰ
rn	r n
rs	r + s
rsh	r + ʃ
rsh$	r ʃ
rt	r t
rtsh	r + tsʰ
rtshm	r + tshm/tsʰ
s	+ s
skh	s + kh
sr	s + r
sṭ	s + ʈ
t	+ t
th	+ tʰ
thr	tʰ + r
tk	t + k
tm	t + m
ts	+ ts
ts$	ts
tsh	+ tsʰ
tsh$	tsʰ
tt	t + t
tw	t + w
t̺	+ t
t̺b	t + b
t̺h	+ tʰ
t̺m	t + m
t̺p	t + p
u	u
ui	ui
ui$	ui
v	+ v
w	+ w
ya$	y/j a
ã	ã
õ	õ
ŋ	+ ŋ
ŋb	ŋ + b
ŋdz	ŋ + dz
ŋg	ŋ + g
ŋk	ŋ + k
ŋkh	ŋ + kʰ
ŋkhn	ŋ + kʰ n/ə
ŋl	ŋ + l
ŋm	ŋ + m
ŋn	ŋ + n
ŋp	ŋ + p
ŋph	ŋ + pʰ
ŋs	ŋ + s
ŋtsh	ŋ + tsʰ
ŋt̺	ŋ + t
ŋw	ŋ + w
ŋṭ	ŋ + ʈ
ũ	ũ
ŭ	ŭ
ɂ	ʔ
ɂ̺	ʔ
ə	ə
ɦ	+ ɦ
ɨ	ɨ
ʃ	+ ʃ
ʃk	ʃ k
ʌ	ʌ
ʌi	ʌi
ʌi$	ʌi
ʌi̺	ʌi
ʌu$	ʌu
ʌya	ʌ y/j a
ʌũ$	ʌũ
ʔ	+ ʔ
ʔm	ʔ + m
ᴐ	ɔ
tᵴh$	tsʰ
y	j
ᵴ	s
ḍ	+ ɖ
ḍg	ɖ + g
ḍh	+ ɖʱ
ṭ	+ ʈ
ṭh	ʈʰ
ṭh$	ʈʰ
ṭm	ʈ + m
ṭw	ʈ + w
ẽ	ẽ
ῐ	i
^ek_^sə	e k + s ə
