Grapheme	IPA	Frequency	Examples	Languages
a	a	887	taŋge//nabhak	Khalde/Hatiya /Dhan kuta Bazaar/Tekunala/Guthitar/Santang
m	m	318	mik//mik	Khalde/Hatiya /Dhan kuta Bazaar/Tekunala/Guthitar/Santang
i	i	306	mik//mik	Khalde/Hatiya /Dhan kuta Bazaar/Tekunala/Guthitar/Santang
e	e	275	thek//thek	Khalde/Hatiya /Dhan kuta Bazaar/Tekunala/Guthitar/Santang
n	n	271	nabhak//nabhak	Khalde/Hatiya /Dhan kuta Bazaar/Tekunala/Guthitar/Santang
u	u	243	nubhe//nubhe	Khalde/Hatiya /Dhan kuta Bazaar/Tekunala/Guthitar/Santang
o	o	213	nabo//phok	Khalde/Hatiya /Dhan kuta Bazaar/Tekunala/Guthitar/Santang
k	k	202	thek//thek	Khalde/Hatiya /Dhan kuta Bazaar/Tekunala/Guthitar/Santang
ŋ	ŋ	173	taŋge//keŋ	Khalde/Hatiya /Dhan kuta Bazaar/Tekunala/Guthitar/Santang
s	s	158	yasi//yasi	Khalde/Hatiya /Dhan kuta Bazaar/Tekunala/Guthitar/Santang
b	b	150	nubek//nabo	Hatiya /Dhan kuta Bazaar/Khalde/Tekunala/Guthitar/Santang
l	l	148	lekhpha//lekhpha	Khalde/Hatiya /Dhan kuta Bazaar/Tekunala/Guthitar/Santang
r	r	129	nari//marma	Khalde/Hatiya /Dhan kuta Bazaar/Tekunala/Guthitar/Santang
t	t	125	taŋge//tek	Khalde/Hatiya /Dhan kuta Bazaar/Tekunala/Guthitar/Santang
w	w	114	wowa//wowa	Hatiya /Dhan kuta Bazaar/Khalde/Tekunala/Guthitar/Santang
p	p	103	lekhpa//muktshep	Hatiya /Dhan kuta Bazaar/Khalde/Tekunala/Guthitar/Santang
tsh	tsʰ	89	muktshep//tshokmasik	Khalde/Hatiya /Dhan kuta Bazaar/Tekunala/Guthitar/Santang
ə	ə	80	tohəriŋ//həmər	Khalde/Hatiya /Dhan kuta Bazaar/Tekunala/Guthitar/Santang
kh	kʰ	72	khyak//khyak	Hatiya /Dhan kuta Bazaar/Khalde/Tekunala/Guthitar/Santang
ts	ts	72	tsoptsiŋge//tsoptsiŋge	Khalde/Hatiya /Dhan kuta Bazaar/Tekunala/Guthitar/Santang
h	h	69	howa//həuwa	Khalde/Hatiya /Dhan kuta Bazaar/Tekunala/Guthitar/Santang
ph	pʰ	63	phyak//phiyak	Khalde/Hatiya /Dhan kuta Bazaar/Tekunala/Guthitar/Santang
g	g	53	taŋge//nubheg	Hatiya /Dhan kuta Bazaar/Khalde/Tekunala/Guthitar/Santang
