Grapheme	IPA
a	a
^tịṭti	t i ʈ  + ʈ i
^thjoba	tʰ j o + b a
^gri	g r i
o	o
e	e
i	i
u	u
m	+ m
l	+ l
k	+ k
b	+ b
ŋ	+ ŋ
r	+ r
j	+ j
^th	tʰ
p	+ p
^s	s
t	+ t
n	+ n
ə	ə
^k	k
^kh	kʰ
^ŋ	ŋ
^ts	ts
^m	m
^d	d
^g	g
dz	+ dz
^n	n
^t	t
^ph	pʰ
w	+ w
^r	r
+	+ +
^tsh	tsʰ
g	+ g
d	+ d
^l	l
^b	b
s	+ s
^dz	dz
mm	m + m
ts	+ ts
^a	a
^h	h
^o	o
ph	+ pʰ
ụ	ụ/u
th	+ tʰ
iu$	i/j u
kh	+ kʰ
əu$	əu
ui$	ui
ḍ	+ ɖ
dz$	dz
^p	p
^j	j
ã	ã
kk	k + k
bh	+ bʱ
^dh	dʱ
^bh	bʱ
rs	r + s
ṭ	+ ʈ
əi	əi
ei	ei
ŋŋ	ŋ + ŋ
əu	əu
^ã	ã
ṇt	ɳ/n + ʈ
^e	e
oi$	oi
^gh	gʱ
^dzh	dzʱ
ua$	ua
au$	au
ẽ	ẽ
ai$	ai
əi$	əi
ḳt	k + ʈ
ll	l + l
əe$	əe
^ə̃	ə̃
^ə	ə
^lh	l̥
ŋs	ŋ + s
^ḍh	ɖʱ
dzh$	dzʱ
ai	ai
^i	i
ḷt	ɭ/l + ʈ
^ḍ	ɖ
tshj	tsʰ j a
^thsna	thsn/tsʰ a
?p	ʔ + p
ue	ue
ei$	ei
ms	m + s
oa$	oa
^ŋghibhi	ngh/gʱ i + bʱ i
pp	p + p
^.tịṭti	t i ʈ + ʈ i
dd	d + d
^u	u
oe$	oe
ks	k + s
^w	w
eo$	eo
nw	n + w
mdzj	m + dz j
mdz	m + dz
kp	k + p
tk	t + k
rm	r + m
mb	m + b
kt	k + t
^kj	k j
^hj	h j
rd	r + d
rt	r + t
ŋk	ŋ + k
^tshj	tsʰ j
rb	r + b
ŋp	ŋ + p
ŋb	ŋ + b
ŋm	ŋ + m
^sj	s j
pr	p + r
rp	r + p
br	b + r
nd	n + d
lph	l + pʰ
^rj	r j
^bhj	bʱ j
^pj	p j
lbh	l + bʱ
nḍ	n + ɖ
rg	r + g
^ŋj	ŋ j
^gw	g w
sj	s j
dzj	+ dz j
kl	k + l
rk	r + k
nt	n + t
mkh	m + kʰ
ṭt	ʈ + ʈ
dj	+ d j
^nw	n w
^khj	kʰ j
mp	m + p
^khw	kʰ w
dzh	dzʱ
pt	p + t
^mj	m j
ŋg	ŋ + g
ŋj	ŋ + j
^ŋgh	ŋ + gʱ
ŋl	ŋ + l
ḷt	ɭ/l + ʈ
^tsj	ts j
ldz	l + dz
lŋ	l + ŋ
kr	k + r
ndz	n + dz
lb	l + b
ŋr	ŋ + r
tsj	+ ts j
bl	b + l
ptsj	p + ts j
^tw	t w
ŋtsj	ŋ + ts j
ltsj	l + ts j
ttsj	t + ts j
rsj	r + s j
ktsj	k + ts j
pl	p + l
rtsj	r + ts j
mtsj	m + ts j
^tshw	tsʰ w
ŋsj	ŋ + s j
tshj	+ tsʰ j
^dw	d w
^ŋw	ŋ w
nb	n + b
nl	n + l
^.	NULL
^me_^(low_^tone)	m e
.	NULL
_	NULL
^lo_^(low_^tone)	l o
^mesja_^(Rising_^tone)	m e s j a
^phu:ri	pʰ uː + r i
