Grapheme	IPA
_	+
^a	a
^b	b
^bh	bʱ
^c	tʃ
^ch	tʃʰ
^d	d
^dh	dʱ
^dw	d w
^dz	dz
^e	e
^g	g
^gh	gʱ
^h	h
^i	i
^j	j
^k	k
^kh	kʰ
^l	l
^m	m
^n	n
^p	p
^ph	pʰ
^pj	p j
^r	r
^s	s
^t	t
^th	tʰ
^u	u
^w	w
^ã	ã
^ŋ	ŋ
^ʈ	ʈ
^ʈt	!ʈt/ʈ
^ḍ	ɖ
^ḍw	ɖ w
^ṭ	ʈ
^ṭh	ʈʰ
a	a
i:	iː
ai	ai
ai$	ai
au$	au
b	+ b
bh	+ bʱ
bh$	bʰ
c	+ tʃ
cc	t + tʃ
ch	+ tʃʰ
ch$	tʃʰ
d	+ d
dh	+ dʱ
dz	+ dz
mija	m i + dʒ a
dʰ	+ dʱ
e	e
ei$	ei
eu$	eu
g	+ g
gh	+ gʱ
gh$	gʱ
h	+ h
i	i
i:$	iː
iu$	iu
j	+ dʒ
^j	dʒ
k	+ k
kc	k + tʃ
kh	+ kʰ
khr	+ kʰ r
kj	+ k j
kk	k + k
kkh	k + kʰ
kl	k + l
km	k + m
ks	k + s
ks$	k s
kʔn	k + ʔn/nˀ
kṭ	k + ʈ
l	+ l
lph	l pʰ
ls	l + s
m	+ m
m$	m
mb	m + b
mbh	m + bʱ
mc	m + tʃ
md	m + d
mm	m + m
mm$	m + m
mn	m + n
mp	m + p
mph	m + pʰ
ms	m + s
mth	m + tʰ
mṭh	m + ʈʰ
n	+ n
n$	n
nc	n + tʃ
nd	n + d
nn	n + n
nn$	n + n
nḍ	n + ɖ
nṭ	n + ʈ
o	o
oi	oi
oi$	oi
p	+ p
ph	+ pʰ
ph$	pʰ
pm	p + m
pṭ	p + ʈ
r	+ r
r$	r
rc	r + tʃ
rd	r + d
rkh	r + kʰ
rt	r + t
s	+ s
sj	s + j
ss	s + s
t	+ t
th	+ tʰ
tk	t + k
u	u
ua	u/w a
ui$	u/w i
uĩ$	u/w ĩ
w	+ w
ĩ	ĩ
ŋ	+ ŋ
ŋ$	ŋ
ŋg	ŋ + g
ŋgh	ŋ + gʱ
ŋk	ŋ + k
ŋkh	ŋ + kʰ
ŋm	ŋ + m
ŋph	ŋ + pʰ
ŋs	ŋ + s
ŋw	ŋ + w
ŋʔm	ŋ + ʔm/mˀ
ŋʔs	ŋ + ʔs/sˀ
ŋṭ	ŋ + ʈ
ǝ	ǝ
ǝi	ǝi
ə	ə
əu$	əu
əue	ə + u/w e
əye$	ə + y/j e
əyə$	ə + y/j ə
ɨ	ɨ
ʔ	+ ʔ
ʔ$	ʔ
ʔm	ʔ + m
ʔn	ʔ + n
ʔs	ʔ + s
ŋsʔ	ŋ + ʔs/sˀ
ʔw	ʔ + w
ḍ	+ ɖ
ḍh	+ ɖʱ
ḍḍ	ɖ + ɖ
ḍḍh	ɖ + ɖʱ
ṭ	+ ʈ
ṭh	+ ʈʰ
ṭh$	ʈʰ
ṭn	ʈ + n
ṭṭ	ʈ + ʈ
ṭṭh	ʈ + ʈʰ
