Grapheme	IPA
+	+
_	+
Tʰ$	tʰ
^B	b
^P	p
^a	a
^aũ	aũ
^b	b
^bh	bʱ
^bʰ	bʱ
^c	tʃ
^ch	tʃʰ
^d	d
^dh	dʱ
^dj	d j
^dz	dz
^dzh	dzʱ
^dzʰ	dzʱ
^dʰ	dʱ
^dʰw	dʱ w
^e	e
^g	g
^h	h
^i	i
^i:	iː
^j	dʒ
^k	k
^kh	kʰ
^kw	k w
^kʰ	kʰ
^l	l
^lʰ	lʰ
^m	m
^mh	mʰ
^mʰ	mʰ
^n	n
^nʰ	nʰ
^o	o
^p	p
^ph	pʰ
^pʰ	pʰ
Tʰ	tʰ
a:	aː
uĩ	u/w ĩ
^r	r
e:	eː
^rh	rʰ
^rʰ	rʰ
^s	s
^t	t
^ts	ts
h⍰	h !⍰/ə
^tz	!tz/ts
^u	u
^w	w
^ye	j e
^ḍ	ɖ
^⍰	!⍰/ə
a	a
a:$	aː
ae	ae
ai	ai
ai$	ai
au	au
au$	au
aye	a + j e
b	+ b
bl	b + l
br	b + r
bʰ	+ bʰ
d	+ d
db	d + b
dl	d + l
dz	+ dz
dʰ	+ dʱ
e	e
e:$	eː
ei$	ei
g	+ g
gʰ	+ gʱ
gʰ$	gʱ
h	+ h
hj	h j
i	i
iu$	i/j u
j	+ dʒ
k	+ k
kk	k + k
km	k + m
kr	k + r
kʰ	+ kʰ
l	+ l
lbʰ	l + bʰ
lk	l + k
ll	l + l
lm	l + m
lpʰ	l + pʰ
lʰ	+ lʰ
lṭ	l + ʈ
m	+ m
m$	m
md	m + d
mk	m + k
ml	m + l
mn	m + n
mpʰ	m + pʰ
mr	m + r
ms	m + s
n	+ n
n$	n
nd	n + d
ndr	n + d r
ndz	n + dz
nk	n + k
nt	n + t
nth	n + tʰ
ntsʰ	n + tsʰ
ntʰ	n + tʰ
o	o
oi	oi
oi$	oi
p	+ p
pt	p + t
pʰ	+ pʰ
r	+ r
rd	r + d
rk	r + k
rm	r + m
rn	r + n
rp	r + p
rs	r + s
rt	r + t
rts	r + ts
rʰ	+ rʰ
s	+ s
sj	s + ?j/dʒ
sl	s + l
st	s + t
t	+ t
th	+ tʰ
ts	+ ts
tsʰ	+ tsʰ
tt	t + t
tʰ	+ tʰ
tʰ$	tʰ
u	u
ui	u/w i
ui$	u/w i
uĩ$	u/w ĩ
w	+ w
^pya	p j a
^bya	b j a
ã	ã
ŋ	+ ŋ
ŋ$	ŋ
ŋd	ŋ + d
ŋg	ŋ + g
ŋgʰ	ŋ + gʰ
ŋk	ŋ + k
ŋkʰ	ŋ + kʰ
ŋl	ŋ + l
ŋth	ŋ + tʰ
ŋtsʰ	ŋ + tsʰ
ə	ə
əu	əu
əu$	əu
ʔ	+ ʔ
ʔh	ʔ + h
ʔh$	ʔ + h
ʔk	ʔ + k
ʔl	ʔ + l
ʔp	ʔ + p
ʔs	ʔ + s
a˜	ã
ṭ	+ ʈ
ṭʰ	+ ʈʰ
⍰	+ !⍰/ə
⍰s$	!⍰/ə s
