Grapheme	IPA	Frequency	Examples	Languages
+	+	16	kham serekwa//kham serekwa	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
_	+
^H	h	5	Hali//Hali	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
^J	dʒ	5	Jam//Jam	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
^M	m	5	Muk//Muk	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
^a	a	48	aŋgalekka//aŋgalekka	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
^b	b	9	beŋwa//beŋwa	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
^bh	bʱ	10	bhuburo//bhuburo	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
^c	tʃ	55	cuŋ//cuŋ	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
^ch	tʃʰ	19	chot//chot	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
^d	d	9	dopala//dopala	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
^dh	dʱ	1	dherɨk	Pakha
^dz	dz	5	dzarak//dzarak	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
^dzh	dzʱ	10	dzharak//dzharak	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
^e	e	1	eŋba	Suke-ahal
^g	g	5	ga//ga	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
^h	h	61	hedaŋsaba//hedaba	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
^i	i	1	itilok	Barbhanjyang
^j	dʒ	30	jemmicha//jemmicha	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
^k	k	32	kuiro//kocuwa	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
^kh	kʰ	95	khocoʔŋaba//kham serekwa	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
^l	l	75	len//len	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
^m	m	81	mubak//moba	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
^n	n	62	nuwa//nuwa	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
^o	o	4	ottəlok//ottolo	Barbhanjyang/Suke-ahal/Pokla/Gairi
^p	p	64	poŋkhorok//poŋkhorok	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
^ph	pʰ	15	phendɨk//phendɨk	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
^r	r	20	ruʔwa//ruʔwa	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
^s	s	84	sodzeka//sodzeka	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
^t	t	58	tubak//tobak	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
^th	tʰ	33	theduba//theduba	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
^u	u	4	untuke//untuke	Suke-ahal/Pokla/Gairi/Pakha
^w	w	33	wa//wa	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
^ŋ	ŋ	25	ŋaklasi//ŋaklasi	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
^ɨ	ɨ	6	ɨtɨlok//ɨŋga	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
a	a	939	tubak//tobak	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
ai$	ai	4	maihutpa//maihutpa	Barbhanjyang/Pokla/Gairi/Pakha
b	+ b	127	tubak//tobak	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
bh	+ bʱ	5	rambhenta//rambhenta	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
c	+ tʃ	50	khocoʔŋaba//makacɨkma	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
cch	t + tʃʰ	5	p i c ch a//p i c ch a	
ch	+ tʃʰ	43	jemmicha//jemmicha	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
d	+ d	42	phendɨk//phendɨk	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
dd	d  + d	1	cidduba	Suke-ahal
dh	+ dʱ	5	namdhuruŋ//namdhuruŋ	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
dz	+ dz	9	sodzeka//sodzeka	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
d̪	+ d̪/d	5	hərd̪i//hərd̪i	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
e	e	227	phendɨk//phendɨk	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
g	+ g	42	aŋgalekka//aŋgalekka	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
gh	+ gʱ	5	luŋgheʔwa//luŋgheʔwa	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
gm	g + m	2	c e g m a//c e g m a	
gw	g + w	1	h ɨ g w a	
h	+ h	6	tuhari//hesahare	Barbhanjyang/Pokla/Gairi/Pakha
i	i	245	ŋaklasi//ŋaklasi	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
ia	i/j a	4	tipiaba//tipiaba	Barbhanjyang/Suke-ahal/Pokla/Pakha
j	+ dʒ	27	mijacha//mijacha	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
k	+ k	170	tubak//tobak	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
k$	k
kh	+ kʰ	19	poŋkhorok//poŋkhorok	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
kk	k + k	6	aŋgalekka//aŋgalekka	Pokla/Barbhanjyang/Suke-ahal/Gairi/Pakha
kl	k + l	4	ŋ a k l a s i//ŋ a k l a s i	
km	k + m	24	m a k a c ɨ k m a//m a k a c ɨ k m a	
kn	k + n	1	l ɨ k n e	
kp	k + p	4	j o b a k p a//l ɨ k p a	
