Grapheme	IPA	Frequency	Examples	Languages
a	a	569	t̺aŋ//t̺aŋ	Chaukibar/Bastim/Bartole/Dandatole/Tharpu
u	u	278	ŋaluŋ//ŋʌluŋ	Chaukibar/Bastim/Bartole/Dandatole/Tharpu
i	i	253	bhŭḍi//tshuksiwa	Chaukibar/Bastim/Bartole/Dandatole/Tharpu
o	o	244	pok//pokh	Chaukibar/Bastim/Bartole/Dandatole/Tharpu
m	+ m	233	t̺aŋmo//t̺aŋmo	Chaukibar/Bastim/Bartole/Dandatole/Tharpu
ʌ	ʌ	217	t̺ʌŋ//ŋalʌŋ	Chaukibar/Bastim/Bartole/Dandatole/Tharpu
n	+ n	179	kuino//kuina	Chaukibar/Bastim/Bartole/Dandatole/Tharpu
ŋ	+ ŋ	155	roŋ//Aŋpoɂk	Chaukibar/Bastim/Bartole/Dandatole/Tharpu
e	e	149	lem//lem	Chaukibar/Bastim/Bartole/Dandatole/Tharpu
r	+ r	116	t̺ʌŋbʌrʌk//t̺uŋboro	Chaukibar/Bastim/Bartole/Dandatole/Tharpu
k	+ k	108	pok//Aŋpoɂk	Chaukibar/Bastim/Bartole/Dandatole/Tharpu
g	+ g	94	aŋgula//mʌɂgri	Chaukibar/Bastim/Bartole/Dandatole/Tharpu
^m	m	85	mõ//mo	Chaukibar/Bastim/Bartole/Dandatole/Tharpu
ɂ	+ ɂ	84	Aŋpoɂk//mʌɂk	Chaukibar/Bastim/Bartole/Dandatole/Tharpu
^ɦ	ɦ	81	ɦoɂn//ɦoɂn	Chaukibar/Bastim/Bartole/Dandatole/Tharpu
^s	s	79	sʌpt̺en//sʌt̺en	Chaukibar/Bastim/Bartole/Dandatole/Tharpu
t̺	+ t̺	70	sʌpt̺en//sʌt̺en	Chaukibar/Bastim/Bartole/Dandatole/Tharpu
p	+ p	63	Aŋpoɂk//tshep	Chaukibar/Bastim/Bartole/Dandatole/Tharpu
^kh	kh	63	khi//khi	Chaukibar/Bastim/Bartole/Dandatole/Tharpu
^l	l	62	lem//lem	Chaukibar/Bastim/Bartole/Dandatole/Tharpu
^p	p	60	pok//pokh	Chaukibar/Bastim/Bartole/Dandatole/Tharpu
l	+ l	58	ŋalʌŋ//ŋaluŋ	Chaukibar/Bastim/Bartole/Dandatole/Tharpu
^n	n	54	naphak//naphʌk	Chaukibar/Bastim/Bartole/Dandatole/Tharpu
^b	b	47	bitsʌkʌln//bʌntsʌro	Chaukibar/Bastim/Bartole/Dandatole/Tharpu
^k	k	45	kɨŋ//kʌŋ	Chaukibar/Bastim/Bartole/Dandatole/Tharpu
s	+ s	45	disa//waskhep	Chaukibar/Bastim/Bartole/Dandatole/Tharpu
b	+ b	43	nabuk//nãbu	Chaukibar/Bastim/Bartole/Dandatole/Tharpu
^tsh	tsh	43	tshukuŋ//tshukphʌ	Chaukibar/Bastim/Bartole/Dandatole/Tharpu
^ts	ts	43	tsʌm//tsala	Chaukibar/Bastim/Bartole/Dandatole/Tharpu
ts	+ ts	43	kutso//kutso	Chaukibar/Bastim/Bartole/Dandatole/Tharpu
