Grapheme	IPA
?	ʔ
^M	!M/m
^a	a
^ai	ai
^b	b
^bh	bʰ
^bh	bʱ
^bʰ	bʰ
^c	c
^c	tʃ
^ch	tʃʰ
^cʰ	tʃʰ
^d	d
^dh	dʰ
^dh	dʱ
^dhw	dʱ + w
^dz	dz
^dzh	dzʱ
^dʰ	dʰ
^e	e
^g	g
^gh	gʱ
^h	h
^hj	^ h j
^i	i
^j	dʒ
^jh	dʒʱ
^k	k
^kh	kʰ
^kʰ	kʰ
^l	l
^m	m
^mh	m̥
^n	n
^nrbh	^ n r/ə + bʱ
^o	o
^p	p
^ph	pʰ
^pj	^ p j
^r	r
^s	s
^t	t
^th	tʰ
^tp	t + p
^ts	ts
^tsh	tsʰ
^tshtl	tsʰ !t/i l
^u	u
^w	w
^wh	w̥
^ya	j a
^ye	j e
^yei	j ei
^yo	j o
^you	j ou
^yu	j u
^yuya	j u + j a
^ã	ã
^ãi	ãi
^ŋ	ŋ
^ə	ə
^əu	əu
^əũ	əũ
^ɨ	ɨ
^ḍ	ɖ
^ḍh	ɖʱ
^ṭ	ʈ
^ṭh	ʈʰ
_	+
a	a
ae$	ae
ai	ai
ai$	ai
ao	ao
au	au
au$	au
aũ$	aũ
b	+ b
bb	b + b
bh	+ bʱ
bh$	bʱ
c	+ tʃ
ch	+ tʃʰ
ch$	tʃʰ
chj	+ tʃʰ j
cʰ	+ cʰ
d	+ d
ddh	d + dʱ
dh	+ dʱ
^dh	dʱ
dz	+ dz
dzh	+ dzʱ
dzj	dz j
dḍh	d + ɖʱ
e	e
ei$	ei
eu$	eu
euə	e + w ə
eya	e + j a
eya$	e + j a
g	+ g
gh	+ gʱ
^gh	gʱ
gn	g + n
h	+ h
hʔn	h + ʔ n
i	i
iu$	iu
iya	i j a
iya$	i + j a
iye	i + j e
iyu	i + j u
j	+ dʒ
k	+ k
kc	k + tʃ
kch	k + tʃʰ
kh	+ kʰ
kh$	kʰ
khp	kʰ + p
khph	kʰ + pʰ
khr	kʰ + r
khr	kʰ r
kj	k + dʒ
kk	k + k
kk$	k + k
kkh	k + kʰ
kl	k + l
km	k + m
kn	k + n
kp	k + p
ks	k + s
ks$	k + s
kt	k + t
kts	k + ts
ktsh	k + tsʰ
kw	k + w
kŋ	k + ŋ
kʔj	k + ʔ j
kʔw	k + ʔ w
kʰ	+ kʰ
kṭ	k + ʈ
l	+ l
lph	l + pʰ
m	+ m
mb	m + b
mbh	m + bʱ
mc	m + tʃ
mch	m + tʃʰ
mdz	m + dz
mdzh	m + dzʱ
mj	m + j
mk	m + k
mkh	m + kʰ
mkʰ	m + kʰ
ml	m + l
mm	m + m
mm$	m + m
mn	m + n
mp	m + p
mph	m + pʱ
mr	m + r
ms	m + s
ms$	m + s
mt	m + t
n	+ n
nb	n + b
nbh	n + bʱ
nbhtt	n + bʱ !t/ə t
nc	n + tʃ
nd	n + d
ndz	n + dz
ng	n + g
nj	n + dʒ
nk	n + k
nm	n + m
nn	n + n
nn$	n + n
nr	n + r
nt	n + t
nts	n + ts
ntsh	n + tsʰ
nḍ	n + ɖ
o	o
oa	oa
oe$	oe
oi	oi
oi$	oi
oĩ$	oĩ
p	+ p
p$	p
ph	+ pʰ
ph$	pʱ
pk	p + k
pkh	p + kʰ
pl	p + l
pm	p + m
pn	p + n
pp	p + p
pp$	p + p
pr	p + r
pt	p + t
pts	p + ts
pw	p + w
pṭ	p + ʈ
r	+ r
rb	r + b
rd	r + d
rg	r + g
rk	r + k
rkh	r + kʰ
rm	r + m
rs	r + s
rt	r + t
rts	r + ts
rw	r + w
s	+ s
sh	ʃ
sk	s + k
ss	s + s
t	+ t
th	+ tʰ
th$	tʰ
tk	t + k
tl	t + l
tm	t + m
tn	t + n
tr	t + r
ts	+ ts
tsh	+ tsʰ
tsh$	tsʰ
tsyh	tsʰ j
tt	t + t
t̃	t
u	u
u:	uː
ua$	ua
ui	ui
ui$	ui
uyu	u + j u
w	+ w
ya	j a
ya$	j a
ye	j e
yo	j o
yu	j u
yu$	j u
yĩ$	j ĩ
yũ$	j ũ
