ID	Name	Subgroup	Glottocode	Location	Longitude	Latitude	File	
Athpahariya-Santang	Santang	Athpahariya	athp1241	Santang Deurali, (Dhankuta Municipality 8)	087° 21′57.1″ E	26° 57′26.0″ N	Athpahariya_Words	
Athpahariya-Tekunala	Tekunala	Athpahariya	athp1241	Tekunala (Dhankuta Municipality 9)	087° 20′33.8″ E	26° 57′03.5″ N	Athpahariya_Words	
Athpahariya-Guthitar	Guthitar	Athpahariya	athp1241	Guthitar (Dhankuta Municipality 14)	087° 19′17.5″ E	26° 57′54.2″ N	Athpahariya_Words	
Athpahariya-Khalde	Khalde	Athpahariya	athp1241	Khalde (Dhankuta Municipality 3) in Dhankuta district	087° 19′03.7″ E	26° 59′13.4″ N	Athpahariya_Words	
Athpahariya-Hatiya	Hatiya /Dhan kuta Bazaar	Athpahariya	athp1241	Dhankuta Bazaar (Dhankuta Municipality 1)	087° 20′37.7″ E	26° 58′21.1″ N	Athpahariya_Words	
Bantawa-Khoku	Khoku, Dhankuta	Bantawa	bant1281	Khoku, Thapa Tole	87° 13' 32.7''	26° 58' 59.0''	Bantawa_Words	
Bantawa-Lungin	Lungin (Hatuwa)	Bantawa	bant1281	Hatuwa, Lungin	87° 05'15.2''	27° 01' 27.8''	Bantawa_Words	
Bantawa-Thidingkha	Thidingkha, (Amchok)	Bantawa	bant1281	Amchok, Thidinkha	86° 00' 49.66''	27° 00' 00.06''	Bantawa_Words	
Bantawa-Timma	Timma, Rimchim	Bantawa	bant1281	Timma, Rimchim	86° 58' 49.5''	27° 14' 00.4''	Bantawa_Words	
Bantawa-Okhre	Okhre, Khena	Bantawa	bant1281	Okhre, Khena	86° 56' 65''	27° 05' 56.2''	Bantawa_Words	
Belhare-Belhare	Belhara	Belhare	belh1239	Belahara (Dhankuta Municipality 9)			Belhare	
Belhare-Piple	Piple	Belhare	belh1239	Piple (Dhankuta Municipality 9)			Belhare	
Belhare-Guthitar	Guthitar	Belhare	belh1239	Guthitar (Dhankuta Municipality 14)			Belhare	
Belhare-Rudrabari	Rudra bari	Belhare	belh1239	Rudrabari (Dhankuta Municipality 9			Belhare	
Chamling-Hadunge	Hadunge	Chamling	caml1239	Durchhim (Hadunge)	86° 10' 35.9''	27° 10' 37.5''	Chamling_Words	
Chamling-Halesi	Halesi	Chamling	caml1239	Mahadevsthan (Halesi)	86°  27' 16.6''	27°  11' 27.8''	Chamling_Words	
Chamling-Ratanchha	Ratanchha	Chamling	caml1239	Ratanchha (Kolle)	86° 50' 23.4''	27° 10' 50''	Chamling_Words	
