Grapheme	IPA	Frequency	Examples	Languages
j	+ j
ĩ	ĩ
ẽ	ẽ
^a	a	19	amla//amla	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
^b	b	66	bulim//bulim	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
^bh	bʱ	11	bhʌiti//bhʌiti	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
^bhj	bʱ j	2	bh j a t i//bh j a r	
^br	b r
^d	d	41	djo//djo	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
^dh	dʱ	5	dhiseko//dhiseko	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
^dj	d j	63	djo//djo	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
^j	j
^dz	dz	1	dziu	Aaptar
^dzh	dzʱ	10	dzhara//dzhara	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
^g	g	1	gʌhũ	Aaptar
^gh	gʱ	8	ghuruŋʈina//ghuruŋʈina	Hadunge/Aaptar/Halesi/Balamta
^h	h	5	hjakka//hjakka	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
^hj	h j	5	h j a kk a//h j a kk a	
^i	i	40	ikiniko//ikiniko	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
^j	j	18	jetshabi//jetshabi	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
^k	k	30	kiŋ//kiŋ	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
^kh	kʰ	116	khori//khori	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
^khj	kʰ j
^khl	kʰ l
^khr	kʰ r	5	kh r a mm a//kh r a mm a	
^khts	kʰ !Ø/ə + ts	1	kh ts i	
^l	l	54	lem//lem	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
^lj	l j	6	l j a m//l j u r a	
^m	m	79	mitsuŋ//mitsuŋ	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
^n	n	71	nabro//nabro	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
^nj	n j
^o	o	25	opatsima//opatsima	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
^p	p	46	pʌmtsuŋ//putipa	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
^ph	pʰ	8	philu//philu	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
^phr	pʰ r	3	ph r e l ʌi l u ŋ//ph r e l ʌi l u ŋ	
^pj	p j	5	p j a dz//p j a dz	
^pl	p l	5	p l i m a//p l i m a	
^r	r	25	ram//rukhja	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
^s	s	79	sembu//sembu	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
^sj	s j	1	s j a m p ui kh a	
^t	t	12	takhlo//tʌmse	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
^ts	ts	43	tsjhu//tsjhu	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
^tsh	tsʰ	32	tshu//tshilima	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
^tshj	tsʰ j	1	tsh j a r a p a	
^tsj	ts j	5	ts j o//ts j o	
^tsjh	tsʰ j	4	ts jh u//ts jh u	
^u	u	18	umnima//umnima	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
^w	w	30	waɖhamma//waɖham	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
^ã	ã	5	ãp//ãp	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
^ŋ	ŋ	30	ŋai//ŋai	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
^ɖh	ɖʱ	5	ɖhalo//ɖhalo	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
^ɦ	ɦ	71	ɦeptshowa//ɦeptshowa	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
^ɦj	ɦ j	10	ɦ j a l o//ɦ j a l o	
^ʈ	ʈ	33	ʈakhlo//ʈakhlo	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
^ʌi	ʌi	10	ʌiʈako//ʌiʈako	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
_	+	2	bidzulitsa mkemu//ʈuŋkh uwa	Ratanchha/Halesi
a	a	858	ram//ʈakhlo	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
ai$	ai	10	ŋai//ŋai	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
au$	au	5	kauli//kauli	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
b	+ b	39	nabro//nabro	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
bdh	b + dʱ	4	l e b dh e r o//l e b dh e r o	
bh	+ bʱ	9	umbhʌr//umbhʌr	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
br	+ b r	5	n a b r o//n a b r o	
d	+ d	25	nadipuŋ//nadipuŋ	Ratanchha/Aaptar/Halesi/Hadunge/Balamta
