Grapheme	IPA	Frequency	Examples	Languages
m	+ m	120	ŋelʌm nʌ//ŋjalʌm nʌ	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
mb	m + b	14	k ʌ m b ʌ//k ʌ m b ʌ	
mdz	m + dz	1	tsh u m dz ʌ	
mkh	m + kʰ	4	l a m kh u t̺t̺ e//l a m kh u t̺t̺ e	
mkj	m + k j	1	k i m k j ʌ	
mm	m + m	1	hʌmmʌ	Barpak1
mm$	m + m	2	ʌmmʌ//ʌmmʌju	Barpak1
mn	m + n	1	kh ʌ m n ʌ	
mp	m + p	4	k ʌ m p ʌ//ʌ m p ʌ	
mph	m + pʰ	1	k i m ph ʌ	
mphj	m + pʰ j	2	k i m ph j a//k i m ph j a	
n	+ n	162	tsjan//ŋelʌm nʌ	Mandre/Barpak1/Gumda/Brpak2 (Ghale)/Laprak
nb	n + b	1	ph u n b ʌ	
nd	n + d	27	g i n d i//g ʌ n d i	
ndzj	n + dz j	1	a n dz j ʌ	
nd̺	n d̺	1	t̺h u n d̺ e	
nh	+ nʰ	2	nenhe//tinhju	Laprak
nhj	n ʰj	1	t i nh j u	
nj	n + j	7	t̺h u n j a//t̺h u n j a	
nn	n + n	3	khunni//khunni	Barpak1/Brpak2 (Ghale)/Laprak
nn$	n + n	1	inne	Laprak
nt	n + t	3	u n t u//ph e n t ʌ	
ntsj	n + ts j	3	ʌ n ts j ʌ//a n ts j ʌ	
nt̺	n + t̺	1	bh e n t̺ a	
n–$	n	1	mun–	Laprak
o	o	142	t̺oka//lho	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
o:$	oː	1	mo:se	Brpak2 (Ghale)
oe	oe	2	rwoe//rjoe–	Barpak1/Laprak
oe–$	oe	3	ɼoe//poe	Laprak/Gumda
p	+ p	52	rudzupuŋ//rudzu puŋ	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
ph	+ pʰ	21	t̺ʌphu//t̺ʌphu	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
phj	+ pʰ j	1	t o ph j a	
phl	+ pʰ l	1	n ʌi ph l ʌ s ʌi	
phw	+ pʰ w	1	k j u ph w o j e	
pl	+ p l	1	k j o l a m + p l i ŋ	
pp	p + p	2	muppʌ//sjappʌ	Mandre/Laprak
pr	+ p r	1	t j a p r ʌ	
prj	+ p r j	3	t o p r j a//t o p r j a	
ps	p + s	1	t̺apsjʌ	Gumda
psj	p + s j	1	t̺ a ps j ʌ	
r	+ r	116	ŋur//ŋhur	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
r$	r	
rdz	r + dz	1	kh o r dz ʌ + p i dz ʌ	
rg	r + g	1	m u r g u	
rh	+ rʰ	1	barhʌ	Brpak2 (Ghale)
rj	r + j	3	n o r j a//n o r j a	
rk	r + k	8	l ʌ r k ʌ n//l a r k a n	
rkj	r + k j	2	t ʌ r k j a ŋ//t ʌ r k j a ŋ	
rkjŋ	r + k j/i ŋ	1	t ʌ r k j ŋ	
rs	r + s	5	khursini//khursini	Mandre/Brpak2 (Ghale)/Barpak1/Gumda
rt	r + t	4	k ʌ r t a//k ʌ r t ʌ	
rts	r + ts	8	kh o r ts a//k ʌ r ts ʌ n	
s	+ s	57	khwasi//rusu puŋ	Mandre/Barpak1/Gumda/Brpak2 (Ghale)/Laprak
sj	+ s j	14	kh u s j ʌ//kh u s j ʌ	
ss	s + s	2	pissʌ//basse	Barpak1/Brpak2 (Ghale)
sw	+ s w	1	b i s w u w ʌ r	
t	+ t	43	latjaŋ//latjaŋ	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
th	+ tʰ	3	hʌthʌud̺o//sʌthulu	Mandre/Barpak1/Laprak
th$	tʰ/t	1	ʌthʌ	Barpak1
tj	+ t j	14	l a t j a ŋ//l a t j a ŋ	
ts	+ ts	26	kutsu//tjaktsʌ	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
ts$	ts	2	utsi//utsi	Mandre/Laprak
tsh	+ tsʰ	3	m u tsh e//m ʌ tsh e r	
tsh$	tsʰ	3	mutshe//mʌtsher	Laprak/Gumda
tshtsh	tsʰ + tsʰ	1	motshtshe	Laprak
tsj	+ ts j	3	k a ts j u//k a ts j u + p i ts ʌ	
tsts	ts + ts	1	notstse	Barpak1
tsts$	ts + ts	2	hwatstsjo//tshwatstse	Barpak1/Laprak
tstsj	ts + ts j	1	h w a tsts j o	
tt	t + t	4	sattʌ//khwattine	Gumda/Laprak
tˢ	ts	1	u tˢ i	
tˢ$	ts	1	utˢi	Brpak2 (Ghale)
t̺	+ t̺	6	lat̺ʌ//lat̺ʌ	Brpak2 (Ghale)/Gumda/Laprak
t̺h$	+ t̪ʰ	1	t̺hũt̺hja	Mandre
t̺hj	t̺ʰ j	1	t̺h ũ t̺h j a	
t̺t̺	t̺ + t̺	3	lamkhut̺t̺e//lamkhut̺t̺e	Mandre/Brpak2 (Ghale)/Barpak1
u	u	309	ŋuba//kuŋ	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
ui	ui	1	sjui	Brpak2 (Ghale)
ui$	ui	2	muiŋ//sui	Laprak/Gumda
uiu	u + i/j u	1	muiuŋ	Mandre
uĩ$	uĩ	3	muĩ//muĩ	Mandre/Brpak2 (Ghale)/Barpak1
w	+ w	48	ŋwʌ//ŋwʌ	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
^ŋw	ŋ w
ã	ã	6	mjã//mjã	Barpak1/Brpak2 (Ghale)/Mandre
õ	õ	3	mhõ//kljõbʌ	Brpak2 (Ghale)/Gumda/Laprak
ŋ	+ ŋ	142	kuŋ//rudzupuŋ	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
ŋb	ŋ + b	6	t ʌ ŋ b o//t ʌ ŋ b o	
ŋdj	ŋ + d j	1	n j a ŋ d j a	
ŋg	ŋ + g	7	s i ŋ g a//s i ŋ g a	
ŋgj	ŋ + g j	1	k j u l i ŋ g j a	
ŋk	ŋ + k	3	s i ŋ k a//th i ŋ k e	
ŋkj	ŋ + k j	3	k j u l i ŋ k j a//p u j u ŋ k j u	
ŋl	ŋ + l	1	l a ŋ l ʌ	
ŋp	ŋ + p	2	d o ŋ p o//t a ŋ p o	
ŋplj	ŋ + p l j	1	l u ŋ p l j a ŋ	
ŋr	ŋ + r	1	n u ŋ r a	
ŋrj	ŋ + r j	4	n o ŋ r j a//n o ŋ r j a	
ŋs	ŋ + s	1	jʌŋsise	Laprak
ŋ–$	ŋ	1	plʌŋ–	Laprak
ũ	ũ	5	kjũ//t̺hũt̺hja	Mandre/Laprak/Gumda
ɔ	ɔ	12	kɔ//pisɔ	Mandre/Laprak/Barpak1/Gumda
ɛ	ɛ	3	nɛte//sɛ	Brpak2 (Ghale)
ɳ	+ n j	1	phẽɳʌ	Laprak
ʌ	ʌ	542	ŋwʌ//ŋwʌ	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
ʌ:$	ʌː	1	kʌ:p	Mandre
ʌe$	ʌe	1	sʌetja	Barpak1
ʌi	ʌi	2	nʌiphlʌsʌi//nʌŋgʌi	Barpak1/Gumda
ʌi$	ʌi	8	nʌiphlʌsʌi//mʌidja	Barpak1/Brpak2 (Ghale)/Mandre/Laprak
ʌu	ʌu	1	hʌthʌud̺o	Laprak
ʌu$	ʌu	1	kʌum	Brpak2 (Ghale)
ʌĩ$	ʌĩ	1	mʌĩ	Mandre
ʌ̃	ʌ̃	1	ŋwʌ̃	Brpak2 (Ghale)
ʌ̃$	ʌ̃	3	wʌ̃//rʌ̃	Brpak2 (Ghale)/Laprak
ẽ	ẽ	3	bhẽda//phẽɳʌ	Mandre/Barpak1/Laprak
e–	e	23	pe–//li–	Laprak
i–	i
_	+
^phja_^(over)	pʰ j a
^ek_^sə	e k + s ə
ek_^sə	e k + s ə
^ek_^sə	e k + s ə
–	NULL
