Grapheme	IPA	Frequency	Examples	Languages
(over)	NULL	5	tshʌm(dzʌ)//phja (over)	Mandre/Brpak2 (Ghale)/Gumda/Laprak
(under)	NULL	5	tshʌm(dzʌ)//phja (over)	Mandre/Brpak2 (Ghale)/Gumda/Laprak
+	+	22	ŋelʌm nʌ//ŋjalʌm nʌ	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
^a	a	9	am//am	Barpak1/Brpak2 (Ghale)/Gumda/Laprak
^b	b	23	bi:sʌ//bʌdʌm	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
^bh	bʰ	2	bhẽda//bhent̺a	Mandre/Brpak2 (Ghale)
^d	d	10	djaŋ//djaŋ	Barpak1/Brpak2 (Ghale)/Gumda/Laprak
^dh	dʰ	1	dhulu	Brpak2 (Ghale)
^dj	d j	2	d j a ŋ//d j a ŋ	
^dz	dz	5	dzju//dzo	Barpak1/Brpak2 (Ghale)
^dzh	dzʰ	1	dzhiri	Brpak2 (Ghale)
^dzj	dz j	1	dz j u	
^d̺	d̺	5	d̺ʌm//d̺oja	Barpak1/Brpak2 (Ghale)
^e	e	2	eghrʌ//eghar	Brpak2 (Ghale)/Gumda
^g	g	13	gjaŋ//gʌ	Barpak1/Brpak2 (Ghale)/Laprak
^gj	g j	2	g j a ŋ//g j e n	
^h	h	17	hʌthʌud̺o//hoŋ	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
^hj	h j	1	h j a	
^hw	h w	2	h w a//h w a tsts j o	
^i	i	1	inne	Laprak
^j	j	25	ja//ja	Mandre/Barpak1/Gumda/Brpak2 (Ghale)/Laprak
^jw	j w	3	j w a//j w a –	
^k	k	157	kuŋ//kjaŋ	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
^kh	kʰ	46	khum nʌ//khum nʌ	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
^khj	kʰ j	10	kh j ʌ//kh j o	
^khl	kʰ l	3	kh l i//kh l i	
^khw	kʰ w	3	kh w a s i//kh w a tt i n e	
^kj	k j	28	k j a ŋ//k j u	
^kl	k l	6	k l i//k l i	
^klj	k l j	5	k l j ʌ m//k l j ʌ m	
^kw	k w	6	k w a//k w a	
^l	l	78	li//li	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
^lh	lʰ	10	lho//lho	Mandre/Barpak1/Gumda/Brpak2 (Ghale)/Laprak
^m	m	135	mja//mjã	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
^mh	mʰ	6	mhja//mhu	Mandre/Brpak2 (Ghale)/Laprak
^mhj	mʰ j	1	mh j a	
^mj	m j	10	m j a//m j ã	
^n	n	77	nʌ//nʌ	Mandre/Barpak1/Gumda/Brpak2 (Ghale)/Laprak
^nh	nʰ	2	nhap//nhiŋ	Laprak/Gumda
^nj	n j	5	n j ʌ l ʌ m//n j a l ʌ m	
^nw	n w	1	n w ʌ	
^p	p	60	pʌje//pe–	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
^ph	pʰ	16	phʌbʌ//phenʌ	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
^phj	pʰ j	1	ph j a + ( o v e r )	
^pj	p j	6	p j u ŋ//p j a dz	
^pl	p l	4	p l o ŋ//p l ʌ ŋ–	
^plj	p l j	5	p l j a ŋ//p l j a ŋ	
^pr	p r	9	p r ʌ//p r ʌ b ʌ	
^pʰ	pʰ	1	pʰoel	Laprak
^r	r	29	rudzupuŋ//rudzu puŋ	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
^rj	r j	2	r j oe –//r j ʌ ŋ ʌ	
^rw	r w	5	r w oe//r w e	
^s	s	124	sjʌ//sʌ	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
^sh	sʰ	3	shʌ//shjasi	Gumda/Laprak
^shj	sʰ j	2	sh j a s i//sh j ʌ –	
^sj	s j	44	s j ʌ//s j u ŋ g a	
^sw	s w	4	s w i ts i g a//s w i	
^t	t	53	twa//twa	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
^th	tʰ	21	thektsʌ//thjasʌ	Mandre/Barpak1/Gumda/Brpak2 (Ghale)/Laprak
^thj	tʰ j	2	th j a s ʌ//th j a m	
^thw	tʰ w	1	th w a b i	
^tj	t j	11	t j a ŋ//t j a ŋ	
^ts	ts	72	tsjan//tsju	Mandre/Barpak1/Gumda/Brpak2 (Ghale)/Laprak
^tsh	tsʰ	24	tshʌm(dzʌ)//tshumdzʌ	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
^tshj	tsʰ j	1	tsh j a t̺ u ŋ	
^tshw	tsʰ w	3	tsh w a t̺ u ŋ//tsh w a n i ŋ	
^tsj	ts j	26	ts j a n//ts j u	
^tw	t w	5	t w a//t w a	
^tˢ	tˢ	2	tˢʌ//tˢon	Mandre/Laprak
^t̺	t̺	32	t̺ʌ//t̺ʌ	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
^t̺h	t̺ʰ	9	t̺heksʌ//t̺hũt̺hja	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
^t̺hw	t̺ʰ w	1	t̺h w ʌ	
^t̺j	t̺ j	4	t̺ j a r ʌ ŋ//t̺ j a r ʌ ŋ	
^t̺w	t̺ w	1	t̺ w a	
^u	u	12	undu//undu	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
^w	w	5	wʌ̃//woŋ	Brpak2 (Ghale)/Gumda/Laprak
^wh	wʰ	1	whʌ	Brpak2 (Ghale)
^ŋ	ŋ	67	ŋwʌ//ŋwʌ	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
^ŋh	ŋʰ	2	ŋhur//ŋhi	Barpak1/Brpak2 (Ghale)
^ŋj	ŋ j	11	ŋ j a l ʌ m + n ʌ//ŋ j a l ʌ m	
^ŋw	ŋ w	3	ŋ w ʌ//ŋ w ʌ	
^ɼ	ɽ	1	ɼoe	Gumda
^ɽ	ɽ	1	ɽusupuŋ	Brpak2 (Ghale)
^ʌ	ʌ	19	ʌm//ʌm	Mandre/Brpak2 (Ghale)/Barpak1/Laprak
a	a	330	ŋuba//tsjan	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
ai$	ai	7	mai//bai	Barpak1/Brpak2 (Ghale)/Laprak/Gumda
au$	au	2	kauli//kauli	Brpak2 (Ghale)/Gumda
b	+ b	83	ŋuba//rʌdzʌbaŋ	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
bh	+ bʰ	2	phulum bhẽd̺a//golbhed̺a	Barpak1/Brpak2 (Ghale)
bl	+ b l	1	p ʌ d i + b l a ŋ	
d	+ d	71	lhadjaŋ//ladjaŋ	Mandre/Barpak1/Gumda/Brpak2 (Ghale)/Laprak
i:	iː
o:	oː
dj	+ d j	10	lh a d j a ŋ//l a d j a ŋ	
dz	+ dz	33	rudzupuŋ//rudzu puŋ	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
dz$	dz	3	udzi//ʌdzi	Barpak1/Brpak2 (Ghale)
dzj	+ dz j	1	kh u dz j a	
d̺	+ d̺	5	hʌthʌud̺o//phulum bhẽd̺a	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
ʌ:	ʌː
dᶻ	+ dz	1	dadᶻu	Brpak2 (Ghale)
e	e	154	t̺ephu//pʌje	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
ei$	ei	1	keirtsen	Brpak2 (Ghale)
g	+ g	23	t̺uga//siŋga	Mandre/Barpak1/Gumda/Brpak2 (Ghale)/Laprak
gh	gʰ	1	e gh a r	
gh$	gʰ	2	eghrʌ//eghar	Brpak2 (Ghale)/Gumda
ghr	+ gʰ r	1	e gh r ʌ	
gj	g j	1	d̺ o g j a	
h	+ h	1	numuhju	Laprak
hj	+ h j	1	n u m u h j u	
i	i	286	ŋilam nʌ//li	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
i:$	iː	6	li:ni//pi:sʌ	Mandre/Brpak2 (Ghale)/Barpak1
iu$	i u	1	miuŋ	Mandre
j	j	296	sjʌ//tsjan	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
k	+ k	46	t̺oka//siŋka	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
kh	+ kʰ	8	lamkhut̺t̺e//lamkhut̺t̺e	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
khnj	k ʰn + j	1	t̺ ʌ kh n j a	
khw	kʰ w	1	n i ŋ g e + ( kh w a tt i )	
(	NULL
)	NULL
kj	k j	4	k u j u ŋ + k j u//t̺ o k j a	
kk	k + k	3	t̺ʌkkʌnne//t̺ʌkkʌne	Brpak2 (Ghale)/Laprak
kkh	k + kʰ	1	d̺ ʌ k kh ʌ	
kp	k + p	2	m u k p ʌ//m u k p ʌ	
ks	k + s	1	t̺heksʌ	Mandre
kts	k + ts	2	t j a k ts ʌ//th e k ts ʌ	
kw	k w	1	ŋ i n ʌ + ( k w a n e )	
l	+ l	88	ŋelʌm nʌ//ŋjalʌm nʌ	Mandre/Barpak1/Brpak2 (Ghale)/Laprak/Gumda
lbh	l + bʰ	1	g o l bh e d̺ a	
lg	l + g	1	ph u l g o b i	
lkj	l + k j	1	s j a l k j u b ʌ	
ll	l + l	2	mʌllʌm//mʌllʌŋ	Mandre/Brpak2 (Ghale)
lph	l + pʰ	1	g ʌ l ph e d ʌ	
