Grapheme	IPA	Frequency	Examples	Languages
_	+	2	miʔmaiʔ pasjaŋse//miʔmaiʔ pasjaŋse	Mulgaun/Chambak
^a	a	64	aba//aba	Mangthana/Chambak/Chaudhari Tole/Mulgaun/Nangchhuwa
^b	b	65	bagara//bagara	Mangthana/Chambak/Chaudhari Tole/Mulgaun/Nangchhuwa
^bh	bʱ	2	bheni//bheni	Mulgaun/Chambak
^c	tʃ	51	curi//curi	Mangthana/Chambak/Chaudhari Tole/Mulgaun/Nangchhuwa
^ch	tʃʰ	37	chati//chati	Mangthana/Chambak/Chaudhari Tole/Mulgaun/Nangchhuwa
^d	d	20	duwari//dwari	Mangthana/Chambak/Chaudhari Tole/Mulgaun/Nangchhuwa
^dh	dʱ	20	dhuri//dhuri	Mangthana/Chambak/Chaudhari Tole/Mulgaun/Nangchhuwa
^dw	d w	2	d w a r i//d w a r i	
^dz	dz	25	dziu//dziu	Mangthana/Chambak/Chaudhari Tole/Mulgaun/Nangchhuwa
^e	e	10	egharəgeḍa//egharəgeḍa	Mangthana/Chambak/Chaudhari Tole/Mulgaun/Nangchhuwa
^g	g	5	gəhu//gəhu	Mangthana/Chambak/Chaudhari Tole/Mulgaun/Nangchhuwa
^gh	gʱ	2	ghǝnǝ//ghǝnǝ	Mangthana/Mulgaun
^h	h	105	hǝtkela//hǝtkela	Mangthana/Chambak/Chaudhari Tole/Mulgaun/Nangchhuwa
^i	i	5	imma//imma	Mangthana/Chambak/Chaudhari Tole/Mulgaun/Nangchhuwa
^j	j	18	jaŋguli//jaŋguli	Mangthana/Chambak/Chaudhari Tole/Mulgaun/Nangchhuwa
^k	k	54	keŋ//keŋ	Mangthana/Chambak/Chaudhari Tole/Mulgaun/Nangchhuwa
^kh	kʰ	29	khim//khim	Mangthana/Chambak/Chaudhari Tole/Mulgaun/Nangchhuwa
^l	l	56	lem//lem	Mangthana/Chambak/Chaudhari Tole/Mulgaun/Nangchhuwa
^m	m	83	mɨk//mɨkɨlsi	Mangthana/Chambak/Chaudhari Tole/Mulgaun/Nangchhuwa
^n	n	74	narek//narek	Mangthana/Chambak/Chaudhari Tole/Mulgaun/Nangchhuwa
^p	p	54	popola//popola	Mangthana/Chambak/Chaudhari Tole/Mulgaun/Nangchhuwa
^ph	pʰ	35	phurum//phurum	Mangthana/Chambak/Chaudhari Tole/Mulgaun/Nangchhuwa
^pj	p j	5	p j a dz//p j a dz u	
^r	r	12	ruphawa//ruphawa	Mangthana/Chambak/Chaudhari Tole/Mulgaun/Nangchhuwa
^s	s	79	saruwa//saruwa	Mangthana/Chambak/Chaudhari Tole/Mulgaun/Nangchhuwa
