Grapheme	IPA	Frequency	Examples	Languages
+	+	9	muktem ma//mukte mma	Rudra bari/Piple/Belhara
-	NULL
^	NULL
_	+
^a	a	59	anari//aŋgulik	Rudra bari/Piple/Belhara/Guthitar
^aya	a + j a	2	ayambicha//ayambicha	Belhara
^b	b	34	bərkha//badəl	Rudra bari/Piple/Belhara/Guthitar
^bh	bʱ	6	bhənta//bhənta	Rudra bari/Piple/Belhara
^c	tʃ	34	cətsuŋgi//cuwa	Rudra bari/Piple/Belhara/Guthitar
^ch	tʃʰ	24	choʔkmasik//cheʔpma	Rudra bari/Piple/Belhara/Guthitar
^d	d	15	dudh//dudh	Rudra bari/Piple/Belhara/Guthitar
^dh	dʱ	7	dhuri//dhuri	Rudra bari/Piple/Belhara/Guthitar
^e	e	14	epheŋkha//epheŋdheʔ	Rudra bari/Piple/Belhara/Guthitar
^ei	ei	2	eikha//eikha	Piple/Guthitar
^ei:	eiː	1	ei:kha	Rudra bari
^g	g	10	gãu//gãu	Rudra bari/Piple/Belhara/Guthitar
^h	h	71	hǝʔwa//hoʔwa	Rudra bari/Piple/Belhara/Guthitar
^h:	hː	1	h:kyaŋ	Belhara
^h:k	!h:k/k	1	h: k ya ŋ	
^i	i	28	imbicha//inetto	Rudra bari/Piple/Belhara/Guthitar
^j	j	8	jiu//jiu	Rudra bari/Piple/Belhara/Guthitar
^k	k	29	keŋ//keŋ	Rudra bari/Piple/Belhara/Guthitar
^kh	kʰ	26	khim//khim	Rudra bari/Piple/Belhara/Guthitar
^l	l	45	lephpha//lekhpha	Rudra bari/Piple/Belhara/Guthitar
^m	m	68	mik//mik	Rudra bari/Piple/Belhara/Guthitar
^mh	m̥	1	mhechya	Guthitar
^n	n	40	nabhak//nabhak	Rudra bari/Piple/Belhara/Guthitar
^nh	n̥	4	nhabhak//nhubhek	Rudra bari/Piple/Belhara
^oe	oe	3	oeʔtae//oeʈʈayu	Rudra bari/Piple/Belhara
^p	p	38	popola//pyaj	Rudra bari/Piple/Belhara/Guthitar
^ph	pʰ	37	phyak//phiyak	Rudra bari/Piple/Belhara/Guthitar
^r	r	11	ruʔwa//ruʔwa	Rudra bari/Piple/Belhara/Guthitar
^s	s	67	siŋ//siŋ	Rudra bari/Piple/Belhara/Guthitar
^t	t	10	taŋge//taŋgek	Rudra bari/Piple/Belhara/Guthitar
^tsh	tsʰ	7	tshoʔkmasik//tshokmasik	Rudra bari/Piple/Belhara/Guthitar
^u	u	55	uruwa//uruʔwa	Rudra bari/Piple/Belhara/Guthitar
^w	w	19	welik//wacile	Rudra bari/Piple/Belhara/Guthitar
^ya	j a	3	yambicha acha//yambicha acha	Piple/Belhara/Guthitar
^ye	j e	10	yembicha//yembetsha	Rudra bari/Piple/Belhara/Guthitar
^yei	j ei	1	yeika	Guthitar
^yo	j o	1	yoba	Belhara
^yu	j u	7	yum//yum	Rudra bari/Piple/Belhara/Guthitar
^yãu	j ãu	2	yãukha//yãukha	Rudra bari/Belhara
^ã	ã	3	ãmbiba//ãmbibu	Rudra bari/Piple/Belhara
^ŋ	ŋ	6	ŋaʔlabu//ŋaʔlabu	Rudra bari/Piple/Belhara/Guthitar
^ŋh	ŋ̊	1	ŋhasa	Piple
^ə	ə	3	əŋguthi//əŋguthi	Rudra bari/Piple/Belhara
^əu	əu	1	əuŋthi	Guthitar
^ʈ	ʈ	19	ʈoraŋ//ʈoraŋ	Rudra bari/Piple/Belhara/Guthitar
^ʈh	ʈʰ	1	ʈhabuʈ	Piple
^ṭ	ʈ	6	ṭoŋghyaŋ//ṭoŋghyaŋ	Rudra bari/Piple/Belhara/Guthitar
