Grapheme	IPA	Frequency	Examples	Languages
a	a	768	.ta//.ta	Yarsa/Chhetrapa/Sikri/Kharoban
o	o	261	go//go	Yarsa/Chhetrapa/Sikri/Kharoban
e	e	256	tshet//tshed	Yarsa/Chhetrapa/Sikri/Kharoban
i	i	252	mik//mik	Yarsa/Chhetrapa/Sikri/Kharoban
u	u	248	rup//namdzuk	Yarsa/Sikri/Chhetrapa/Kharoban
m	+ m	193	namdzjok//namdzuk	Yarsa/Chhetrapa/Sikri/Kharoban
l	+ l	171	tsele//tsela	Yarsa/Chhetrapa/Sikri/Kharoban
k	+ k	163	mik//mik	Yarsa/Chhetrapa/Sikri/Kharoban
b	+ b	149	suba//suba	Yarsa/Chhetrapa/Sikri/Kharoban
ŋ	+ ŋ	143	ŋiŋ//niŋ	Yarsa/Chhetrapa/Sikri/Kharoban
r	+ r	132	anwar//pəra	Yarsa/Sikri/Chhetrapa/Kharoban
j	+ j	115	namdzjok//namdzjok	Yarsa/Chhetrapa/Sikri/Kharoban
^th	tʰ	109	thekpa//.thak	Yarsa/Sikri/Chhetrapa/Kharoban
p	+ p	105	rup//lakpa	Yarsa/Chhetrapa/Sikri/Kharoban
^s	s	104	sa//sa	Yarsa/Chhetrapa/Sikri/Kharoban
t	+ t	90	tshet//tshet	Yarsa/Chhetrapa/Sikri/Kharoban
n	+ n	87	anwar//kuino	Yarsa/Sikri/Chhetrapa/Kharoban
ə	ə	83	pəra//hətkela	Yarsa/Chhetrapa/Sikri/Kharoban
^k	k	70	kuino//kuina	Yarsa/Chhetrapa/Sikri/Kharoban
^kh	kʰ	69	kha//kha	Yarsa/Chhetrapa/Sikri/Kharoban
^ŋ	ŋ	69	ŋiŋ//ŋiŋ	Yarsa/Chhetrapa/Sikri/Kharoban
^ts	ts	66	tsele//tsela	Yarsa/Chhetrapa/Sikri/Kharoban
^m	m	61	mik//mik	Yarsa/Chhetrapa/Sikri/Kharoban
^d	d	60	do//dardok	Yarsa/Sikri/Chhetrapa/Kharoban
^g	g	50	go//go	Yarsa/Chhetrapa/Sikri/Kharoban
dz	+ dz	49	namdzjok//namdzuk	Yarsa/Chhetrapa/Sikri/Kharoban
^n	n	45	namdzjok//namdzuk	Yarsa/Chhetrapa/Sikri/Kharoban
