Grapheme	IPA	Frequency	Examples	Languages
a	a	476	tsjiutan//mohʌḍa	Pokhara/Sikles/Khasur/Bhujung/Sirubari
ʌ	ʌ	268	krʌ//krʌ	Pokhara/Sikles/Khasur/Bhujung/Sirubari
i	i	232	mi//libo	Pokhara/Sikles/Khasur/Bhujung/Sirubari
b	+ b	179	libo//tibi	Pokhara/Sikles/Khasur/Bhujung/Sirubari
j	+ j	170	tsjiutan//sujeba	Pokhara/Sikles/Khasur/Bhujung/Sirubari
u	u	166	nʌkhu//nʌkhu	Pokhara/Sikles/Khasur/Bhujung/Sirubari
r	+ r	152	krʌ//krʌ	Pokhara/Sikles/Khasur/Bhujung/Sirubari
o	o	146	krʌpo//libo	Pokhara/Sikles/Khasur/Bhujung/Sirubari
e	e	117	le//le	Pokhara/Sikles/Khasur/Bhujung/Sirubari
^k	k	111	krʌ//krʌ	Pokhara/Sikles/Khasur/Bhujung/Sirubari
l	+ l	111	jopla//jopla	Pokhara/Sikles/Khasur/Bhujung/Sirubari
^m	m	94	mi//mohʌḍa	Pokhara/Sikles/Khasur/Bhujung/Sirubari
^ts	ts	81	tsjiutan//tsʌkku	Pokhara/Sikles/Khasur/Bhujung/Sirubari
^s	s	73	sũ//sũ	Pokhara/Sikles/Khasur/Bhujung/Sirubari
^p	p	69	pʌĩḍa//pla	Pokhara/Sikles/Khasur/Bhujung/Sirubari
m	+ m	66	amla//juma	Pokhara/Sikles/Khasur/Bhujung/Sirubari
n	+ n	61	tsjiutan//kuino	Pokhara/Sikles/Khasur/Bhujung/Sirubari
^ŋ	ŋ	61	ŋõ//ŋẽ̤	Pokhara/Sikles/Khasur/Bhujung/Sirubari
^n	n	58	nʌpẽ//nwãkhõ	Pokhara/Sikles/Khasur/Bhujung/Sirubari
^t	t	53	tibi//ti:	Pokhara/Sikles/Khasur/Bhujung/Sirubari
^r	r	51	riḍi//ripa	Pokhara/Sikles/Khasur/Bhujung/Sirubari
s	+ s	48	josĩ//josĩ	Pokhara/Sikles/Khasur/Bhujung/Sirubari
õ	õ	44	ŋõ//mĩkhõ	Pokhara/Sikles/Khasur/Bhujung/Sirubari
^l	l	41	li://li:	Pokhara/Sikles/Khasur/Bhujung/Sirubari
^kh	kh	41	khli//khli	Pokhara/Sikles/Khasur/Bhujung/Sirubari
g	+ g	40	pugla//jargodi	Pokhara/Sikles/Khasur/Bhujung/Sirubari
^j	j	39	jo//jo	Pokhara/Sikles/Khasur/Bhujung/Sirubari
ẽ	ẽ	38	nʌpẽ//nẽpẽ	Pokhara/Sikles/Khasur/Bhujung/Sirubari
ĩ	ĩ	37	mĩkhõ//jorĩ	Pokhara/Sikles/Khasur/Bhujung/Sirubari
^ṭ	ṭ	37	ṭibli//ṭĩ	Pokhara/Sikles/Khasur/Bhujung/Sirubari
ã	ã	33	nwãkhõ//nã	Pokhara/Sikles/Khasur/Bhujung/Sirubari
^b	b	33	baluwa//baluwa	Pokhara/Sikles/Khasur/Bhujung/Sirubari
^ph	ph	32	pho//phʌ	Pokhara/Sikles/Khasur/Bhujung/Sirubari
^tsh	tsh	31	tshĩ//tshan	Pokhara/Sikles/Khasur/Bhujung/Sirubari
d	+ d	29	kurdu//mrẽdum	Pokhara/Sikles/Khasur/Bhujung/Sirubari
ũ	ũ	26	sũ//sũ	Pokhara/Sikles/Khasur/Bhujung/Sirubari
^a	a	26	amla//alu	Pokhara/Sikles/Khasur/Bhujung/Sirubari
k	+ k	24	nukri//kuku	Pokhara/Sikles/Khasur/Bhujung/Sirubari
p	+ p	23	krʌpo//nʌpẽ	Pokhara/Sikles/Khasur/Bhujung/Sirubari
ŋ	+ ŋ	22	suŋ//tiŋa	Pokhara/Sikles/Khasur/Bhujung/Sirubari
ḍ	+ ḍ	21	mohʌḍa//pʌĩḍa	Pokhara/Sikles/Khasur/Bhujung/Sirubari
dz	+ dz	20	kurdzu//podzo	Pokhara/Sikles/Khasur/Bhujung/Sirubari
ts	+ ts	18	kutso//kutso	Pokhara/Sikles/Khasur/Bhujung/Sirubari
^th	th	18	thaŋi//thʌŋi	Pokhara/Sikles/Khasur/Bhujung/Sirubari
