Grapheme	IPA	Frequency	Examples	Languages
?	ʔ	2	umphe?phe?wa//umphe?phe?wa	Okhre, Khena
^	NULL
^M	!M/m	1	Mitma sɨʔwaŋ	Khoku, Dhankuta
^a	a	40	aŋguli//aba	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
^ai	ai	2	ai//ai	Okhre, Khena/Timma, Rimchim
^b	b	81	buk//buk	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
^bh	bʰ	5	bhuk//bhanḍɨk	Lungin (Hatuwa)/Khoku, Dhankuta
^bʰ	bʰ	2	bʰen//bʰen	Okhre, Khena/Timma, Rimchim
^c	tʃ	36	cuwa//cuwa	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
^ch	tʃʰ	39	chaṭṭi//chaṭṭi	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
^cʰ	tʃʰ	1	cʰuri	Khoku, Dhankuta
^d	d	44	do//do	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
^dh	dʰ	20	dhuri//dhago	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
^dz	dz	11	dzəu//dzəu	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
^dzh	dʰ	2	dzharak//dzharak	Okhre, Khena
^dʰ	dʰ	1	dʰoka	Okhre, Khena
^e	e	15	egharə//egharə	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
^g	g	8	gəhu//gəhu	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
^h	h	51	həṭkela//həṭkela	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
^hj	h j
^i	i	8	inni//imma	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
^j	dʒ	34	jam//jam	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
^jh	dʒʱ	1	jhana	Thidingkha, (Amchok)
^k	k	51	kɨŋ//kɨŋ	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
^kh	kʰ	74	khɨ//khɨ	Lungin (Hatuwa)/Okhre, Khena/Timma, Rimchim/Khoku, Dhankuta/Thidingkha, (Amchok)
^kʰ	kʰ	2	kʰakʰut//kʰakʰut	Okhre, Khena/Timma, Rimchim
