Grapheme	IPA	Frequency	Examples	Languages
ɂpj	ʔ + p j
_	+
_^	+
+	+	8	bijuli tsʌmkʌnu//bijuli tsʌmkʌnu	Bar tole-1, TD/Danda tole-3, TD/Bastim-1/Tharpu-3, SD/Chaukibari-4, SD
^A	a	1	Aŋpoɂk	Chaukibari-4, SD
^a	a	31	aŋgula//ambubu	Bar tole-1, TD/Danda tole-3, TD/Bastim-1/Tharpu-3, SD/Chaukibari-4, SD
^ai	ai	2	ai//ai	Bastim-1/Danda tole-3, TD
^au	au	6	aula//au	Bar tole-1, TD/Danda tole-3, TD/Bastim-1/Tharpu-3, SD/Chaukibari-4, SD
^aũ	aũ	4	aũt̺hi//aũt̺hi	Bastim-1/Tharpu-3, SD/Chaukibari-4, SD/Bar tole-1, TD
^b	b	47	bitsʌkʌln//bʌntsʌro	Bar tole-1, TD/Danda tole-3, TD/Bastim-1/Tharpu-3, SD/Chaukibari-4, SD
^bh	bʱ	6	bhŭḍi//bhent̺a	Bastim-1/Tharpu-3, SD/Bar tole-1, TD/Danda tole-3, TD
^b̤	bʱ	3	b̤ʌnt̺a//b̤ʌnt̺a	Bastim-1/Chaukibari-4, SD/Bar tole-1, TD
^b̤h	bʱ	5	b̤hẽnd̺a//b̤hẽnd̺a	Bar tole-1, TD/Danda tole-3, TD/Bastim-1/Tharpu-3, SD/Chaukibari-4, SD
^c	tʃ	7	cʌmilo//car	Tharpu-3, SD/Chaukibari-4, SD/Bar tole-1, TD/Danda tole-3, TD
^ch	tʃʰ	8	chano//chano	Bar tole-1, TD/Danda tole-3, TD/Bastim-1/Tharpu-3, SD/Chaukibari-4, SD
^d	d	22	dudh//dudh	Bar tole-1, TD/Danda tole-3, TD/Bastim-1/Tharpu-3, SD/Chaukibari-4, SD
^dh	dʱ	8	dhoka//dhago	Bar tole-1, TD/Danda tole-3, TD/Bastim-1/Tharpu-3, SD/Chaukibari-4, SD
^dw	d w	2	d w a r//d w a r	
^dz	dz	4	dzʌra//dzou	Danda tole-3, TD
^dzh	dzʱ	7	dzhan//dzhara	Bastim-1/Tharpu-3, SD/Chaukibari-4, SD/Bar tole-1, TD
