ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Location,Subgroup,Dataset
Athpahariya-Santang,Santang,athp1241,Athpariya,aph,Eurasia,26.9572,87.3659,Sino-Tibetan,"Santang Deurali, (Dhankuta Municipality 8)",,Athpahariya_Words
Athpahariya-Tekunala,Tekunala,athp1241,Athpariya,aph,Eurasia,26.951,87.3427,Sino-Tibetan,Tekunala (Dhankuta Municipality 9),,Athpahariya_Words
Athpahariya-Guthitar,Guthitar,athp1241,Athpariya,aph,Eurasia,26.9651,87.3215,Sino-Tibetan,Guthitar (Dhankuta Municipality 14),,Athpahariya_Words
Athpahariya-Khalde,Khalde,athp1241,Athpariya,aph,Eurasia,26.9871,87.3177,Sino-Tibetan,Khalde (Dhankuta Municipality 3) in Dhankuta district,,Athpahariya_Words
Athpahariya-Hatiya,Hatiya /Dhan kuta Bazaar,athp1241,Athpariya,aph,Eurasia,26.9725,87.3438,Sino-Tibetan,Dhankuta Bazaar (Dhankuta Municipality 1),,Athpahariya_Words
Bantawa-Khoku,"Khoku, Dhankuta",bant1281,Bantawa,bap,Eurasia,26.9831,87.2258,Sino-Tibetan,"Khoku, Thapa Tole",,Bantawa_Words
Bantawa-Lungin,Lungin (Hatuwa),bant1281,Bantawa,bap,Eurasia,27.0244,87.0876,Sino-Tibetan,"Hatuwa, Lungin",,Bantawa_Words
Bantawa-Thidingkha,"Thidingkha, (Amchok)",bant1281,Bantawa,bap,Eurasia,27.0,86.0138,Sino-Tibetan,"Amchok, Thidinkha",,Bantawa_Words
Bantawa-Timma,"Timma, Rimchim",bant1281,Bantawa,bap,Eurasia,27.2334,86.9804,Sino-Tibetan,"Timma, Rimchim",,Bantawa_Words
Bantawa-Okhre,"Okhre, Khena",bant1281,Bantawa,bap,Eurasia,27.0989,86.9514,Sino-Tibetan,"Okhre, Khena",,Bantawa_Words
Belhare-Belhare,Belhara,belh1239,Belhariya,byw,Eurasia,,,Sino-Tibetan,Belahara (Dhankuta Municipality 9),,Belhare
Belhare-Piple,Piple,belh1239,Belhariya,byw,Eurasia,,,Sino-Tibetan,Piple (Dhankuta Municipality 9),,Belhare
Belhare-Guthitar,Guthitar,belh1239,Belhariya,byw,Eurasia,,,Sino-Tibetan,Guthitar (Dhankuta Municipality 14),,Belhare
Belhare-Rudrabari,Rudra bari,belh1239,Belhariya,byw,Eurasia,,,Sino-Tibetan,Rudrabari (Dhankuta Municipality 9,,Belhare
Chamling-Hadunge,Hadunge,caml1239,Camling,rab,Eurasia,27.1771,86.1766,Sino-Tibetan,Durchhim (Hadunge),,Chamling_Words
Chamling-Halesi,Halesi,caml1239,Camling,rab,Eurasia,27.1911,86.4546,Sino-Tibetan,Mahadevsthan (Halesi),,Chamling_Words
Chamling-Ratanchha,Ratanchha,caml1239,Camling,rab,Eurasia,27.1806,86.8398,Sino-Tibetan,Ratanchha (Kolle),,Chamling_Words
Chamling-Balamta,Balamta,caml1239,Camling,rab,Eurasia,27.1,86.6706,Sino-Tibetan,Balamta (Majhgaun),,Chamling_Words
Chamling-Aaptar,Aaptar,caml1239,Camling,rab,Eurasia,27.005,86.7519,Sino-Tibetan,Aaptar (Rasuwa),,Chamling_Words
Chintang-ChaudhariTole,Chaudhari Tole,chhi1245,Chintang,ctn,Eurasia,26.9534,87.2258,Sino-Tibetan,Chaudhari Tole,,Chintang_Words
Chintang-Mulgaun,Mulgaun,chhi1245,Chintang,ctn,Eurasia,27.0244,87.0876,Sino-Tibetan,Mulgaun,,Chintang_Words
Chintang-Nangchhuwa,Nangchhuwa,chhi1245,Chintang,ctn,Eurasia,26.9355,87.1952,Sino-Tibetan,Mulgaun,,Chintang_Words
Chintang-Mangthana,Mangthana,chhi1245,Chintang,ctn,Eurasia,26.9548,87.2048,Sino-Tibetan,Mangthana,,Chintang_Words
Chintang-Chambak,Chambak,chhi1245,Chintang,ctn,Eurasia,26.8684,87.1042,Sino-Tibetan,Chhambak,,Chintang_Words
Dhimal-West,Dhimal West,dhim1246,Dhimal,dhi,Eurasia,,,Sino-Tibetan,,,Dhimal
Dhimal-East,Dhimal East,dhim1246,Dhimal,dhi,Eurasia,,,Sino-Tibetan,,,Dhimal
Chulung-Barbhanjyang,Barbhanjyang,chhu1238,Chhulung,cur,Eurasia,26.9622,87.2586,Sino-Tibetan,"Barbhanjyang, Ward 5",,Chulung
Chulung-Gairi,Gairi,chhu1238,Chhulung,cur,Eurasia,26.9731,87.2636,Sino-Tibetan,"Sukeahal, Ward 4",,Chulung
Chulung-Pakha,Pakha,chhu1238,Chhulung,cur,Eurasia,26.9542,87.2635,Sino-Tibetan,"Pokla, Ward 3",,Chulung
Chulung-Pokla,Pokla,chhu1238,Chhulung,cur,Eurasia,26.9473,87.2451,Sino-Tibetan,"Gairi, Ward 1",,Chulung
Chulung-Sukeahal,Suke-ahal,chhu1238,Chhulung,cur,Eurasia,27.4448,87.2561,Sino-Tibetan,"Pakha Gaun, Ward 1",,Chulung
Dulung-Bartole,Bartole,dung1252,Dungmali,raa,Eurasia,27.0864,87.1552,Sino-Tibetan,Thulo Dumma VDC-1 (Bartole),,Dungmali
Dulung-Dandatole,Dandatole,dung1252,Dungmali,raa,Eurasia,27.0864,87.1526,Sino-Tibetan,Thulo Dumma VDC-3 (Dandatole),,Dungmali
Dulung-Tharpu,Tharpu,dung1252,Dungmali,raa,Eurasia,27.1135,87.1728,Sino-Tibetan,Sano Dumma VDC-3 Tharpu,,Dungmali
Dulung-Chaukibari,Chaukibari,dung1252,Dungmali,raa,Eurasia,27.1076,87.1593,Sino-Tibetan,Sano Dumma VDC-3 Chaukibari,,Dungmali
Dulung-Bastim,Bastim,dung1252,Dungmali,raa,Eurasia,27.1085,87.1532,Sino-Tibetan,Bastim VDC-1 (Bastim),,Dungmali
Ghale-Gurung-Mandre,Mandre,ghal1246,Ghale,,,,,Sino-Tibetan,Mandre,,Ghale-Gurung
Ghale-Gurung-Barpak1,Barpak1,ghal1246,Ghale,,,,,Sino-Tibetan,Barpak1,,Ghale-Gurung
Ghale-Gurung-Barpak2,Brpak2 (Ghale),ghal1246,Ghale,,,,,Sino-Tibetan,Barpak2,,Ghale-Gurung
Ghale-Gurung-Laprak,Laprak,ghal1246,Ghale,,,,,Sino-Tibetan,Laprak,,Ghale-Gurung
Ghale-Gurung-Gumda,Gumda,ghal1246,Ghale,,,,,Sino-Tibetan,Gumda,,Ghale-Gurung
Gurung-Sirubari,Sirubari,guru1261,Gurung,gvr,Eurasia,28.1317,83.7593,Sino-Tibetan,"Sirubari, Syangja",,Gurung
Gurung-Pokhara,Pokhara,guru1261,Gurung,gvr,Eurasia,28.2128,84.0096,Sino-Tibetan,"Pokhara, Kaski",,Gurung
Gurung-Sikles,Sikles,guru1261,Gurung,gvr,Eurasia,28.164,84.0404,Sino-Tibetan,"Lekhnath, Kaski",,Gurung
Gurung-Khasur,Khasur,guru1261,Gurung,gvr,Eurasia,28.2301,84.3787,Sino-Tibetan,"Bensisahar, Lamjung",,Gurung
Gurung-Bhujung,Bhujung,guru1261,Gurung,gvr,Eurasia,29.5477,81.0217,Sino-Tibetan,"Khasur, Lamjung",,Gurung
Jirel-RatmateKot,Ratmate-Kot,jire1238,Jirel,jul,Eurasia,,,Sino-Tibetan,Sikri,,Jirel
Jirel-Sikri,Sikri,jire1238,Jirel,jul,Eurasia,,,Sino-Tibetan,Kharayoban,,Jirel
Jirel-Kharoban,Kharoban,jire1238,Jirel,jul,Eurasia,,,Sino-Tibetan,Kot-Ratmate,,Jirel
Jirel-Chhetrapa,Chhetrapa,jire1238,Jirel,jul,Eurasia,,,Sino-Tibetan,Jugu,,Jirel
Jirel-Yarsa,Yarsa,jire1238,Jirel,jul,Eurasia,,,Sino-Tibetan,Chetrapa,,Jirel
