ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Dataset,Gloss_in_Source,Borrowing
Athpahariya-Santang-1_body-1,,Athpahariya-Santang,1_body,dziu,dziu,dz iu,,Athpahariya,,,^dz iu$,Athpahariya-Santang,,,
Athpahariya-Tekunala-1_body-1,,Athpahariya-Tekunala,1_body,dziu,dziu,dz iu,,Athpahariya,,,^dz iu$,Athpahariya-Tekunala,,,
Belhare-Guthitar-1_body-1,,Belhare-Guthitar,1_body,dziu,dziu,dz i/j u,,Athpahariya,,,^dz iu$,Belhare-Guthitar,,,
Athpahariya-Khalde-1_body-1,,Athpahariya-Khalde,1_body,dziu,dziu,dz iu,,Athpahariya,,,^dz iu$,Athpahariya-Khalde,,,
Athpahariya-Hatiya-1_body-1,,Athpahariya-Hatiya,1_body,dziu,dziu,dz iu,,Athpahariya,,,^dz iu$,Athpahariya-Hatiya,,,
Bantawa-Khoku-1_body-1,,Bantawa-Khoku,1_body,pok,pok,p o k,,Bantawa,,,^p o k$,Bantawa-Khoku,,,
Bantawa-Lungin-1_body-1,,Bantawa-Lungin,1_body,jam,jam,dʒ a m,,Bantawa,,,^j a m$,Bantawa-Lungin,,,
Bantawa-Thidingkha-1_body-1,,Bantawa-Thidingkha,1_body,jam,jam,dʒ a m,,Bantawa,,,^j a m$,Bantawa-Thidingkha,,,
Bantawa-Timma-1_body-1,,Bantawa-Timma,1_body,jam,jam,dʒ a m,,Bantawa,,,^j a m$,Bantawa-Timma,,,
Bantawa-Okhre-1_body-1,,Bantawa-Okhre,1_body,pok,pok,p o k,,Bantawa,,,^p o k$,Bantawa-Okhre,,,
Belhare-Belhare-1_body-1,,Belhare-Belhare,1_body,jiu,jiu,j i/j u,,Belhare,,,^j iu$,Belhare-Belhare,,,
Belhare-Piple-1_body-1,,Belhare-Piple,1_body,jiu,jiu,j i/j u,,Belhare,,,^j iu$,Belhare-Piple,,,
Belhare-Guthitar-1_body-2,,Belhare-Guthitar,1_body,jiu,jiu,j i/j u,,Belhare,,,^j iu$,Belhare-Guthitar,,,
