ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Dataset,Gloss_in_Source,Borrowing
Belhare-Rudrabari-1_body-1,,Belhare-Rudrabari,1_body,jiu,jiu,j i/j u,,Belhare,,,^j iu$,Belhare-Rudrabari,,,
Chamling-Hadunge-1_body-1,,Chamling-Hadunge,1_body,bulim,bulim,b u + l i m,,Chamling,,,^b u l i m$,Chamling-Hadunge,,,
Chamling-Halesi-1_body-1,,Chamling-Halesi,1_body,bulim,bulim,b u + l i m,,Chamling,,,^b u l i m$,Chamling-Halesi,,,
Chamling-Ratanchha-1_body-1,,Chamling-Ratanchha,1_body,ram,ram,r a m,,Chamling,,,^r a m$,Chamling-Ratanchha,,,
Chamling-Balamta-1_body-1,,Chamling-Balamta,1_body,bulim,bulim,b u + l i m,,Chamling,,,^b u l i m$,Chamling-Balamta,,,
Chamling-Aaptar-1_body-1,,Chamling-Aaptar,1_body,dziu,dziu,dz j u,,Chamling,,,^dz iu$,Chamling-Aaptar,,,
Chintang-ChaudhariTole-1_body-1,,Chintang-ChaudhariTole,1_body,dziu,dziu,dz iu,,Chintang,,,^dz iu$,Chintang-ChaudhariTole,,,
Chintang-Mulgaun-1_body-1,,Chintang-Mulgaun,1_body,dziu,dziu,dz iu,,Chintang,,,^dz iu$,Chintang-Mulgaun,,,
Chintang-Nangchhuwa-1_body-1,,Chintang-Nangchhuwa,1_body,dziu,dziu,dz iu,,Chintang,,,^dz iu$,Chintang-Nangchhuwa,,,
Chintang-Mangthana-1_body-1,,Chintang-Mangthana,1_body,dziu,dziu,dz iu,,Chintang,,,^dz iu$,Chintang-Mangthana,,,
Chintang-Chambak-1_body-1,,Chintang-Chambak,1_body,dziu,dziu,dz iu,,Chintang,,,^dz iu$,Chintang-Chambak,,,
Chulung-Barbhanjyang-1_body-1,,Chulung-Barbhanjyang,1_body,Jam,Jam,dʒ a m,,Chulung,,,^J a m$,Chulung-Barbhanjyang,,,
Chulung-Gairi-1_body-1,,Chulung-Gairi,1_body,Jam,Jam,dʒ a m,,Chulung,,,^J a m$,Chulung-Gairi,,,
Chulung-Pakha-1_body-1,,Chulung-Pakha,1_body,Jam,Jam,dʒ a m,,Chulung,,,^J a m$,Chulung-Pakha,,,
Chulung-Pokla-1_body-1,,Chulung-Pokla,1_body,Jam,Jam,dʒ a m,,Chulung,,,^J a m$,Chulung-Pokla,,,
Chulung-Sukeahal-1_body-1,,Chulung-Sukeahal,1_body,Jam,Jam,dʒ a m,,Chulung,,,^J a m$,Chulung-Sukeahal,,,
Dhimal-West-1_body-1,,Dhimal-West,1_body,dziu,dziu,dz i/j u,,Dhimal,,,^dz iu$,Dhimal-West,,,
Dhimal-East-1_body-1,,Dhimal-East,1_body,dziu,dziu,dz i/j u,,Dhimal,,,^dz iu$,Dhimal-East,,,
Dulung-Bartole-1_body-1,,Dulung-Bartole,1_body,pok,pok,p o + k,,Dulung,,,^p o k $,Dulung-Bartole,,,
Dulung-Dandatole-1_body-1,,Dulung-Dandatole,1_body,pokh,pokh,p o kʰ,,Dulung,,,^p o kh$,Dulung-Dandatole,,,
Dulung-Tharpu-1_body-1,,Dulung-Tharpu,1_body,roŋ,roŋ,r o + ŋ,,Dulung,,,^r o ŋ $,Dulung-Tharpu,,,
Dulung-Chaukibari-1_body-1,,Dulung-Chaukibari,1_body,Aŋpoɂk,Aŋpoɂk,a ŋ + p o ʔ + k,,Dulung,,,^A ŋp o ɂ k $,Dulung-Chaukibari,,,
Dulung-Bastim-1_body-1,,Dulung-Bastim,1_body,pokh,pokh,p o kʰ,,Dulung,,,^p o kh$,Dulung-Bastim,,,
Ghale-Gurung-Mandre-1_body-1,,Ghale-Gurung-Mandre,1_body,ŋwʌ,ŋwʌ,ŋ w ʌ,,Ghale-Gurung,,,^ŋw ʌ $,Ghale-Gurung-Mandre,,,
Ghale-Gurung-Barpak1-1_body-1,,Ghale-Gurung-Barpak1,1_body,ŋwʌ,ŋwʌ,ŋ w ʌ,,Ghale-Gurung,,,^ŋw ʌ $,Ghale-Gurung-Barpak1,,,
Ghale-Gurung-Barpak2-1_body-1,,Ghale-Gurung-Barpak2,1_body,wʌ̃/ŋwʌ̃,wʌ̃,w ʌ̃,,Ghale-Gurung,,,^w ʌ̃$,Ghale-Gurung-Barpak2,,,
Ghale-Gurung-Barpak2-1_body-2,,Ghale-Gurung-Barpak2,1_body,wʌ̃/ŋwʌ̃,ŋwʌ̃,ŋ w ʌ̃,,Ghale-Gurung,,,^ŋw ʌ̃$,Ghale-Gurung-Barpak2,,,
Ghale-Gurung-Laprak-1_body-1,,Ghale-Gurung-Laprak,1_body,sjʌ/ŋuba/kuŋ,sjʌ,s j ʌ,,Ghale-Gurung,,,^sj ʌ $,Ghale-Gurung-Laprak,,,
Ghale-Gurung-Laprak-1_body-2,,Ghale-Gurung-Laprak,1_body,sjʌ/ŋuba/kuŋ,ŋuba,ŋ u + b a,,Ghale-Gurung,,,^ŋ u b a $,Ghale-Gurung-Laprak,,,
Ghale-Gurung-Laprak-1_body-3,,Ghale-Gurung-Laprak,1_body,sjʌ/ŋuba/kuŋ,kuŋ,k u + ŋ,,Ghale-Gurung,,,^k u ŋ $,Ghale-Gurung-Laprak,,,
Ghale-Gurung-Gumda-1_body-1,,Ghale-Gurung-Gumda,1_body,tsjan,tsjan,ts j a + n,,Ghale-Gurung,,,^tsj a n $,Ghale-Gurung-Gumda,,,
Gurung-Sirubari-1_body-1,,Gurung-Sirubari,1_body,dziu,dziu,dz iu,,Gurung,,,^dz iu$,Gurung-Sirubari,,,
Gurung-Pokhara-1_body-1,,Gurung-Pokhara,1_body,dziu,dziu,dz iu,,Gurung,,,^dz iu$,Gurung-Pokhara,,,
Gurung-Sikles-1_body-1,,Gurung-Sikles,1_body,tsjiutan,tsjiutan,ts j iu + t a + n,,Gurung,,,^tsj iu t a n $,Gurung-Sikles,,,
Gurung-Khasur-1_body-1,,Gurung-Khasur,1_body,dziu,dziu,dz iu,,Gurung,,,^dz iu$,Gurung-Khasur,,,
Gurung-Bhujung-1_body-1,,Gurung-Bhujung,1_body,dziu,dziu,dz iu,,Gurung,,,^dz iu$,Gurung-Bhujung,,,
Jirel-Sikri-1_body-1,,Jirel-Sikri,1_body,dziu,dziu,dz i/j u,,Jirel,,,^dz iu$,Jirel-Sikri,,,
Jirel-Kharoban-1_body-1,,Jirel-Kharoban,1_body,dziu,dziu,dz i/j u,,Jirel,,,^dz iu$,Jirel-Kharoban,,,
Jirel-Chhetrapa-1_body-1,,Jirel-Chhetrapa,1_body,dziu,dziu,dz i/j u,,Jirel,,,^dz iu$,Jirel-Chhetrapa,,,
Jirel-Yarsa-1_body-1,,Jirel-Yarsa,1_body,dziu,dziu,dz i/j u,,Jirel,,,^dz iu$,Jirel-Yarsa,,,
Athpahariya-Santang-10_tongue-1,,Athpahariya-Santang,10_tongue,lekhpha,lekhpha,l e kʰ + pʰ a,,Athpahariya,,,^l e khph a $,Athpahariya-Santang,,,
Athpahariya-Tekunala-10_tongue-1,,Athpahariya-Tekunala,10_tongue,lekhpha,lekhpha,l e kʰ + pʰ a,,Athpahariya,,,^l e khph a $,Athpahariya-Tekunala,,,
Belhare-Guthitar-10_tongue-1,,Belhare-Guthitar,10_tongue,lepha,lepha,l e + pʰ a,,Athpahariya,,,^l e ph a $,Belhare-Guthitar,,,
Athpahariya-Khalde-10_tongue-1,,Athpahariya-Khalde,10_tongue,lekhpha,lekhpha,l e kʰ + pʰ a,,Athpahariya,,,^l e khph a $,Athpahariya-Khalde,,,
Athpahariya-Hatiya-10_tongue-1,,Athpahariya-Hatiya,10_tongue,lekhpa,lekhpa,l e kʰ + p a,,Athpahariya,,,^l e khp a $,Athpahariya-Hatiya,,,
Bantawa-Khoku-10_tongue-1,,Bantawa-Khoku,10_tongue,lem,lem,l e m,,Bantawa,,,^l e m$,Bantawa-Khoku,,,
Bantawa-Lungin-10_tongue-1,,Bantawa-Lungin,10_tongue,lem,lem,l e m,,Bantawa,,,^l e m$,Bantawa-Lungin,,,
Bantawa-Thidingkha-10_tongue-1,,Bantawa-Thidingkha,10_tongue,lem,lem,l e m,,Bantawa,,,^l e m$,Bantawa-Thidingkha,,,
Bantawa-Timma-10_tongue-1,,Bantawa-Timma,10_tongue,lem,lem,l e m,,Bantawa,,,^l e m$,Bantawa-Timma,,,
Bantawa-Okhre-10_tongue-1,,Bantawa-Okhre,10_tongue,lem,lem,l e m,,Bantawa,,,^l e m$,Bantawa-Okhre,,,
Belhare-Belhare-10_tongue-1,,Belhare-Belhare,10_tongue,lephpha,lephpha,l e !ph/p + ph a,,Belhare,,,^l e phph a $,Belhare-Belhare,,,
Belhare-Piple-10_tongue-1,,Belhare-Piple,10_tongue,lekhpha,lekhpha,l e kʰ + pʰ a,,Belhare,,,^l e khph a $,Belhare-Piple,,,
Belhare-Guthitar-10_tongue-2,,Belhare-Guthitar,10_tongue,lepha,lepha,l e + pʰ a,,Belhare,,,^l e ph a $,Belhare-Guthitar,,,
Belhare-Rudrabari-10_tongue-1,,Belhare-Rudrabari,10_tongue,lekhpha,lekhpha,l e kʰ + pʰ a,,Belhare,,,^l e khph a $,Belhare-Rudrabari,,,
Chamling-Hadunge-10_tongue-1,,Chamling-Hadunge,10_tongue,lem,lem,l e m,,Chamling,,,^l e m$,Chamling-Hadunge,,,
Chamling-Halesi-10_tongue-1,,Chamling-Halesi,10_tongue,lem,lem,l e m,,Chamling,,,^l e m$,Chamling-Halesi,,,
Chamling-Ratanchha-10_tongue-1,,Chamling-Ratanchha,10_tongue,ljam,ljam,l j a m,,Chamling,,,^lj a m$,Chamling-Ratanchha,,,
Chamling-Balamta-10_tongue-1,,Chamling-Balamta,10_tongue,lem,lem,l e m,,Chamling,,,^l e m$,Chamling-Balamta,,,
Chamling-Aaptar-10_tongue-1,,Chamling-Aaptar,10_tongue,lem,lem,l e m,,Chamling,,,^l e m$,Chamling-Aaptar,,,
Chintang-ChaudhariTole-10_tongue-1,,Chintang-ChaudhariTole,10_tongue,lem,lem,l e m,,Chintang,,,^l e m$,Chintang-ChaudhariTole,,,
Chintang-Mulgaun-10_tongue-1,,Chintang-Mulgaun,10_tongue,lem,lem,l e m,,Chintang,,,^l e m$,Chintang-Mulgaun,,,
Chintang-Nangchhuwa-10_tongue-1,,Chintang-Nangchhuwa,10_tongue,lem,lem,l e m,,Chintang,,,^l e m$,Chintang-Nangchhuwa,,,
Chintang-Mangthana-10_tongue-1,,Chintang-Mangthana,10_tongue,lem,lem,l e m,,Chintang,,,^l e m$,Chintang-Mangthana,,,
Chintang-Chambak-10_tongue-1,,Chintang-Chambak,10_tongue,lem,lem,l e m,,Chintang,,,^l e m$,Chintang-Chambak,,,
Chulung-Barbhanjyang-10_tongue-1,,Chulung-Barbhanjyang,10_tongue,lem,lem,l e m,,Chulung,,,^l e m$,Chulung-Barbhanjyang,,,
Chulung-Gairi-10_tongue-1,,Chulung-Gairi,10_tongue,lem,lem,l e m,,Chulung,,,^l e m$,Chulung-Gairi,,,
Chulung-Pakha-10_tongue-1,,Chulung-Pakha,10_tongue,lem,lem,l e m,,Chulung,,,^l e m$,Chulung-Pakha,,,
Chulung-Pokla-10_tongue-1,,Chulung-Pokla,10_tongue,lem,lem,l e m,,Chulung,,,^l e m$,Chulung-Pokla,,,
Chulung-Sukeahal-10_tongue-1,,Chulung-Sukeahal,10_tongue,lem,lem,l e m,,Chulung,,,^l e m$,Chulung-Sukeahal,,,
Dhimal-West-10_tongue-1,,Dhimal-West,10_tongue,detoŋ,detoŋ,d e + t o ŋ,,Dhimal,,,^d e t o ŋ$,Dhimal-West,,,
Dhimal-East-10_tongue-1,,Dhimal-East,10_tongue,detoŋ,detoŋ,d e + t o ŋ,,Dhimal,,,^d e t o ŋ$,Dhimal-East,,,
Dulung-Bartole-10_tongue-1,,Dulung-Bartole,10_tongue,lem,lem,l e + m,,Dulung,,,^l e m $,Dulung-Bartole,,,
Dulung-Dandatole-10_tongue-1,,Dulung-Dandatole,10_tongue,lem,lem,l e + m,,Dulung,,,^l e m $,Dulung-Dandatole,,,
Dulung-Tharpu-10_tongue-1,,Dulung-Tharpu,10_tongue,lem,lem,l e + m,,Dulung,,,^l e m $,Dulung-Tharpu,,,
Dulung-Chaukibari-10_tongue-1,,Dulung-Chaukibari,10_tongue,lem,lem,l e + m,,Dulung,,,^l e m $,Dulung-Chaukibari,,,
Dulung-Bastim-10_tongue-1,,Dulung-Bastim,10_tongue,lem,lem,l e + m,,Dulung,,,^l e m $,Dulung-Bastim,,,
Ghale-Gurung-Mandre-10_tongue-1,,Ghale-Gurung-Mandre,10_tongue,li,li,l i,,Ghale-Gurung,,,^l i $,Ghale-Gurung-Mandre,,,
Ghale-Gurung-Barpak1-10_tongue-1,,Ghale-Gurung-Barpak1,10_tongue,li,li,l i,,Ghale-Gurung,,,^l i $,Ghale-Gurung-Barpak1,,,
Ghale-Gurung-Barpak2-10_tongue-1,,Ghale-Gurung-Barpak2,10_tongue,li,li,l i,,Ghale-Gurung,,,^l i $,Ghale-Gurung-Barpak2,,,
Ghale-Gurung-Laprak-10_tongue-1,,Ghale-Gurung-Laprak,10_tongue,li–,li–,l i,,Ghale-Gurung,,,^l i– $,Ghale-Gurung-Laprak,,,
Ghale-Gurung-Gumda-10_tongue-1,,Ghale-Gurung-Gumda,10_tongue,li,li,l i,,Ghale-Gurung,,,^l i $,Ghale-Gurung-Gumda,,,
Gurung-Sirubari-10_tongue-1,,Gurung-Sirubari,10_tongue,le,le,l e,,Gurung,,,^l e $,Gurung-Sirubari,,,
Gurung-Pokhara-10_tongue-1,,Gurung-Pokhara,10_tongue,le,le,l e,,Gurung,,,^l e $,Gurung-Pokhara,,,
Gurung-Sikles-10_tongue-1,,Gurung-Sikles,10_tongue,le:,le:,l eː,,Gurung,,,^l e:$,Gurung-Sikles,,,
Gurung-Khasur-10_tongue-1,,Gurung-Khasur,10_tongue,le,le,l e,,Gurung,,,^l e $,Gurung-Khasur,,,
Gurung-Bhujung-10_tongue-1,,Gurung-Bhujung,10_tongue,le,le,l e,,Gurung,,,^l e $,Gurung-Bhujung,,,
Jirel-Sikri-10_tongue-1,,Jirel-Sikri,10_tongue,tsele /tsela,tsele,ts e + l e,,Jirel,,,^ts e l e $,Jirel-Sikri,,,
Jirel-Sikri-10_tongue-2,,Jirel-Sikri,10_tongue,tsele /tsela,tsela,ts e + l a,,Jirel,,,^ts e l a $,Jirel-Sikri,,,
Jirel-Kharoban-10_tongue-1,,Jirel-Kharoban,10_tongue,tselak/tsela,tselak,ts e + l a + k,,Jirel,,,^ts e l a k $,Jirel-Kharoban,,,
Jirel-Kharoban-10_tongue-2,,Jirel-Kharoban,10_tongue,tselak/tsela,tsela,ts e + l a,,Jirel,,,^ts e l a $,Jirel-Kharoban,,,
Jirel-Chhetrapa-10_tongue-1,,Jirel-Chhetrapa,10_tongue,tsela,tsela,ts e + l a,,Jirel,,,^ts e l a $,Jirel-Chhetrapa,,,
Jirel-Yarsa-10_tongue-1,,Jirel-Yarsa,10_tongue,tsela,tsela,ts e + l a,,Jirel,,,^ts e l a $,Jirel-Yarsa,,,
Athpahariya-Santang-100_spider-1,,Athpahariya-Santang,100_spider,maksaburu,maksaburu,m a k + s a + b u + r u,,Athpahariya,,,^m a ks a b u r u $,Athpahariya-Santang,,,
Athpahariya-Tekunala-100_spider-1,,Athpahariya-Tekunala,100_spider,maksaburu,maksaburu,m a k + s a + b u + r u,,Athpahariya,,,^m a ks a b u r u $,Athpahariya-Tekunala,,,
Belhare-Guthitar-100_spider-1,,Belhare-Guthitar,100_spider,raŋgaba,raŋgaba,r a ŋ + g a + b a,,Athpahariya,,,^r a ŋg a b a $,Belhare-Guthitar,,,
Athpahariya-Khalde-100_spider-1,,Athpahariya-Khalde,100_spider,maksaburu,maksaburu,m a k + s a + b u + r u,,Athpahariya,,,^m a ks a b u r u $,Athpahariya-Khalde,,,
Athpahariya-Hatiya-100_spider-1,,Athpahariya-Hatiya,100_spider,maksaburu,maksaburu,m a k + s a + b u + r u,,Athpahariya,,,^m a ks a b u r u $,Athpahariya-Hatiya,,,
Bantawa-Khoku-100_spider-1,,Bantawa-Khoku,100_spider,jaghaŋma,jaghaŋma,dʒ a + gʱ a ŋ + m a,,Bantawa,,,^j a gh a ŋm a $,Bantawa-Khoku,,,
Bantawa-Lungin-100_spider-1,,Bantawa-Lungin,100_spider,jaghaŋma,jaghaŋma,dʒ a + gʱ a ŋ + m a,,Bantawa,,,^j a gh a ŋm a $,Bantawa-Lungin,,,
Bantawa-Thidingkha-100_spider-1,,Bantawa-Thidingkha,100_spider,jaghaŋma,jaghaŋma,dʒ a + gʱ a ŋ + m a,,Bantawa,,,^j a gh a ŋm a $,Bantawa-Thidingkha,,,
Bantawa-Timma-100_spider-1,,Bantawa-Timma,100_spider,bokchuk,bokchuk,b o k + tsʰ u k,,Bantawa,,,^b o kch u k$,Bantawa-Timma,,,
Bantawa-Okhre-100_spider-1,,Bantawa-Okhre,100_spider,makura,makura,m a + k u + r a,,Bantawa,,,^m a k u r a $,Bantawa-Okhre,,,
Belhare-Belhare-100_spider-1,,Belhare-Belhare,100_spider,raŋgaba,raŋgaba,r a ŋ + g a + b a,,Belhare,,,^r a ŋg a b a $,Belhare-Belhare,,,
Belhare-Piple-100_spider-1,,Belhare-Piple,100_spider,rǝŋgǝba,rǝŋgǝba,r ǝ ŋ + g ǝ + b a,,Belhare,,,^r ǝ ŋg ǝ b a $,Belhare-Piple,,,
Belhare-Guthitar-100_spider-2,,Belhare-Guthitar,100_spider,raŋgaba,raŋgaba,r a ŋ + g a + b a,,Belhare,,,^r a ŋg a b a $,Belhare-Guthitar,,,
Belhare-Rudrabari-100_spider-1,,Belhare-Rudrabari,100_spider,raŋgaba,raŋgaba,r a ŋ + g a + b a,,Belhare,,,^r a ŋg a b a $,Belhare-Rudrabari,,,
Chamling-Hadunge-100_spider-1,,Chamling-Hadunge,100_spider,wakurma,wakurma,w a + k u r + m a,,Chamling,,,^w a k u rm a $,Chamling-Hadunge,,,
Chamling-Halesi-100_spider-1,,Chamling-Halesi,100_spider,wakurma,wakurma,w a + k u r + m a,,Chamling,,,^w a k u rm a $,Chamling-Halesi,,,
Chamling-Ratanchha-100_spider-1,,Chamling-Ratanchha,100_spider,wakurma,wakurma,w a + k u r + m a,,Chamling,,,^w a k u rm a $,Chamling-Ratanchha,,,
Chamling-Balamta-100_spider-1,,Chamling-Balamta,100_spider,wakurma,wakurma,w a + k u r + m a,,Chamling,,,^w a k u rm a $,Chamling-Balamta,,,
Chamling-Aaptar-100_spider-1,,Chamling-Aaptar,100_spider,wakurma,wakurma,w a + k u r + m a,,Chamling,,,^w a k u rm a $,Chamling-Aaptar,,,
Chintang-ChaudhariTole-100_spider-1,,Chintang-ChaudhariTole,100_spider,raŋgibak,raŋgibak,r a ŋ + g i + b a + k,,Chintang,,,^r a ŋg i b a k $,Chintang-ChaudhariTole,,,
Chintang-Mulgaun-100_spider-1,,Chintang-Mulgaun,100_spider,raŋgabak,raŋgabak,r a ŋ + g a + b a + k,,Chintang,,,^r a ŋg a b a k $,Chintang-Mulgaun,,,
Chintang-Nangchhuwa-100_spider-1,,Chintang-Nangchhuwa,100_spider,raŋgibak,raŋgibak,r a ŋ + g i + b a + k,,Chintang,,,^r a ŋg i b a k $,Chintang-Nangchhuwa,,,
Chintang-Mangthana-100_spider-1,,Chintang-Mangthana,100_spider,raŋgabak,raŋgabak,r a ŋ + g a + b a + k,,Chintang,,,^r a ŋg a b a k $,Chintang-Mangthana,,,
Chintang-Chambak-100_spider-1,,Chintang-Chambak,100_spider,raŋgibak,raŋgibak,r a ŋ + g i + b a + k,,Chintang,,,^r a ŋg i b a k $,Chintang-Chambak,,,
Chulung-Barbhanjyang-100_spider-1,,Chulung-Barbhanjyang,100_spider,raŋgɨbɨrɨk,raŋgɨbɨrɨk,r a ŋ + g ɨ + b ɨ + r ɨ k,,Chulung,,,^r a ŋg ɨ b ɨ r ɨ k$,Chulung-Barbhanjyang,,,
Chulung-Gairi-100_spider-1,,Chulung-Gairi,100_spider,raŋgɨbɨrɨk,raŋgɨbɨrɨk,r a ŋ + g ɨ + b ɨ + r ɨ k,,Chulung,,,^r a ŋg ɨ b ɨ r ɨ k$,Chulung-Gairi,,,
Chulung-Pakha-100_spider-1,,Chulung-Pakha,100_spider,raŋgɨbɨrɨk,raŋgɨbɨrɨk,r a ŋ + g ɨ + b ɨ + r ɨ k,,Chulung,,,^r a ŋg ɨ b ɨ r ɨ k$,Chulung-Pakha,,,
Chulung-Pokla-100_spider-1,,Chulung-Pokla,100_spider,raŋgɨbɨrɨk,raŋgɨbɨrɨk,r a ŋ + g ɨ + b ɨ + r ɨ k,,Chulung,,,^r a ŋg ɨ b ɨ r ɨ k$,Chulung-Pokla,,,
Chulung-Sukeahal-100_spider-1,,Chulung-Sukeahal,100_spider,raŋgɨbɨrɨ,raŋgɨbɨrɨ,r a ŋ + g ɨ + b ɨ + r ɨ,,Chulung,,,^r a ŋg ɨ b ɨ r ɨ $,Chulung-Sukeahal,,,
Dhimal-West-100_spider-1,,Dhimal-West,100_spider,makra,makra,m a k + r a,,Dhimal,,,^m a kr a $,Dhimal-West,,,
Dhimal-East-100_spider-1,,Dhimal-East,100_spider,makra,makra,m a k + r a,,Dhimal,,,^m a kr a $,Dhimal-East,,,
Dulung-Bartole-100_spider-1,,Dulung-Bartole,100_spider,jaɂghŋma,jaɂghŋma,j a ʔ gʱ + ŋ m a,,Dulung,,,^j a ɂ ghŋm a $,Dulung-Bartole,,,
Dulung-Dandatole-100_spider-1,,Dulung-Dandatole,100_spider,jaghaŋ,jaghaŋ,j a + gʱ a + ŋ,,Dulung,,,^j a gh a ŋ $,Dulung-Dandatole,,,
Dulung-Tharpu-100_spider-1,,Dulung-Tharpu,100_spider,makuro,makuro,m a + k u + r o,,Dulung,,,^m a k u r o $,Dulung-Tharpu,,,
Dulung-Chaukibari-100_spider-1,,Dulung-Chaukibari,100_spider,jaɂgma,jaɂgma,j a ʔ g + m a,,Dulung,,,^j a ɂ gm a $,Dulung-Chaukibari,,,
Dulung-Bastim-100_spider-1,,Dulung-Bastim,100_spider,jaɂghʌŋ,jaɂghʌŋ,j a ʔ + gʱ ʌ + ŋ,,Dulung,,,^j a ɂ gh ʌ ŋ $,Dulung-Bastim,,,
Ghale-Gurung-Mandre-100_spider-1,,Ghale-Gurung-Mandre,100_spider,t̺okja,t̺okja,t̺ o k j a,,Ghale-Gurung,,,^t̺ o kj a $,Ghale-Gurung-Mandre,,,
Ghale-Gurung-Barpak1-100_spider-1,,Ghale-Gurung-Barpak1,100_spider,d̺oja/d̺ogja,d̺oja,d̺ o j a,,Ghale-Gurung,,,^d̺ o j a $,Ghale-Gurung-Barpak1,,,
Ghale-Gurung-Barpak1-100_spider-2,,Ghale-Gurung-Barpak1,100_spider,d̺oja/d̺ogja,d̺ogja,d̺ o g j a,,Ghale-Gurung,,,^d̺ o gj a $,Ghale-Gurung-Barpak1,,,
Ghale-Gurung-Barpak2-100_spider-1,,Ghale-Gurung-Barpak2,100_spider,d̺okja,d̺okja,d̺ o k j a,,Ghale-Gurung,,,^d̺ o kj a $,Ghale-Gurung-Barpak2,,,
Ghale-Gurung-Laprak-100_spider-1,,Ghale-Gurung-Laprak,100_spider,t̺asjʌ,t̺asjʌ,t̺ a + s j ʌ,,Ghale-Gurung,,,^t̺ a sj ʌ $,Ghale-Gurung-Laprak,,,
Ghale-Gurung-Gumda-100_spider-1,,Ghale-Gurung-Gumda,100_spider,t̺apsjʌ,t̺apsjʌ,t̺ a p + s j ʌ,,Ghale-Gurung,,,^t̺ a psj ʌ $,Ghale-Gurung-Gumda,,,
Gurung-Sirubari-100_spider-1,,Gurung-Sirubari,100_spider,timro,timro,t i m + r o,,Gurung,,,^t i mr o $,Gurung-Sirubari,,,
Gurung-Pokhara-100_spider-1,,Gurung-Pokhara,100_spider,makura,makura,m a + k u + r a,,Gurung,,,^m a k u r a $,Gurung-Pokhara,,,
Gurung-Sikles-100_spider-1,,Gurung-Sikles,100_spider,ṭimru,ṭimru,ʈ i m + r u,,Gurung,,,^ṭ i mr u $,Gurung-Sikles,,,
Gurung-Khasur-100_spider-1,,Gurung-Khasur,100_spider,lu,lu,l u,,Gurung,,,^l u $,Gurung-Khasur,,,
Gurung-Bhujung-100_spider-1,,Gurung-Bhujung,100_spider,phili,phili,pʰ i + l i,,Gurung,,,^ph i l i $,Gurung-Bhujung,,,
Jirel-Sikri-100_spider-1,,Jirel-Sikri,100_spider,gwãpali,gwãpali,g w ã + p a + l i,,Jirel,,,^gw ã p a l i $,Jirel-Sikri,,,
Jirel-Kharoban-100_spider-1,,Jirel-Kharoban,100_spider,gwãpali,gwãpali,g w ã + p a + l i,,Jirel,,,^gw ã p a l i $,Jirel-Kharoban,,,
Jirel-Chhetrapa-100_spider-1,,Jirel-Chhetrapa,100_spider,gwãpali,gwãpali,g w ã + p a + l i,,Jirel,,,^gw ã p a l i $,Jirel-Chhetrapa,,,
Jirel-Yarsa-100_spider-1,,Jirel-Yarsa,100_spider,gwãpali,gwãpali,g w ã + p a + l i,,Jirel,,,^gw ã p a l i $,Jirel-Yarsa,,,
Athpahariya-Santang-101_name-1,,Athpahariya-Santang,101_name,niŋ,niŋ,n i + ŋ,,Athpahariya,,,^n i ŋ $,Athpahariya-Santang,,,
