Grapheme	IPA	Frequency	Examples	Languages
a	a	768	.ta//.ta	Kharoban/Chhetrapa/Yarsa/Sikri
o	o	261	go//go	Kharoban/Chhetrapa/Yarsa/Sikri
e	e	256	tshet//tshed	Kharoban/Yarsa/Chhetrapa/Sikri
i	i	252	mik//mik	Kharoban/Chhetrapa/Yarsa/Sikri
u	u	248	rup//namdzuk	Chhetrapa/Yarsa/Sikri/Kharoban
m	+ m	193	namdzjok//namdzuk	Kharoban/Chhetrapa/Yarsa/Sikri
l	+ l	171	tsele//tsela	Kharoban/Chhetrapa/Yarsa/Sikri
k	+ k	163	mik//mik	Kharoban/Chhetrapa/Yarsa/Sikri
b	+ b	149	suba//suba	Kharoban/Chhetrapa/Yarsa/Sikri
ŋ	+ ŋ	143	ŋiŋ//niŋ	Kharoban/Chhetrapa/Yarsa/Sikri
r	+ r	132	anwar//pəra	Kharoban/Chhetrapa/Yarsa/Sikri
j	+ j	115	namdzjok//namdzjok	Chhetrapa/Yarsa/Sikri/Kharoban
^th	th	109	thekpa//.thak	Kharoban/Chhetrapa/Yarsa/Sikri
p	+ p	105	rup//lakpa	Chhetrapa/Yarsa/Sikri/Kharoban
^s	s	104	sa//sa	Kharoban/Chhetrapa/Yarsa/Sikri
t	+ t	90	tshet//tshet	Kharoban/Yarsa/Chhetrapa/Sikri
n	+ n	87	anwar//kuino	Kharoban/Chhetrapa/Yarsa/Sikri
ə	ə	83	pəra//hətkela	Chhetrapa/Yarsa/Sikri/Kharoban
^k	k	70	kuino//kuina	Kharoban/Chhetrapa/Yarsa/Sikri
^kh	kh	69	kha//kha	Kharoban/Chhetrapa/Yarsa/Sikri
^ŋ	ŋ	69	ŋiŋ//ŋiŋ	Kharoban/Chhetrapa/Yarsa/Sikri
^ts	ts	66	tsele//tsela	Kharoban/Chhetrapa/Yarsa/Sikri
^m	m	61	mik//mik	Kharoban/Chhetrapa/Yarsa/Sikri
^d	d	60	do//dardok	Kharoban/Chhetrapa/Yarsa/Sikri
^g	g	50	go//go	Kharoban/Chhetrapa/Yarsa/Sikri
dz	+ dz	49	namdzjok//namdzuk	Kharoban/Chhetrapa/Yarsa/Sikri
^n	n	45	namdzjok//namdzuk	Kharoban/Chhetrapa/Yarsa/Sikri
^t	t	43	.ta//.ta	Kharoban/Chhetrapa/Yarsa/Sikri
^ph	ph	43	phəlphul//phəlphul	Kharoban/Chhetrapa/Yarsa/Sikri
w	+ w	42	anwar//ruwa	Kharoban/Chhetrapa/Yarsa/Sikri
^r	r	39	rup//ruwa	Chhetrapa/Yarsa/Sikri/Kharoban
+	+ +	39	kəm ba//həthə uḍa	Kharoban/Chhetrapa/Yarsa/Sikri
^tsh	tsh	37	tshet//tshed	Kharoban/Yarsa/Chhetrapa/Sikri
g	+ g	37	dzugu//dzugu	Chhetrapa/Sikri/Yarsa/Kharoban
d	+ d	33	tshed//dardok	Chhetrapa/Yarsa/Sikri/Kharoban
^l	l	33	lakpa//lakpa	Kharoban/Chhetrapa/Yarsa/Sikri
^b	b	31	bidzu li//bidzuli	Kharoban/Sikri/Chhetrapa/Yarsa
s	+ s	26	renesiŋ//reŋasiŋ	Kharoban/Yarsa/Chhetrapa/Sikri
^dz	dz	23	dziu//dziu	Kharoban/Chhetrapa/Yarsa/Sikri
mm	+ mm	23	damma//phemmemi	Kharoban/Yarsa/Chhetrapa/Sikri
ts	+ ts	20	tsutsik//tsutsik	Kharoban/Chhetrapa/Yarsa/Sikri
^a	a	18	anwar//aba	Kharoban/Chhetrapa/Yarsa/Sikri
^h	h	12	hətkela//hətkela	Chhetrapa/Sikri/Yarsa/Kharoban
^o	o	12	oro//oma	Kharoban/Chhetrapa/Yarsa/Sikri
ph	+ ph	12	phəlphul//phəlphul	Kharoban/Chhetrapa/Yarsa/Sikri
ụ	ụ	10	siləụto//siləụto	Kharoban/Yarsa/Chhetrapa/Sikri
th	+ th	10	həthəuḍa//həthəuda	Kharoban/Chhetrapa/Yarsa/Sikri
iu$	iu	9	dziu//dziu	Kharoban/Chhetrapa/Yarsa/Sikri
kh	+ kh	9	lamkhụṭte//lamkhụṭte	Kharoban/Chhetrapa/Yarsa/Sikri
əu$	əu	8	nəu//nəu	Kharoban/Chhetrapa/Yarsa/Sikri
ui$	ui	8	kuino//kuina	Kharoban/Chhetrapa/Yarsa/Sikri
ḍ	+ ḍ	8	həthəuḍa//həthə uḍa	Chhetrapa/Yarsa/Sikri/Kharoban
dz$	dz	8	adzjo//adzjo	Kharoban/Chhetrapa/Yarsa/Sikri
^p	p	7	pəra//para	Kharoban/Chhetrapa/Yarsa/Sikri
^j	j	7	jul//jul	Chhetrapa/Yarsa/Sikri
(	+ (	7	lo (low tone)//me (low tone)	Chhetrapa/Yarsa/Sikri/Kharoban
)	+ )	7	lo (low tone)//me (low tone)	Chhetrapa/Yarsa/Sikri/Kharoban
ã	ã	7	gwã//gwãpali	Kharoban/Chhetrapa/Yarsa/Sikri
kk	+ kk	6	tsəkku//tsəkku	Kharoban/Chhetrapa/Yarsa/Sikri
bh	+ bh	6	lhabha//labha	Kharoban/Sikri/Chhetrapa/Yarsa
^dh	dh	6	dhulo//dhulo	Chhetrapa/Yarsa/Sikri/Kharoban
^bh	bh	6	bheṇta//bheṇta	Kharoban/Chhetrapa/Yarsa/Sikri
rs	+ rs	5	khorsani//khorsani	Kharoban/Chhetrapa/Yarsa/Sikri
ṭ	+ ṭ	5	lamkhụṭte//lamkhụṭte	Kharoban/Chhetrapa/Yarsa/Sikri
əi	əi	5	tsəkkəi//goppəi	Chhetrapa/Sikri/Yarsa
ei	ei	5	.teḳtei//dokpei	Kharoban/Chhetrapa/Sikri
ŋŋ	+ ŋŋ	5	tsjuŋŋi//tsjuŋŋi	Kharoban/Chhetrapa/Yarsa
əu	əu	4	siləuto//həthəuḍa	Kharoban/Sikri/Yarsa
^ã	ã	4	ãp//ãp	Kharoban/Chhetrapa/Yarsa/Sikri
ṇ	+ ṇ	4	bheṇta//bheṇta	Kharoban/Chhetrapa/Yarsa/Sikri
^e	e	4	eŋge//eŋge	Kharoban/Chhetrapa/Yarsa/Sikri
oi$	oi	4	thoi//dhoi	Kharoban/Chhetrapa/Yarsa
^gh	gh	3	gho//gher	Kharoban/Sikri
^dzh	dzh	3	dzhəri//dzhəri	Kharoban/Sikri
ua$	ua	3	thuata//muasuŋ	Chhetrapa/Yarsa/Kharoban
au$	au	3	kauli//kauli	Kharoban/Chhetrapa/Sikri
ẽ	ẽ	3	golbhẽḍa//golbhẽḍa	Kharoban/Chhetrapa/Sikri
R	+ R	3	mesja (Rising tone)//mesja (Rising tone)	Kharoban/Yarsa/Sikri
ai$	ai	3	bhai//bhai	Chhetrapa/Yarsa
əi$	əi	3	bəini//bəini	Chhetrapa/Yarsa
ḳ	+ ḳ	3	.teḳte//.teḳtei	Kharoban/Yarsa/Sikri
ll	+ ll	3	khella//thulla	Kharoban/Sikri
əe$	əe	3	səedzik//səe dzik	Chhetrapa/Sikri/Yarsa
^ə̃	ə̃	2	ə̃ụthi//ə̃ụthi	Yarsa/Sikri
^ə	ə	2	əụthi//əụthi	Kharoban/Yarsa
^lh	lh	2	lhaba//lhabha	Yarsa/Sikri
ŋs	+ ŋs	2	regaŋsiŋ//tshjoŋsja	Chhetrapa/Sikri
^ḍh	ḍh	2	ḍhoŋma//ḍhu	Kharoban/Yarsa
dzh$	dzh	2	sãdzh//sãdzh	Chhetrapa/Yarsa
