Grapheme	IPA	Frequency	Examples	Languages
a	a	817	taŋge//nabhak	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
i	i	291	mik//mik	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
e	e	265	thek//thek	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
m	+ m	244	marma//tuŋmai	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
n	+ n	207	mun//kuino	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
o	o	205	nabo//phok	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
u	u	198	nubhe//nubhe	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
k	+ k	171	thek//thek	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
ŋ	+ ŋ	168	taŋge//keŋ	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
r	+ r	116	nari//marma	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
b	+ b	115	nubek//nabo	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
t	+ t	93	nabhat//dut	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
^s	s	93	sarwa//saruwa	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
l	+ l	78	aŋguli//aŋguli	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
ə	ə	77	tohəriŋ//həmər	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
^m	m	74	mik//mik	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
^l	l	70	lekhpha//lekhpha	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
^a	a	70	aŋguli//aŋguli	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
s	+ s	65	yasi//yasi	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
^n	n	64	nabhak//nabhak	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
w	+ w	62	wowa//howa	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
^kh	kh	54	khyak//khyak	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
^h	h	53	howa//həuwa	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
^w	w	52	wowa//wowa	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
^p	p	52	paŋ//paŋ	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
p	+ p	51	lekhpa//muktshep	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
^u	u	45	uruwa//ulukma	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
g	+ g	44	taŋge//nubheg	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
^ph	ph	44	phyak//phiyak	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
^ts	ts	37	tsoptsiŋge//tsoktsiŋge	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
^tsh	tsh	36	tshokmasik//tshokmasik	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
d	+ d	35	phendik//phendik	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
ts	+ ts	35	tsoptsiŋge//tsoktsiŋge	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
^b	b	35	bərkha//bərkha	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
^t	t	32	taŋge//tek	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
^k	k	31	keŋ//keŋ	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
tsh$	tsh	31	lətsheuət̃//wotshoma	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
tsh	+ tsh	22	muktshep//utshəwat	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
ṭ	+ ṭ	21	silauṭo//silauṭo	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
bh	+ bh	20	nabhak//nabhak	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
^ya	ya	20	yasi//yasi	Santang/Tekunala/Hatiya /Dhan kuta Bazaar/Khalde
ɖ	+ ɖ	20	hathauɖa//laɖiba	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
dz	+ dz	18	pharkandza//pharkandza	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
ya$	ya	17	khyak//phyak	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
kh	+ kh	17	lekhpha//lekhpha	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
h	+ h	16	tohəriŋ//lohoro	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
^th	th	15	thek//thek	Santang/Tekunala/Hatiya /Dhan kuta Bazaar/Khalde
ph	+ ph	15	lekhpha//lekhpha	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
^d	d	15	dudh//dudh	Santang/Tekunala/Khalde/Guthitar/Hatiya /Dhan kuta Bazaar
