Grapheme	IPA	Frequency	Examples	Languages
a	a	963	ṭaŋ//ṭaŋwa	Mangthana/Nangchhuwa/Chaudhari Tole/Chambak/Mulgaun
e	e	276	narek//narek	Mangthana/Nangchhuwa/Chaudhari Tole/Chambak/Mulgaun
u	u	268	ṭaŋphuwa//ṭaŋphuʔwa	Mangthana/Nangchhuwa/Chaudhari Tole/Chambak/Mulgaun
i	i	260	mɨkɨlsi//mɨkɨlsi	Mangthana/Nangchhuwa/Chaudhari Tole/Chambak/Mulgaun
m	+ m	236	thurum//phurum	Mangthana/Nangchhuwa/Chaudhari Tole/Chambak/Mulgaun
o	o	180	phok//phok	Mangthana/Nangchhuwa/Chaudhari Tole/Chambak/Mulgaun
ŋ	+ ŋ	169	ṭaŋ//ṭaŋwa	Mangthana/Nangchhuwa/Chaudhari Tole/Chambak/Mulgaun
k	+ k	141	mɨk//mɨkɨlsi	Mangthana/Nangchhuwa/Chaudhari Tole/Chambak/Mulgaun
n	+ n	140	kuina//kuina	Mangthana/Nangchhuwa/Chaudhari Tole/Chambak/Mulgaun
r	+ r	134	narek//narek	Mangthana/Nangchhuwa/Chaudhari Tole/Chambak/Mulgaun
^h	h	105	hǝtkela//hǝtkela	Mangthana/Nangchhuwa/Chaudhari Tole/Chambak/Mulgaun
l	+ l	96	ŋalɨŋ//ŋalɨŋ	Mangthana/Nangchhuwa/Chaudhari Tole/Chambak/Mulgaun
c	+ c	91	marcinuŋʔma//marcinuŋʔma	Mangthana/Nangchhuwa/Chaudhari Tole/Chambak/Mulgaun
w	+ w	89	ṭaŋwa//ṭaŋwa	Mangthana/Nangchhuwa/Chaudhari Tole/Chambak/Mulgaun
ḍ	+ ḍ	89	phanḍi//phanḍi	Mangthana/Nangchhuwa/Chaudhari Tole/Chambak/Mulgaun
^m	m	83	mɨk//mɨkɨlsi	Mangthana/Nangchhuwa/Chaudhari Tole/Chambak/Mulgaun
^s	s	79	saruwa//saruwa	Mangthana/Nangchhuwa/Chaudhari Tole/Chambak/Mulgaun
ɨ	ɨ	74	ŋalɨŋ//ŋalɨŋ	Mangthana/Nangchhuwa/Chaudhari Tole/Chambak/Mulgaun
^n	n	74	narek//narek	Mangthana/Nangchhuwa/Chaudhari Tole/Chambak/Mulgaun
ʔ	+ ʔ	70	ṭaŋphuʔwa//ṭaŋphuʔwa	Mangthana/Chaudhari Tole/Nangchhuwa/Chambak/Mulgaun
g	+ g	69	jaŋguli//jaŋguli	Mangthana/Nangchhuwa/Chaudhari Tole/Chambak/Mulgaun
^b	b	65	bagara//bagara	Mangthana/Nangchhuwa/Chaudhari Tole/Chambak/Mulgaun
