Grapheme	IPA	Frequency	Examples	Languages
ʌ	ʌ	542	ŋwʌ//ŋwʌ	Mandre/Gumda/Laprak/Brpak2 (Ghale)/Barpak1
a	a	330	ŋuba//tsjan	Gumda/Mandre/Laprak/Brpak2 (Ghale)/Barpak1
u	u	309	ŋuba//kuŋ	Gumda/Mandre/Laprak/Brpak2 (Ghale)/Barpak1
j	+ j	296	sjʌ//tsjan	Gumda/Mandre/Laprak/Brpak2 (Ghale)/Barpak1
i	i	286	ŋilam nʌ//li	Mandre/Gumda/Laprak/Brpak2 (Ghale)/Barpak1
n	+ n	162	tsjan//ŋelʌm nʌ	Gumda/Mandre/Laprak/Brpak2 (Ghale)/Barpak1
^k	k	157	kuŋ//kjaŋ	Mandre/Gumda/Laprak/Brpak2 (Ghale)/Barpak1
e	e	154	t̺ephu//pʌje	Gumda/Mandre/Laprak/Brpak2 (Ghale)/Barpak1
ŋ	+ ŋ	142	kuŋ//rudzupuŋ	Mandre/Gumda/Laprak/Brpak2 (Ghale)/Barpak1
o	o	142	t̺oka//lho	Mandre/Gumda/Laprak/Brpak2 (Ghale)/Barpak1
^m	m	135	mja//mjã	Mandre/Gumda/Laprak/Brpak2 (Ghale)/Barpak1
^s	s	124	sjʌ//sʌ	Mandre/Gumda/Laprak/Brpak2 (Ghale)/Barpak1
m	+ m	120	ŋelʌm nʌ//ŋjalʌm nʌ	Mandre/Gumda/Laprak/Brpak2 (Ghale)/Barpak1
r	+ r	116	ŋur//ŋhur	Mandre/Gumda/Laprak/Brpak2 (Ghale)/Barpak1
l	+ l	88	ŋelʌm nʌ//ŋjalʌm nʌ	Gumda/Mandre/Laprak/Brpak2 (Ghale)/Barpak1
b	+ b	83	ŋuba//rʌdzʌbaŋ	Gumda/Mandre/Laprak/Brpak2 (Ghale)/Barpak1
^l	l	78	li//li	Mandre/Gumda/Laprak/Brpak2 (Ghale)/Barpak1
^n	n	77	nʌ//nʌ	Mandre/Gumda/Laprak/Brpak2 (Ghale)/Barpak1
^ts	ts	72	tsjan//tsju	Gumda/Mandre/Laprak/Brpak2 (Ghale)/Barpak1
d	+ d	71	lhadjaŋ//ladjaŋ	Gumda/Mandre/Laprak/Brpak2 (Ghale)/Barpak1
^ŋ	ŋ	67	ŋwʌ//ŋwʌ	Mandre/Gumda/Laprak/Brpak2 (Ghale)/Barpak1
^p	p	60	pʌje//pe–	Gumda/Mandre/Laprak/Brpak2 (Ghale)/Barpak1
s	+ s	57	khwasi//rusu puŋ	Gumda/Mandre/Laprak/Brpak2 (Ghale)/Barpak1
^t	t	53	twa//twa	Gumda/Mandre/Laprak/Brpak2 (Ghale)/Barpak1
p	+ p	52	rudzupuŋ//rudzu puŋ	Mandre/Gumda/Laprak/Brpak2 (Ghale)/Barpak1
w	+ w	48	ŋwʌ//ŋwʌ	Mandre/Gumda/Laprak/Brpak2 (Ghale)/Barpak1
k	+ k	46	t̺oka//siŋka	Gumda/Mandre/Laprak/Brpak2 (Ghale)/Barpak1
^kh	kh	46	khum nʌ//khum nʌ	Gumda/Mandre/Laprak/Brpak2 (Ghale)/Barpak1
t	+ t	43	latjaŋ//latjaŋ	Mandre/Gumda/Laprak/Brpak2 (Ghale)/Barpak1
dz	+ dz	33	rudzupuŋ//rudzu puŋ	Mandre/Gumda/Laprak/Brpak2 (Ghale)/Barpak1
^t̺	t̺	32	t̺ʌ//t̺ʌ	Mandre/Gumda/Laprak/Brpak2 (Ghale)/Barpak1
^r	r	29	rudzupuŋ//rudzu puŋ	Mandre/Gumda/Laprak/Brpak2 (Ghale)/Barpak1
ts	+ ts	26	kutsu//tjaktsʌ	Mandre/Gumda/Laprak/Brpak2 (Ghale)/Barpak1
^j	j	25	ja//ja	Gumda/Mandre/Laprak/Brpak2 (Ghale)/Barpak1
^tsh	tsh	24	tshʌm(dzʌ)//tshumdzʌ	Gumda/Mandre/Laprak/Brpak2 (Ghale)/Barpak1
g	+ g	23	t̺uga//siŋga	Gumda/Mandre/Laprak/Brpak2 (Ghale)/Barpak1
–	+ –	23	pe–//li–	Laprak
^b	b	23	bi:sʌ//bʌdʌm	Mandre/Gumda/Laprak/Brpak2 (Ghale)/Barpak1
+	+ +	22	ŋelʌm nʌ//ŋjalʌm nʌ	Gumda/Mandre/Laprak/Brpak2 (Ghale)/Barpak1
