Grapheme	IPA	Frequency	Examples	Languages
a	a	914	jam//jam	Thidingkha, (Amchok)/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta/Timma, Rimchim
ŋ	+ ŋ	247	ṭaŋ//ṭaŋ	Thidingkha, (Amchok)/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta/Timma, Rimchim
o	o	228	pok//pok	Thidingkha, (Amchok)/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta/Timma, Rimchim
m	+ m	224	jam//jam	Thidingkha, (Amchok)/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta/Timma, Rimchim
i	i	221	chaṭṭi//chaṭṭi	Thidingkha, (Amchok)/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta/Timma, Rimchim
u	u	193	nabhu//nabu	Thidingkha, (Amchok)/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta/Timma, Rimchim
n	+ n	190	kuina//kuina	Thidingkha, (Amchok)/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta/Timma, Rimchim
k	+ k	186	pok//pok	Thidingkha, (Amchok)/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta/Timma, Rimchim
ə	ə	138	ŋaləŋ//mək	Thidingkha, (Amchok)/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta/Timma, Rimchim
e	e	131	lem//lem	Thidingkha, (Amchok)/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta/Timma, Rimchim
w	+ w	125	ṭaŋmɨwa//ṭaŋmwa	Thidingkha, (Amchok)/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta/Timma, Rimchim
ɨ	ɨ	88	ṭaŋmɨwa//ŋalɨŋ	Thidingkha, (Amchok)/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta/Timma, Rimchim
^s	s	86	sɨŋ//sɨŋ	Thidingkha, (Amchok)/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta/Timma, Rimchim
^b	b	81	buk//buk	Thidingkha, (Amchok)/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta/Timma, Rimchim
r	+ r	81	nəŋra//nəŋra	Thidingkha, (Amchok)/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta/Timma, Rimchim
^m	m	75	mɨ//mək	Thidingkha, (Amchok)/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta/Timma, Rimchim
^kh	kh	74	khɨ//khɨ	Thidingkha, (Amchok)/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta/Timma, Rimchim
^n	n	68	nabak//nabhak	Thidingkha, (Amchok)/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta/Timma, Rimchim
t	+ t	68	martola//martola	Thidingkha, (Amchok)/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta/Timma, Rimchim
l	+ l	67	ŋalɨŋ//ŋalɨŋ	Thidingkha, (Amchok)/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta/Timma, Rimchim
j	+ j	66	ɨjuwa//maʔkjo	Thidingkha, (Amchok)/Lungin (Hatuwa)/Okhre, Khena/Khoku, Dhankuta/Timma, Rimchim
