Grapheme	IPA	Frequency	Examples	Languages
a	a	601	taŋge//taŋgek	Piple/Guthitar/Belhara/Rudra bari
i	i	250	mik//mik	Piple/Guthitar/Belhara/Rudra bari
e	e	185	taŋge//taŋgek	Piple/Guthitar/Belhara/Rudra bari
u	u	184	nhubhek//nhubhek	Piple/Guthitar/Belhara/Rudra bari
k	+ k	158	taŋgek//taŋgek	Piple/Guthitar/Belhara/Rudra bari
m	+ m	154	mukteŋma//muktem ma	Piple/Guthitar/Belhara/Rudra bari
ŋ	+ ŋ	141	taŋge//taŋgek	Piple/Guthitar/Belhara/Rudra bari
n	+ n	125	anari//mun	Piple/Guthitar/Belhara/Rudra bari
o	o	115	phok//phok	Piple/Guthitar/Belhara/Rudra bari
r	+ r	112	nari//anari	Piple/Guthitar/Belhara/Rudra bari
b	+ b	101	nubek//kubin	Piple/Belhara/Guthitar/Rudra bari
ə	ə	86	hotrə//ləcheuət	Piple/Belhara/Guthitar/Rudra bari
l	+ l	79	aŋgulik//aŋgulik	Piple/Guthitar/Belhara/Rudra bari
^h	h	71	hǝʔwa//hoʔwa	Piple/Guthitar/Belhara/Rudra bari
^m	m	68	mik//mik	Piple/Guthitar/Belhara/Rudra bari
^s	s	67	siŋ//siŋ	Piple/Guthitar/Belhara/Rudra bari
ʔ	+ ʔ	66	choʔkmasik//tshoʔkmasik	Piple/Guthitar/Belhara/Rudra bari
ch	+ ch	65	hichep ma//lachewat	Piple/Guthitar/Belhara/Rudra bari
t	+ t	60	mukteŋma//muktem ma	Piple/Guthitar/Belhara/Rudra bari
^a	a	59	anari//aŋgulik	Piple/Guthitar/Belhara/Rudra bari
^u	u	55	uruwa//uruʔwa	Piple/Belhara/Guthitar/Rudra bari
s	+ s	52	choʔkmasik//tshoʔkmasik	Piple/Guthitar/Belhara/Rudra bari
^l	l	45	lephpha//lekhpha	Piple/Guthitar/Belhara/Rudra bari
w	+ w	41	hǝʔwa//hoʔwa	Piple/Guthitar/Belhara/Rudra bari
g	+ g	40	taŋge//taŋgek	Piple/Guthitar/Belhara/Rudra bari
^n	n	40	nabhak//nabhak	Piple/Belhara/Guthitar/Rudra bari
^p	p	38	popola//pyaj	Piple/Belhara/Guthitar/Rudra bari
^ph	ph	37	phyak//phiyak	Piple/Guthitar/Belhara/Rudra bari
kh	+ kh	36	lekhpha//lekhpha	Piple/Belhara/Guthitar/Rudra bari
^c	c	34	cətsuŋgi//cuwa	Piple/Guthitar/Belhara/Rudra bari
^b	b	34	bərkha//badəl	Piple/Belhara/Guthitar/Rudra bari
d	+ d	33	hathauda//hathauda	Guthitar/Belhara/Piple/Rudra bari
^k	k	29	keŋ//keŋ	Piple/Guthitar/Belhara/Rudra bari
^i	i	28	imbicha//inetto	Piple/Guthitar/Belhara/Rudra bari
^kh	kh	26	khim//khim	Piple/Guthitar/Belhara/Rudra bari
^ch	ch	24	choʔkmasik//cheʔpma	Piple/Guthitar/Belhara/Rudra bari
ʈ	+ ʈ	24	chomeʈ//chomeʈ	Piple/Guthitar/Belhara/Rudra bari
c	+ c	20	bijulicəmkənu//bijulicəmkənu	Piple/Guthitar/Belhara/Rudra bari
^w	w	19	welik//wacile	Piple/Belhara/Guthitar/Rudra bari
p	+ p	19	cheʔpma//chepma	Guthitar/Belhara/Piple/Rudra bari
^ʈ	ʈ	19	ʈoraŋ//ʈoraŋ	Piple/Guthitar/Belhara/Rudra bari
bh	+ bh	18	nhabhak//nabhak	Piple/Guthitar/Belhara/Rudra bari
h	+ h	18	lohoro//lohoro	Piple/Guthitar/Belhara/Rudra bari
^d	d	15	dudh//dudh	Piple/Guthitar/Belhara/Rudra bari
ya	ya	15	ṭoŋghyaŋ//ṭoŋghyaŋ	Piple/Guthitar/Belhara/Rudra bari
ya$	ya	14	phyak//pyaj	Piple/Guthitar/Belhara/Rudra bari
^e	e	14	epheŋkha//epheŋdheʔ	Piple/Guthitar/Belhara/Rudra bari
dh	+ dh	13	dudh//dudh	Piple/Guthitar/Belhara/Rudra bari
j	+ j	13	bijulicəmkənu//bijulicəmkənu	Piple/Guthitar/Belhara/Rudra bari
ã	ã	13	dhuwã//sãwa	Piple/Belhara/Guthitar/Rudra bari
iya	iya	11	phiyak//phiyak	Piple/Belhara/Guthitar/Rudra bari
^r	r	11	ruʔwa//ruʔwa	Piple/Guthitar/Belhara/Rudra bari
^t	t	10	taŋge//taŋgek	Piple/Guthitar/Belhara/Rudra bari
^g	g	10	gãu//gãu	Piple/Guthitar/Belhara/Rudra bari
gh	+ gh	10	luŋghek//luŋgheʔk	Piple/Belhara/Rudra bari
^ye	ye	10	yembicha//yembetsha	Piple/Belhara/Guthitar/Rudra bari
ph	+ ph	9	lekhpha//lepha	Piple/Belhara/Guthitar/Rudra bari
+	+ +	9	muktem ma//mukte mma	Piple/Belhara/Rudra bari
ṭ	+ ṭ	9	silauṭo//silauṭo	Piple/Belhara/Guthitar/Rudra bari
ɖ	+ ɖ	9	phenɖi//golbheɖa	Guthitar/Belhara/Piple/Rudra bari
ph$	ph	9	uphauwa//aphu	Piple/Belhara/Guthitar/Rudra bari
^j	j	8	jiu//jiu	Piple/Guthitar/Belhara/Rudra bari
ai$	ai	8	wain//wain	Piple/Guthitar/Belhara/Rudra bari
kh$	kh	8	eikha//eikha	Piple/Belhara/Guthitar/Rudra bari
mm	+ mm	7	muktemma//mukte mma	Piple/Belhara/Guthitar/Rudra bari
^tsh	tsh	7	tshoʔkmasik//tshokmasik	Piple/Belhara/Guthitar/Rudra bari
ãu$	ãu	7	gãu//gãu	Piple/Guthitar/Belhara/Rudra bari
^dh	dh	7	dhuri//dhuri	Piple/Guthitar/Belhara/Rudra bari
au	au	7	silauṭo//silauṭo	Piple/Belhara/Guthitar/Rudra bari
th	+ th	7	hathauda//hathauda	Guthitar/Belhara/Piple/Rudra bari
