Grapheme	IPA	Frequency	Examples	Languages
a	a	939	tubak//tobak	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
u	u	290	tubak//tubak	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
m	+ m	287	makacɨkma//makacɨkma	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
i	i	245	ŋaklasi//ŋaklasi	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
e	e	227	phendɨk//phendɨk	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
ŋ	+ ŋ	225	poŋkhorok//poŋkhorok	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
k	+ k	170	tubak//tobak	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
ɨ	ɨ	152	phendɨk//phendɨk	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
o	o	140	tobak//tobak	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
n	+ n	132	phendɨk//phendɨk	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
b	+ b	127	tubak//tobak	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
w	+ w	105	nuwa//nuwa	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
r	+ r	104	dzharak//dzharak	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
^kh	kh	95	khocoʔŋaba//kham serekwa	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
l	+ l	86	ŋaklasi//ŋaklasi	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
^s	s	84	sodzeka//sodzeka	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
ʔ	+ ʔ	82	khocoʔŋaba//ŋaʔlasi	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
^m	m	81	mubak//moba	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
^l	l	75	len//len	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
t	+ t	73	hutma//hutma	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
^p	p	64	poŋkhorok//poŋkhorok	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
^n	n	62	nuwa//nuwa	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
^h	h	61	hedaŋsaba//hedaba	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
^t	t	58	tubak//tobak	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
p	+ p	57	dopala//dopala	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
s	+ s	55	ŋaklasi//ŋaklasi	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
^c	c	55	cuŋ//cuŋ	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
c	+ c	50	khocoʔŋaba//makacɨkma	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
^a	a	48	aŋgalekka//aŋgalekka	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
ch	+ ch	43	jemmicha//jemmicha	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
d	+ d	42	phendɨk//phendɨk	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
g	+ g	42	aŋgalekka//aŋgalekka	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
^th	th	33	theduba//theduba	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
^w	w	33	wa//wa	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
ph	+ ph	32	tamphekma//tamphekma	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
^k	k	32	kuiro//kocuwa	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
^j	j	30	jemmicha//jemmicha	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
j	+ j	27	mijacha//mijacha	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
^ŋ	ŋ	25	ŋaklasi//ŋaklasi	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
mm	+ mm	25	jemmicha//jemmicha	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
^r	r	20	ruʔwa//ruʔwa	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
kh	+ kh	19	poŋkhorok//poŋkhorok	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
^ch	ch	19	chot//chot	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
+	+ +	16	kham serekwa//kham serekwa	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
^ph	ph	15	phendɨk//phendɨk	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
th	+ th	11	wathin//laphthaŋ	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
^dzh	dzh	10	dzharak//dzharak	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
^bh	bh	10	bhuburo//bhuburo	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
dz	+ dz	9	sodzeka//sodzeka	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
^d	d	9	dopala//dopala	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
ə	ə	9	həra//həra	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
^b	b	9	beŋwa//beŋwa	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
ŋs	+ ŋs	8	hedaŋsaba//hesaŋsaba	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
kk	+ kk	6	aŋgalekka//aŋgalekka	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
h	+ h	6	tuhari//hesahare	Pokla/Pakha/Barbhanjyang/Gairi
^ɨ	ɨ	6	ɨtɨlok//ɨŋga	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
^M	M	5	Muk//Muk	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
^H	H	5	Hali//Hali	Pokla/Gairi/Suke-ahal/Barbhanjyang/Pakha
