Grapheme	IPA	Frequency	Examples	Languages
a	a	242	nʰatoŋ//natuŋ	Dhimal East/Dhimal West
i	i	173	puriŋ//puriŋ	Dhimal East/Dhimal West
e	e	98	setoŋ//detoŋ	Dhimal East/Dhimal West
l	+ l	94	khuit⍰la//aŋguli	Dhimal East/Dhimal West
u	u	83	puriŋ//puriŋ	Dhimal East/Dhimal West
ŋ	+ ŋ	60	puriŋ//puriŋ	Dhimal East/Dhimal West
o	o	60	nʰatoŋ//setoŋ	Dhimal East/Dhimal West
r	+ r	55	puriŋ//puriŋ	Dhimal East/Dhimal West
n	+ n	53	pʰinu//pʰeno	Dhimal East/Dhimal West
m	+ m	48	hamu//nemeŋ	Dhimal East/Dhimal West
k	+ k	48	kʰokoi//kʰokoi	Dhimal East/Dhimal West
^d	d	37	detoŋ//detoŋ	Dhimal East/Dhimal West
^b	b	36	bindu//bindu	Dhimal East/Dhimal West
t	+ t	31	nʰatoŋ//natuŋ	Dhimal East/Dhimal West
^s	s	29	setoŋ//soʔ	Dhimal East/Dhimal West
d	+ d	29	dudu//dudu	Dhimal East/Dhimal West
^h	h	28	hamu//hatu	Dhimal East/Dhimal West
s	+ s	27	pusuŋ//pusuŋ	Dhimal East/Dhimal West
^m	m	22	misjã//mi	Dhimal East/Dhimal West
ai	ai	22	bilaiti//bilaiti	Dhimal East/Dhimal West
^n	n	21	natuŋ//nui	Dhimal East/Dhimal West
^ts	ts	18	tsamra//tsale	Dhimal East/Dhimal West
^k	k	18	koŋdaŋ//korda	Dhimal East/Dhimal West
b	+ b	18	dhaba//lʰaba	Dhimal East/Dhimal West
j	+ j	17	misjã//Bijuli ts⍰mkili	Dhimal East/Dhimal West
^t	t	17	tasiŋ//tumsiŋ	Dhimal East/Dhimal West
^a	a	17	aŋguli//aŋguli	Dhimal East/Dhimal West
ʔ	+ ʔ	17	soʔ//eʔ	Dhimal East/Dhimal West
^dz	dz	14	dziu//dziu	Dhimal East/Dhimal West
ə	ə	14	hətəura//tsəkku	Dhimal East/Dhimal West
h	+ h	13	lohoro//diham	Dhimal East/Dhimal West
ai$	ai	11	rʰai//rʰai	Dhimal East/Dhimal West
^nʰ	nʰ	11	nʰatoŋ//nʰapu	Dhimal East/Dhimal West
ui$	ui	11	nui//nui	Dhimal East/Dhimal West
^kʰ	kʰ	11	kʰur//kʰui	Dhimal East/Dhimal West
^o	o	11	one//one	Dhimal East/Dhimal West
^p	p	10	puriŋ//puriŋ	Dhimal East/Dhimal West
^dʰ	dʰ	10	dʰale//dʰeŋgur	Dhimal East/Dhimal West
^w	w	10	wabal//wadzan	Dhimal East/Dhimal West
ã	ã	9	misjã//dʰwã	Dhimal East/Dhimal West
^l	l	9	lisi//lisi	Dhimal East/Dhimal West
^j	j	9	jumpʰi//juŋgʰai	Dhimal East/Dhimal West
^e	e	9	eʔ//eʔ	Dhimal East/Dhimal West
oi	oi	8	kʰokoi//kʰokoi	Dhimal East/Dhimal West
^pʰ	pʰ	8	pʰinu//pʰeno	Dhimal East/Dhimal West
^bʰ	bʰ	8	bʰerma//bʰerma	Dhimal East/Dhimal West
^u	u	8	unthur//umpʰi	Dhimal East/Dhimal West
^g	g	7	giru//gom	Dhimal East/Dhimal West
g	+ g	7	aŋguli//aŋguli	Dhimal East/Dhimal West
ts	+ ts	7	chetso//tsilkatsilka	Dhimal East/Dhimal West
rs	+ rs	6	kʰursiŋ//kʰursiŋ	Dhimal East/Dhimal West
pʰ	+ pʰ	6	dupʰe//dupʰe	Dhimal East/Dhimal West
dz	+ dz	6	wadzan//wadzan	Dhimal East/Dhimal West
^rʰ	rʰ	5	rʰai//rʰai	Dhimal East/Dhimal West
p	+ p	5	nʰapu//nʰapu	Dhimal East/Dhimal West
ṭ	+ ṭ	5	siləuṭo//meṭoŋ	Dhimal East/Dhimal West
+	+ +	5	Bijuli ts⍰mkili//eʔ sae	Dhimal East/Dhimal West
ui	ui	5	antʰui//nʰamui	Dhimal East/Dhimal West
w	+ w	5	dʰwã//dʰwã	Dhimal East/Dhimal West
bʰ	+ bʰ	5	kobʰi//kobʰi	Dhimal East/Dhimal West
⍰	+ ⍰	4	khuit⍰la//bad⍰l	Dhimal East
^lʰ	lʰ	4	lʰaba//lʰaba	Dhimal East/Dhimal West
kʰ	+ kʰ	3	lokʰon//uŋkʰu	Dhimal East/Dhimal West
th	+ th	3	⍰ŋthiŋ//unthur	Dhimal East
^dzʰ	dzʰ	3	dzʰora//dzʰora	Dhimal East/Dhimal West
^i	i	3	indreni//idoi	Dhimal East/Dhimal West
tʰ	+ tʰ	3	antʰui//hetʰe	Dhimal East/Dhimal West
ʔs	+ ʔs	3	buʔsuri//buʔsuri	Dhimal East/Dhimal West
dʰ	+ dʰ	3	dudʰe//dudʰ	Dhimal East/Dhimal West
^r	r	3	rime//remka	Dhimal East/Dhimal West
iu$	iu	2	dziu//dziu	Dhimal East/Dhimal West
^kh	kh	2	khuit⍰la//khiʔli	Dhimal East
əu	əu	2	siləuṭo//hətəura	Dhimal West
əu$	əu	2	dzəu//dzəu	Dhimal East/Dhimal West
gʰ	+ gʰ	2	juŋgʰai//juŋgʰai	Dhimal East/Dhimal West
tsʰ	+ tsʰ	2	mantsʰar//hiŋtsʰa	Dhimal West
ya$	ya	2	pyaji//bya	Dhimal East
au$	au	2	sau//sau	Dhimal East/Dhimal West
^ḍ	ḍ	2	ḍaŋ//ḍaŋ	Dhimal East/Dhimal West
^P	P	2	Puhjã//Puĩhjã	Dhimal East/Dhimal West
^rh	rh	2	rhika//rhuta	Dhimal East
e:$	e:	2	dze:ka//dze:ka	Dhimal East/Dhimal West
a:$	a:	2	da:ka//da:ka	Dhimal East/Dhimal West
