Grapheme	IPA	Frequency	Examples	Languages
a	a	476	tsjiutan//mohʌḍa	Sikles/Pokhara/Bhujung/Sirubari/Khasur
ʌ	ʌ	268	krʌ//krʌ	Sikles/Pokhara/Bhujung/Sirubari/Khasur
i	i	232	mi//libo	Sikles/Pokhara/Bhujung/Sirubari/Khasur
b	+ b	179	libo//tibi	Sikles/Pokhara/Bhujung/Sirubari/Khasur
j	+ j	170	tsjiutan//sujeba	Sikles/Pokhara/Bhujung/Sirubari/Khasur
u	u	166	nʌkhu//nʌkhu	Sikles/Pokhara/Bhujung/Sirubari/Khasur
r	+ r	152	krʌ//krʌ	Sikles/Pokhara/Bhujung/Sirubari/Khasur
o	o	146	krʌpo//libo	Sikles/Pokhara/Bhujung/Sirubari/Khasur
e	e	117	le//le	Sikles/Pokhara/Bhujung/Sirubari/Khasur
^k	k	111	krʌ//krʌ	Sikles/Pokhara/Bhujung/Sirubari/Khasur
l	+ l	111	jopla//jopla	Sikles/Pokhara/Bhujung/Sirubari/Khasur
^m	m	94	mi//mohʌḍa	Sikles/Pokhara/Bhujung/Sirubari/Khasur
^ts	ts	81	tsjiutan//tsʌkku	Sikles/Pokhara/Bhujung/Sirubari/Khasur
^s	s	73	sũ//sũ	Sikles/Pokhara/Bhujung/Sirubari/Khasur
^p	p	69	pʌĩḍa//pla	Sikles/Pokhara/Bhujung/Sirubari/Khasur
m	+ m	66	amla//juma	Sikles/Pokhara/Bhujung/Sirubari/Khasur
n	+ n	61	tsjiutan//kuino	Sikles/Pokhara/Bhujung/Sirubari/Khasur
^ŋ	ŋ	61	ŋõ//ŋẽ̤	Sikles/Pokhara/Bhujung/Sirubari/Khasur
^n	n	58	nʌpẽ//nwãkhõ	Sikles/Pokhara/Bhujung/Sirubari/Khasur
^t	t	53	tibi//ti:	Sikles/Pokhara/Bhujung/Sirubari/Khasur
^r	r	51	riḍi//ripa	Sikles/Pokhara/Bhujung/Sirubari/Khasur
s	+ s	48	josĩ//josĩ	Sikles/Pokhara/Bhujung/Sirubari/Khasur
õ	õ	44	ŋõ//mĩkhõ	Sikles/Pokhara/Bhujung/Sirubari/Khasur
^l	l	41	li://li:	Sikles/Pokhara/Bhujung/Sirubari/Khasur
^kh	kh	41	khli//khli	Sikles/Pokhara/Bhujung/Sirubari/Khasur
g	+ g	40	pugla//jargodi	Sikles/Pokhara/Bhujung/Sirubari/Khasur
^j	j	39	jo//jo	Sikles/Pokhara/Bhujung/Sirubari/Khasur
ẽ	ẽ	38	nʌpẽ//nẽpẽ	Sikles/Pokhara/Bhujung/Sirubari/Khasur
ĩ	ĩ	37	mĩkhõ//jorĩ	Sikles/Pokhara/Bhujung/Sirubari/Khasur
^ṭ	ṭ	37	ṭibli//ṭĩ	Sikles/Pokhara/Bhujung/Sirubari/Khasur
ã	ã	33	nwãkhõ//nã	Sikles/Pokhara/Bhujung/Sirubari/Khasur
^b	b	33	baluwa//baluwa	Sikles/Pokhara/Bhujung/Sirubari/Khasur
^ph	ph	32	pho//phʌ	Sikles/Pokhara/Bhujung/Sirubari/Khasur
^tsh	tsh	31	tshĩ//tshan	Sikles/Pokhara/Bhujung/Sirubari/Khasur
d	+ d	29	kurdu//mrẽdum	Sikles/Pokhara/Bhujung/Sirubari/Khasur
ũ	ũ	26	sũ//sũ	Sikles/Pokhara/Bhujung/Sirubari/Khasur
^a	a	26	amla//alu	Sikles/Pokhara/Bhujung/Sirubari/Khasur
