ID	DOCULECT	DATASET	CONCEPT	CONCEPT_IN_SOURCE	CONCEPT_ID	VALUE	FORM	TOKENS	PAGES
6446	Bartole	Dulung	1.	body	body	pok	pok	p o k	89
6447	Dandatole	Dulung	1.	body	body	pokh	pokh	p o kh	89
6448	Tharpu	Dulung	1.	body	body	roŋ	roŋ	r o ŋ	89
6449	Chaukibari	Dulung	1.	body	body	Aŋpoɂk	Aŋpoɂk	A ŋ p o ɂ k	89
6450	Bastim	Dulung	1.	body	body	pokh	pokh	p o kh	89
7499	Mandre	Ghale-Gurung	1.	body	body	ŋwʌ	ŋwʌ	ŋ w ʌ	61
7500	Barpak1	Ghale-Gurung	1.	body	body	ŋwʌ	ŋwʌ	ŋ w ʌ	61
7501	Brpak2 (Ghale)	Ghale-Gurung	1.	body	body	wʌ̃/ŋwʌ̃	wʌ̃	w ʌ̃	61
7502	Brpak2 (Ghale)	Ghale-Gurung	1.	body	body	wʌ̃/ŋwʌ̃	ŋwʌ̃	ŋ w ʌ̃	61
7503	Laprak	Ghale-Gurung	1.	body	body	sjʌ/ŋuba/kuŋ	sjʌ	s j ʌ	61
7504	Laprak	Ghale-Gurung	1.	body	body	sjʌ/ŋuba/kuŋ	ŋuba	ŋ u b a	61
7505	Laprak	Ghale-Gurung	1.	body	body	sjʌ/ŋuba/kuŋ	kuŋ	k u ŋ	61
7506	Gumda	Ghale-Gurung	1.	body	body	tsjan	tsjan	ts j a n	61
8679	Sirubari	Gurung	1.	body	body	dziu	dziu	dz iu	73
8680	Pokhara	Gurung	1.	body	body	dziu	dziu	dz iu	73
8681	Sikles	Gurung	1.	body	body	tsjiutan	tsjiutan	ts j iu t a n	73
8682	Khasur	Gurung	1.	body	body	dziu	dziu	dz iu	73
8683	Bhujung	Gurung	1.	body	body	dziu	dziu	dz iu	73
9718	Sikri	Jirel	1.	body	body	dziu	dziu	dz iu	80
9719	Kharoban	Jirel	1.	body	body	dziu	dziu	dz iu	80
9720	Chhetrapa	Jirel	1.	body	body	dziu	dziu	dz iu	80
9721	Yarsa	Jirel	1.	body	body	dziu	dziu	dz iu	80
46	Santang	Athpahariya	10.	tongue	tongue	lekhpha	lekhpha	l e kh ph a	101
47	Tekunala	Athpahariya	10.	tongue	tongue	lekhpha	lekhpha	l e kh ph a	101
48	Guthitar	Athpahariya	10.	tongue	tongue	lepha	lepha	l e ph a	101
49	Khalde	Athpahariya	10.	tongue	tongue	lekhpha	lekhpha	l e kh ph a	101
50	Hatiya /Dhan kuta Bazaar	Athpahariya	10.	tongue	tongue	lekhpa	lekhpa	l e kh p a	101
1099	Khoku, Dhankuta	Bantawa	10.	tongue	tongue	lem	lem	l e m	138
1100	Lungin (Hatuwa)	Bantawa	10.	tongue	tongue	lem	lem	l e m	138
1101	Thidingkha, (Amchok)	Bantawa	10.	tongue	tongue	lem	lem	l e m	138
1102	Timma, Rimchim	Bantawa	10.	tongue	tongue	lem	lem	l e m	138
1103	Okhre, Khena	Bantawa	10.	tongue	tongue	lem	lem	l e m	138
2146	Belhara	Belhare	10.	tongue	tongue	lephpha	lephpha	l e phph a	87
2147	Piple	Belhare	10.	tongue	tongue	lekhpha	lekhpha	l e kh ph a	87
2148	Guthitar	Belhare	10.	tongue	tongue	lepha	lepha	l e ph a	87
2149	Rudra bari	Belhare	10.	tongue	tongue	lekhpha	lekhpha	l e kh ph a	87
2995	Hadunge	Chamling	10.	tongue	tongue	lem	lem	l e m	94
2996	Halesi	Chamling	10.	tongue	tongue	lem	lem	l e m	94
2997	Ratanchha	Chamling	10.	tongue	tongue	ljam	ljam	l j a m	94
2998	Balamta	Chamling	10.	tongue	tongue	lem	lem	l e m	94
2999	Aaptar	Chamling	10.	tongue	tongue	lem	lem	l e m	94
4042	Chaudhari Tole	Chintang	10.	tongue	tongue	lem	lem	l e m	127
4043	Mulgaun	Chintang	10.	tongue	tongue	lem	lem	l e m	127
4044	Nangchhuwa	Chintang	10.	tongue	tongue	lem	lem	l e m	127
4045	Mangthana	Chintang	10.	tongue	tongue	lem	lem	l e m	127
4046	Chambak	Chintang	10.	tongue	tongue	lem	lem	l e m	127
5899	Barbhanjyang	Chulung	10.	tongue	tongue	lem	lem	l e m	121
5900	Gairi	Chulung	10.	tongue	tongue	lem	lem	l e m	121
5901	Pakha	Chulung	10.	tongue	tongue	lem	lem	l e m	121
5902	Pokla	Chulung	10.	tongue	tongue	lem	lem	l e m	121
5903	Suke-ahal	Chulung	10.	tongue	tongue	lem	lem	l e m	121
6042	Dhimal West	Dhimal	10.	tongue	tongue	detoŋ	detoŋ	d e t o ŋ	92
6043	Dhimal East	Dhimal	10.	tongue	tongue	detoŋ	detoŋ	d e t o ŋ	92
6491	Bartole	Dulung	10.	tongue	tongue	lem	lem	l e m	89
6492	Dandatole	Dulung	10.	tongue	tongue	lem	lem	l e m	89
6493	Tharpu	Dulung	10.	tongue	tongue	lem	lem	l e m	89
6494	Chaukibari	Dulung	10.	tongue	tongue	lem	lem	l e m	89
6495	Bastim	Dulung	10.	tongue	tongue	lem	lem	l e m	89
7550	Mandre	Ghale-Gurung	10.	tongue	tongue	li	li	l i	61
7551	Barpak1	Ghale-Gurung	10.	tongue	tongue	li	li	l i	61
7552	Brpak2 (Ghale)	Ghale-Gurung	10.	tongue	tongue	li	li	l i	61
7553	Laprak	Ghale-Gurung	10.	tongue	tongue	li–	li–	l i –	61
7554	Gumda	Ghale-Gurung	10.	tongue	tongue	li	li	l i	61
8724	Sirubari	Gurung	10.	tongue	tongue	le	le	l e	73
8725	Pokhara	Gurung	10.	tongue	tongue	le	le	l e	73
8726	Sikles	Gurung	10.	tongue	tongue	le:	le:	l e:	73
8727	Khasur	Gurung	10.	tongue	tongue	le	le	l e	73
8728	Bhujung	Gurung	10.	tongue	tongue	le	le	l e	73
9759	Sikri	Jirel	10.	tongue	tongue	tsele /tsela	tsele	ts e l e	80
9760	Sikri	Jirel	10.	tongue	tongue	tsele /tsela	tsela	ts e l a	80
9761	Kharoban	Jirel	10.	tongue	tongue	tselak/tsela	tselak	ts e l a k	80
9762	Kharoban	Jirel	10.	tongue	tongue	tselak/tsela	tsela	ts e l a	80
9763	Chhetrapa	Jirel	10.	tongue	tongue	tsela	tsela	ts e l a	80
9764	Yarsa	Jirel	10.	tongue	tongue	tsela	tsela	ts e l a	80
497	Santang	Athpahariya	100.	spider	spider	maksaburu	maksaburu	m a ks a b u r u	101
498	Tekunala	Athpahariya	100.	spider	spider	maksaburu	maksaburu	m a ks a b u r u	101
499	Guthitar	Athpahariya	100.	spider	spider	raŋgaba	raŋgaba	r a ŋ g a b a	101
500	Khalde	Athpahariya	100.	spider	spider	maksaburu	maksaburu	m a ks a b u r u	101
501	Hatiya /Dhan kuta Bazaar	Athpahariya	100.	spider	spider	maksaburu	maksaburu	m a ks a b u r u	101
1549	Khoku, Dhankuta	Bantawa	100.	spider	spider	jaghaŋma	jaghaŋma	j a gh a ŋ m a	142
1550	Lungin (Hatuwa)	Bantawa	100.	spider	spider	jaghaŋma	jaghaŋma	j a gh a ŋ m a	142
1551	Thidingkha, (Amchok)	Bantawa	100.	spider	spider	jaghaŋma	jaghaŋma	j a gh a ŋ m a	142
1552	Timma, Rimchim	Bantawa	100.	spider	spider	bokchuk	bokchuk	b o k ch u k	142
1553	Okhre, Khena	Bantawa	100.	spider	spider	makura	makura	m a k u r a	142
2506	Belhara	Belhare	100.	spider	spider	raŋgaba	raŋgaba	r a ŋ g a b a	90
2507	Piple	Belhare	100.	spider	spider	rǝŋgǝba	rǝŋgǝba	r ǝ ŋ g ǝ b a	90
2508	Guthitar	Belhare	100.	spider	spider	raŋgaba	raŋgaba	r a ŋ g a b a	90
2509	Rudra bari	Belhare	100.	spider	spider	raŋgaba	raŋgaba	r a ŋ g a b a	90
3442	Hadunge	Chamling	100.	spider	spider	wakurma	wakurma	w a k u r m a	96
3443	Halesi	Chamling	100.	spider	spider	wakurma	wakurma	w a k u r m a	96
3444	Ratanchha	Chamling	100.	spider	spider	wakurma	wakurma	w a k u r m a	96
3445	Balamta	Chamling	100.	spider	spider	wakurma	wakurma	w a k u r m a	96
3446	Aaptar	Chamling	100.	spider	spider	wakurma	wakurma	w a k u r m a	96
4497	Chaudhari Tole	Chintang	100.	spider	spider	raŋgibak	raŋgibak	r a ŋ g i b a k	130
4498	Mulgaun	Chintang	100.	spider	spider	raŋgabak	raŋgabak	r a ŋ g a b a k	130
4499	Nangchhuwa	Chintang	100.	spider	spider	raŋgibak	raŋgibak	r a ŋ g i b a k	130
4500	Mangthana	Chintang	100.	spider	spider	raŋgabak	raŋgabak	r a ŋ g a b a k	130
4501	Chambak	Chintang	100.	spider	spider	raŋgibak	raŋgibak	r a ŋ g i b a k	130
5719	Barbhanjyang	Chulung	100.	spider	spider	raŋgɨbɨrɨk	raŋgɨbɨrɨk	r a ŋ g ɨ b ɨ r ɨ k	120
5720	Gairi	Chulung	100.	spider	spider	raŋgɨbɨrɨk	raŋgɨbɨrɨk	r a ŋ g ɨ b ɨ r ɨ k	120
5721	Pakha	Chulung	100.	spider	spider	raŋgɨbɨrɨk	raŋgɨbɨrɨk	r a ŋ g ɨ b ɨ r ɨ k	120
5722	Pokla	Chulung	100.	spider	spider	raŋgɨbɨrɨk	raŋgɨbɨrɨk	r a ŋ g ɨ b ɨ r ɨ k	120
5723	Suke-ahal	Chulung	100.	spider	spider	raŋgɨbɨrɨ	raŋgɨbɨrɨ	r a ŋ g ɨ b ɨ r ɨ	120
6222	Dhimal West	Dhimal	100.	spider	spider	makra	makra	m a k r a	95
6223	Dhimal East	Dhimal	100.	spider	spider	makra	makra	m a k r a	95
6944	Bartole	Dulung	100.	spider	spider	jaɂghŋma	jaɂghŋma	j a ɂ gh ŋ m a	91
6945	Dandatole	Dulung	100.	spider	spider	jaghaŋ	jaghaŋ	j a gh a ŋ	91
6946	Tharpu	Dulung	100.	spider	spider	makuro	makuro	m a k u r o	91
6947	Chaukibari	Dulung	100.	spider	spider	jaɂgma	jaɂgma	j a ɂ g m a	91
6948	Bastim	Dulung	100.	spider	spider	jaɂghʌŋ	jaɂghʌŋ	j a ɂ gh ʌ ŋ	91
8052	Mandre	Ghale-Gurung	100.	spider	spider	t̺okja	t̺okja	t̺ o k j a	64
8053	Barpak1	Ghale-Gurung	100.	spider	spider	d̺oja/d̺ogja	d̺oja	d̺ o j a	64
8054	Barpak1	Ghale-Gurung	100.	spider	spider	d̺oja/d̺ogja	d̺ogja	d̺ o g j a	64
8055	Brpak2 (Ghale)	Ghale-Gurung	100.	spider	spider	d̺okja	d̺okja	d̺ o k j a	64
8056	Laprak	Ghale-Gurung	100.	spider	spider	t̺asjʌ	t̺asjʌ	t̺ a s j ʌ	64
8057	Gumda	Ghale-Gurung	100.	spider	spider	t̺apsjʌ	t̺apsjʌ	t̺ a ps j ʌ	64
9167	Sirubari	Gurung	100.	spider	spider	timro	timro	t i m r o	76
9168	Pokhara	Gurung	100.	spider	spider	makura	makura	m a k u r a	76
9169	Sikles	Gurung	100.	spider	spider	ṭimru	ṭimru	ṭ i m r u	76
9170	Khasur	Gurung	100.	spider	spider	lu	lu	l u	76
9171	Bhujung	Gurung	100.	spider	spider	phili	phili	ph i l i	76
10194	Sikri	Jirel	100.	spider	spider	gwãpali	gwãpali	g w ã p a l i	84
10195	Kharoban	Jirel	100.	spider	spider	gwãpali	gwãpali	g w ã p a l i	84
10196	Chhetrapa	Jirel	100.	spider	spider	gwãpali	gwãpali	g w ã p a l i	84
10197	Yarsa	Jirel	100.	spider	spider	gwãpali	gwãpali	g w ã p a l i	84
502	Santang	Athpahariya	101.	name	name	niŋ	niŋ	n i ŋ	101
503	Tekunala	Athpahariya	101.	name	name	niŋ	niŋ	n i ŋ	101
504	Guthitar	Athpahariya	101.	name	name	niŋ	niŋ	n i ŋ	101
505	Khalde	Athpahariya	101.	name	name	pai	pai	p ai	101
506	Hatiya /Dhan kuta Bazaar	Athpahariya	101.	name	name	niŋ	niŋ	n i ŋ	101
1554	Khoku, Dhankuta	Bantawa	101.	name	name	nɨŋ	nɨŋ	n ɨ ŋ	142
1555	Lungin (Hatuwa)	Bantawa	101.	name	name	nɨŋ	nɨŋ	n ɨ ŋ	142
1556	Thidingkha, (Amchok)	Bantawa	101.	name	name	nəŋ	nəŋ	n ə ŋ	142
1557	Timma, Rimchim	Bantawa	101.	name	name	nəŋ	nəŋ	n ə ŋ	142
1558	Okhre, Khena	Bantawa	101.	name	name	nɨŋ	nɨŋ	n ɨ ŋ	142
2510	Belhara	Belhare	101.	name	name	niŋ	niŋ	n i ŋ	90
2511	Piple	Belhare	101.	name	name	niŋ	niŋ	n i ŋ	90
2512	Guthitar	Belhare	101.	name	name	niŋ	niŋ	n i ŋ	90
2513	Rudra bari	Belhare	101.	name	name	niŋ	niŋ	n i ŋ	90
3447	Hadunge	Chamling	101.	name	name	nuŋ	nuŋ	n u ŋ	96
3448	Halesi	Chamling	101.	name	name	nuŋ	nuŋ	n u ŋ	96
3449	Ratanchha	Chamling	101.	name	name	nuŋ	nuŋ	n u ŋ	96
3450	Balamta	Chamling	101.	name	name	nuŋ	nuŋ	n u ŋ	96
3451	Aaptar	Chamling	101.	name	name	nuŋ	nuŋ	n u ŋ	96
4502	Chaudhari Tole	Chintang	101.	name	name	nɨŋ	nɨŋ	n ɨ ŋ	130
4503	Mulgaun	Chintang	101.	name	name	nɨŋ	nɨŋ	n ɨ ŋ	130
4504	Nangchhuwa	Chintang	101.	name	name	nɨŋ	nɨŋ	n ɨ ŋ	130
4505	Mangthana	Chintang	101.	name	name	nɨŋ	nɨŋ	n ɨ ŋ	130
4506	Chambak	Chintang	101.	name	name	nɨŋ	nɨŋ	n ɨ ŋ	130
5534	Barbhanjyang	Chulung	101.	name	name	nɨŋ	nɨŋ	n ɨ ŋ	119
5535	Gairi	Chulung	101.	name	name	nɨŋ	nɨŋ	n ɨ ŋ	119
5536	Pakha	Chulung	101.	name	name	nɨŋ	nɨŋ	n ɨ ŋ	119
5537	Pokla	Chulung	101.	name	name	niŋ	niŋ	n i ŋ	119
5538	Suke-ahal	Chulung	101.	name	name	nɨŋ	nɨŋ	n ɨ ŋ	119
6224	Dhimal West	Dhimal	101.	name	name	mi	mi	m i	95
6225	Dhimal East	Dhimal	101.	name	name	miŋ	miŋ	m i ŋ	95
6949	Bartole	Dulung	101.	name	name	nʌŋ	nʌŋ	n ʌ ŋ	91
6950	Dandatole	Dulung	101.	name	name	nʌŋ	nʌŋ	n ʌ ŋ	91
6951	Tharpu	Dulung	101.	name	name	nʌŋ	nʌŋ	n ʌ ŋ	91
6952	Chaukibari	Dulung	101.	name	name	nʌŋ	nʌŋ	n ʌ ŋ	91
6953	Bastim	Dulung	101.	name	name	nʌŋ	nʌŋ	n ʌ ŋ	91
8058	Mandre	Ghale-Gurung	101.	name	name	min	min	m i n	65
8059	Barpak1	Ghale-Gurung	101.	name	name	min	min	m i n	65
8060	Brpak2 (Ghale)	Ghale-Gurung	101.	name	name	min	min	m i n	65
8061	Laprak	Ghale-Gurung	101.	name	name	min	min	m i n	65
8062	Gumda	Ghale-Gurung	101.	name	name	min	min	m i n	65
9172	Sirubari	Gurung	101.	name	name	me	me	m e	76
9173	Pokhara	Gurung	101.	name	name	mi	mi	m i	76
9174	Sikles	Gurung	101.	name	name	mi	mi	m i	76
9175	Khasur	Gurung	101.	name	name	mi	mi	m i	76
9176	Bhujung	Gurung	101.	name	name	mi	mi	m i	76
10198	Sikri	Jirel	101.	name	name	min /miŋ	min	m i n	84
10199	Sikri	Jirel	101.	name	name	min /miŋ	miŋ	m i ŋ	84
10200	Kharoban	Jirel	101.	name	name	min	min	m i n	84
10201	Chhetrapa	Jirel	101.	name	name	min	min	m i n	84
10202	Yarsa	Jirel	101.	name	name	min	min	m i n	84
507	Santang	Athpahariya	102.	man	man	yapmi	yapmi	ya p m i	101
508	Tekunala	Athpahariya	102.	man	man	yapmi	yapmi	ya p m i	101
509	Guthitar	Athpahariya	102.	man	man	mai	mai	m ai	101
510	Khalde	Athpahariya	102.	man	man	yapmi	yapmi	ya p m i	101
511	Hatiya /Dhan kuta Bazaar	Athpahariya	102.	man	man	yapmi	yapmi	ya p m i	101
1559	Khoku, Dhankuta	Bantawa	102.	man	man	mɨna	mɨna	m ɨ n a	142
1560	Lungin (Hatuwa)	Bantawa	102.	man	man	məna	məna	m ə n a	142
1561	Thidingkha, (Amchok)	Bantawa	102.	man	man	məna	məna	m ə n a	142
1562	Timma, Rimchim	Bantawa	102.	man	man	məna	məna	m ə n a	142
1563	Okhre, Khena	Bantawa	102.	man	man	məna	məna	m ə n a	142
2514	Belhara	Belhare	102.	man	man	mai	mai	m ai	90
2515	Piple	Belhare	102.	man	man	mai	mai	m ai	90
2516	Guthitar	Belhare	102.	man	man	mai	mai	m ai	90
2517	Rudra bari	Belhare	102.	man	man	mai	mai	m ai	90
3452	Hadunge	Chamling	102.	man	man	mina	mina	m i n a	96
3453	Halesi	Chamling	102.	man	man	mina	mina	m i n a	96
3454	Ratanchha	Chamling	102.	man	man	mina	mina	m i n a	96
3455	Balamta	Chamling	102.	man	man	mina	mina	m i n a	96
3456	Aaptar	Chamling	102.	man	man	mina	mina	m i n a	96
4507	Chaudhari Tole	Chintang	102.	man	man	waʔmi	waʔmi	w a ʔ m i	130
4508	Mulgaun	Chintang	102.	man	man	waʔmi	waʔmi	w a ʔ m i	130
4509	Nangchhuwa	Chintang	102.	man	man	waʔmi	waʔmi	w a ʔ m i	130
4510	Mangthana	Chintang	102.	man	man	waʔmi	waʔmi	w a ʔ m i	130
4511	Chambak	Chintang	102.	man	man	waʔmi	waʔmi	w a ʔ m i	130
5474	Barbhanjyang	Chulung	102.	man	man	maʔmi	maʔmi	m a ʔ m i	118
5475	Gairi	Chulung	102.	man	man	maʔmi	maʔmi	m a ʔ m i	118
5476	Pakha	Chulung	102.	man	man	maʔmi	maʔmi	m a ʔ m i	118
5477	Pokla	Chulung	102.	man	man	maʔmi	maʔmi	m a ʔ m i	118
5478	Suke-ahal	Chulung	102.	man	man	maʔmi	maʔmi	m a ʔ m i	118
6226	Dhimal West	Dhimal	102.	man	man	djaŋ	djaŋ	d j a ŋ	95
6227	Dhimal East	Dhimal	102.	man	man	wabal	wabal	w a b a l	95
6954	Bartole	Dulung	102.	man	man	min	min	m i n	91
6955	Dandatole	Dulung	102.	man	man	min	min	m i n	91
6956	Tharpu	Dulung	102.	man	man	min	min	m i n	91
6957	Chaukibari	Dulung	102.	man	man	min	min	m i n	91
6958	Bastim	Dulung	102.	man	man	min	min	m i n	91
8063	Mandre	Ghale-Gurung	102.	man	man	mi	mi	m i	65
8064	Barpak1	Ghale-Gurung	102.	man	man	mi	mi	m i	65
8065	Brpak2 (Ghale)	Ghale-Gurung	102.	man	man	mi/pʌti	mi	m i	65
8066	Brpak2 (Ghale)	Ghale-Gurung	102.	man	man	mi/pʌti	pʌti	p ʌ t i	65
8067	Laprak	Ghale-Gurung	102.	man	man	mi–	mi–	m i –	65
8068	Gumda	Ghale-Gurung	102.	man	man	mi	mi	m i	65
9177	Sirubari	Gurung	102.	man	man	mi̤	mi̤	m i̤	76
9178	Pokhara	Gurung	102.	man	man	mi̤	mi̤	m i̤	76
9179	Sikles	Gurung	102.	man	man	mi̤	mi̤	m i̤	76
9180	Khasur	Gurung	102.	man	man	mi̤	mi̤	m i̤	76
9181	Bhujung	Gurung	102.	man	man	mi̤	mi̤	m i̤	76
10203	Sikri	Jirel	102.	man	man	mi	mi	m i	84
10204	Kharoban	Jirel	102.	man	man	mi	mi	m i	84
10205	Chhetrapa	Jirel	102.	man	man	mi	mi	m i	84
10206	Yarsa	Jirel	102.	man	man	mi	mi	m i	84
512	Santang	Athpahariya	103.	woman	woman	metshema	metshema	m e tsh e m a	101
513	Tekunala	Athpahariya	103.	woman	woman	metshema	metshema	m e tsh e m a	101
514	Guthitar	Athpahariya	103.	woman	woman	myatsha	myatsha	m ya tsh a	101
515	Khalde	Athpahariya	103.	woman	woman	metshema	metshema	m e tsh e m a	101
516	Hatiya /Dhan kuta Bazaar	Athpahariya	103.	woman	woman	metshema	metshema	m e tsh e m a	101
1564	Khoku, Dhankuta	Bantawa	103.	woman	woman	ma	ma	m a	142
1565	Lungin (Hatuwa)	Bantawa	103.	woman	woman	ma	ma	m a	142
1566	Thidingkha, (Amchok)	Bantawa	103.	woman	woman	mechacha	mechacha	m e ch a ch a	142
1567	Timma, Rimchim	Bantawa	103.	woman	woman	mechacha	mechacha	m e ch a ch a	142
1568	Okhre, Khena	Bantawa	103.	woman	woman	mechacha	mechacha	m e ch a ch a	142
2518	Belhara	Belhare	103.	woman	woman	miyacha	miyacha	m iya ch a	90
2519	Piple	Belhare	103.	woman	woman	myacha	myacha	m ya ch a	90
2520	Guthitar	Belhare	103.	woman	woman	myacha	myacha	m ya ch a	90
2521	Rudra bari	Belhare	103.	woman	woman	miacha	miacha	m ia ch a	90
3457	Hadunge	Chamling	103.	woman	woman	mari	mari	m a r i	96
3458	Halesi	Chamling	103.	woman	woman	mari	mari	m a r i	96
3459	Ratanchha	Chamling	103.	woman	woman	mari	mari	m a r i	96
3460	Balamta	Chamling	103.	woman	woman	mari	mari	m a r i	96
3461	Aaptar	Chamling	103.	woman	woman	mari	mari	m a r i	96
4512	Chaudhari Tole	Chintang	103.	woman	woman	ma	ma	m a	130
4513	Mulgaun	Chintang	103.	woman	woman	ma	ma	m a	130
4514	Nangchhuwa	Chintang	103.	woman	woman	ma	ma	m a	130
4515	Mangthana	Chintang	103.	woman	woman	ma	ma	m a	130
4516	Chambak	Chintang	103.	woman	woman	ma	ma	m a	130
5989	Barbhanjyang	Chulung	103.	woman	woman	ma	ma	m a	122
5990	Gairi	Chulung	103.	woman	woman	ma	ma	m a	122
5991	Pakha	Chulung	103.	woman	woman	ma	ma	m a	122
5992	Pokla	Chulung	103.	woman	woman	mijacha	mijacha	m i j a ch a	122
5993	Suke-ahal	Chulung	103.	woman	woman	mijacha	mijacha	m i j a ch a	122
6228	Dhimal West	Dhimal	103.	woman	woman	bebal	bebal	b e b a l	95
6229	Dhimal East	Dhimal	103.	woman	woman	bebal	bebal	b e b a l	95
6959	Bartole	Dulung	103.	woman	woman	metshama	metshama	m e tsh a m a	91
6960	Dandatole	Dulung	103.	woman	woman	metshama	metshama	m e tsh a m a	91
6961	Tharpu	Dulung	103.	woman	woman	metshama	metshama	m e tsh a m a	91
6962	Chaukibari	Dulung	103.	woman	woman	tsha	tsha	tsh a	91
6963	Bastim	Dulung	103.	woman	woman	metshama	metshama	m e tsh a m a	91
8069	Mandre	Ghale-Gurung	103.	woman	woman	mʌdimi	mʌdimi	m ʌ d i m i	65
8070	Barpak1	Ghale-Gurung	103.	woman	woman	mʌdi	mʌdi	m ʌ d i	65
8071	Brpak2 (Ghale)	Ghale-Gurung	103.	woman	woman	mʌti	mʌti	m ʌ t i	65
8072	Laprak	Ghale-Gurung	103.	woman	woman	mʌdi	mʌdi	m ʌ d i	65
8073	Gumda	Ghale-Gurung	103.	woman	woman	mʌdi	mʌdi	m ʌ d i	65
9182	Sirubari	Gurung	103.	woman	woman	mrisjo	mrisjo	m r i s j o	76
9183	Pokhara	Gurung	103.	woman	woman	rimai	rimai	r i m ai	76
9184	Sikles	Gurung	103.	woman	woman	rimai	rimai	r i m ai	76
9185	Khasur	Gurung	103.	woman	woman	rimʌje	rimʌje	r i m ʌ j e	76
9186	Bhujung	Gurung	103.	woman	woman	rimʌi	rimʌi	r i m ʌi	76
10207	Sikri	Jirel	103.	woman	woman	phemmemi	phemmemi	ph e mm e m i	84
10208	Kharoban	Jirel	103.	woman	woman	phemmemi/ phemmeme	phemmemi	ph e mm e m i	84
10209	Kharoban	Jirel	103.	woman	woman	phemmemi/ phemmeme	phemmeme	ph e mm e m e	84
10210	Chhetrapa	Jirel	103.	woman	woman	phememi	phememi	ph e m e m i	84
10211	Yarsa	Jirel	103.	woman	woman	phemmemi	phemmemi	ph e mm e m i	84
517	Santang	Athpahariya	104.	child	child	wowotsi	wowotsi	w o w o ts i	101
518	Tekunala	Athpahariya	104.	child	child	wowo	wowo	w o w o	101
519	Guthitar	Athpahariya	104.	child	child	pitshya	pitshya	p i tsh ya	101
520	Khalde	Athpahariya	104.	child	child	wowotsi	wowotsi	w o w o ts i	101
521	Hatiya /Dhan kuta Bazaar	Athpahariya	104.	child	child	wowo	wowo	w o w o	101
1569	Khoku, Dhankuta	Bantawa	104.	child	child	cha	cha	ch a	142
1570	Lungin (Hatuwa)	Bantawa	104.	child	child	cha	cha	ch a	142
1571	Thidingkha, (Amchok)	Bantawa	104.	child	child	cha	cha	ch a	142
1572	Timma, Rimchim	Bantawa	104.	child	child	cha	cha	ch a	142
1573	Okhre, Khena	Bantawa	104.	child	child	cha	cha	ch a	142
2522	Belhara	Belhare	104.	child	child	piccha	piccha	p i c ch a	90
2523	Piple	Belhare	104.	child	child	picha	picha	p i ch a	90
2524	Guthitar	Belhare	104.	child	child	pichya	pichya	p i ch ya	90
2525	Rudra bari	Belhare	104.	child	child	niŋi	niŋi	n i ŋ i	90
3462	Hadunge	Chamling	104.	child	child	jatsha	jatsha	j a tsh a	96
3463	Halesi	Chamling	104.	child	child	jatsha	jatsha	j a tsh a	96
