ID	DOCULECT	DATASET	CONCEPT	CONCEPT_IN_SOURCE	CONCEPT_ID	VALUE	FORM	TOKENS	PAGES
1	Santang	Athpahariya	1.	body	body	dziu	dziu	dz iu	101
2	Tekunala	Athpahariya	1.	body	body	dziu	dziu	dz iu	101
3	Guthitar	Athpahariya	1.	body	body	dziu	dziu	dz iu	101
4	Khalde	Athpahariya	1.	body	body	dziu	dziu	dz iu	101
5	Hatiya /Dhan kuta Bazaar	Athpahariya	1.	body	body	dziu	dziu	dz iu	101
1054	Khoku, Dhankuta	Bantawa	1.	body	body	pok	pok	p o k	138
1055	Lungin (Hatuwa)	Bantawa	1.	body	body	jam	jam	j a m	138
1056	Thidingkha, (Amchok)	Bantawa	1.	body	body	jam	jam	j a m	138
1057	Timma, Rimchim	Bantawa	1.	body	body	jam	jam	j a m	138
1058	Okhre, Khena	Bantawa	1.	body	body	pok	pok	p o k	138
2110	Belhara	Belhare	1.	body	body	jiu	jiu	j iu	87
2111	Piple	Belhare	1.	body	body	jiu	jiu	j iu	87
2112	Guthitar	Belhare	1.	body	body	jiu	jiu	j iu	87
2113	Rudra bari	Belhare	1.	body	body	jiu	jiu	j iu	87
2950	Hadunge	Chamling	1.	body	body	bulim	bulim	b u l i m	94
2951	Halesi	Chamling	1.	body	body	bulim	bulim	b u l i m	94
2952	Ratanchha	Chamling	1.	body	body	ram	ram	r a m	94
2953	Balamta	Chamling	1.	body	body	bulim	bulim	b u l i m	94
2954	Aaptar	Chamling	1.	body	body	dziu	dziu	dz iu	94
3997	Chaudhari Tole	Chintang	1.	body	body	dziu	dziu	dz iu	127
3998	Mulgaun	Chintang	1.	body	body	dziu	dziu	dz iu	127
3999	Nangchhuwa	Chintang	1.	body	body	dziu	dziu	dz iu	127
4000	Mangthana	Chintang	1.	body	body	dziu	dziu	dz iu	127
4001	Chambak	Chintang	1.	body	body	dziu	dziu	dz iu	127
5124	Barbhanjyang	Chulung	1.	body	body	Jam	Jam	J a m	116
5125	Gairi	Chulung	1.	body	body	Jam	Jam	J a m	116
5126	Pakha	Chulung	1.	body	body	Jam	Jam	J a m	116
5127	Pokla	Chulung	1.	body	body	Jam	Jam	J a m	116
5128	Suke-ahal	Chulung	1.	body	body	Jam	Jam	J a m	116
6024	Dhimal West	Dhimal	1.	body	body	dziu	dziu	dz iu	92
6025	Dhimal East	Dhimal	1.	body	body	dziu	dziu	dz iu	92
