Grapheme	IPA	Frequency	Examples	Languages
^o	o	25	opatsima//opatsima	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
ʈ	+ ʈ	24	ghuruŋʈina//ghuruŋʈina	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
w	+ w	23	ɦeptshowa//ɦeptshowa	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
ɦ	+ ɦ	20	paɦudeko//paɦudeko	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
^a	a	19	amla//amla	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
ʌi	ʌi	19	tshitsʌi//phrelʌiluŋ	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
^j	j	18	jetshabi//jetshabi	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
mm	+ mm	18	ninamma//ninamma	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
^u	u	18	umnima//umnima	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
kk	+ kk	15	diluŋkhjakka//tsʌkku	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
dh	+ dh	14	lebdhero//lebdhero	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
th	+ th	14	ɦʌthouɗa//ɦʌthouɗa	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
tsh	+ tsh	13	ɦeptshowa//ɦeptshowa	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
^t	t	12	takhlo//tʌmse	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
õ	õ	12	ʈõ//ʈõ	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
^bh	bh	11	bhʌiti//bhʌiti	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
iu$	iu	10	dziu//ɦiu	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
ai$	ai	10	ŋai//ŋai	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
ŋs	+ ŋs	10	suŋseluŋse//suŋseluŋse	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
^ʌi	ʌi	10	ʌiʈako//ʌiʈako	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
ɖ	+ ɖ	10	oɖako//oɖako	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
^dzh	dzh	10	dzhara//dzhara	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
ou	ou	9	ɦʌthouɗa//ɦʌthouɗa	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
ɗ	+ ɗ	9	ɦʌthouɗa//ɦʌthouɗa	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
uĩ$	uĩ	9	ʈuĩ//ʈuĩ	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
bh	+ bh	9	umbhʌr//umbhʌr	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
^ph	ph	8	philu//philu	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
^gh	gh	8	ghuruŋʈina//ghuruŋʈina	Aaptar/Hadunge/Halesi/Balamta
ms	+ ms	6	tʌmse//mamsuŋ	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
dz	+ dz	6	bidzulitsa mkemu//pjadz	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
ui	ui	5	tshutsui//tshutsui	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
ɖh	+ ɖh	5	waɖhamma//waɖham	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
^ã	ã	5	ãp//ãp	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
au$	au	5	kauli//kauli	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
uĩ	uĩ	5	umtshuĩ//umtshuĩ	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
ʉ	ʉ	5	dʉt//dʉt	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
pp	+ pp	5	toroppa//toroppa	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
ls$	ls	5	alseko//alseko	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
ɗh	+ ɗh	5	tsuɗhako//tsuɗhako	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
^h	h	5	hjakka//hjakka	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
ʌĩ$	ʌĩ	5	mʌĩpa//mʌĩpa	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
^dh	dh	5	dhiseko//dhiseko	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
^ɖh	ɖh	5	ɖhalo//ɖhalo	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
mm$	mm	5	imma//imma	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
ã	ã	5	kã//kã	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
jh$	jh	4	tsjhu//tsjhu	Aaptar/Hadunge/Halesi/Balamta
i:$	i:	4	ri://ri:	Aaptar/Hadunge/Halesi/Balamta
+	+ +	2	bidzulitsa mkemu//ʈuŋkh uwa	Ratanchha/Halesi
^dz	dz	1	dziu	Aaptar
^g	g	1	gʌhũ	Aaptar
h	+ h	1	gʌhũ	Aaptar
ũ	ũ	1	gʌhũ	Aaptar
ts$	ts	1	khtsi	Ratanchha
khl	kh l	5	ʈ a kh l o//ʈ a kh l o	
br	b r	5	n a b r o//n a b r o	
^dj	^ d j	5	d j o//d j o	
^lj	^ l j	6	l j a m//l j u r a	
mb	m b	18	s e m b u//s e m b u	
mts	m ts	1	p ʌ m ts u ŋ	
^tsjh	^ ts jh	4	ts jh u//ts jh u	
ptsh	p tsh	4	ɦ e p tsh o w a//ɦ e p tsh o w a	
ml	m l	4	a m l a//a m l a	
sj	s j	1	tsh u s j a	
ŋl	ŋ l	5	ʈ o ŋ l i//ʈ o ŋ l i	
lj	l j	1	ɦ u l j a p a	
rd	r d	9	tsh ʌ r d e//tsh ʌ r d e	
^tshj	^ tsh j	1	tsh j a r a p a	
^khl	^ kh l	14	kh l i//kh l i	
ŋm	ŋ m	24	ʈ u ŋ m a//ʈ u ŋ m a	
bdh	b dh	4	l e b dh e r o//l e b dh e r o	
pt	p t	10	l a p t i kh o//l a p t i kh o	
ŋʈ	ŋ ʈ	9	gh u r u ŋ ʈ i n a//gh u r u ŋ ʈ i n a	
ŋkhj	ŋ kh j	1	d i l u ŋ kh j a kk a	
^bhj	^ bh j	2	bh j a t i//bh j a r	
khj	kh j	4	r u kh j a//r u kh j a	
rm	r m	15	tsh i k u r m a//tsh i k u r m a	
mp	m p	4	m õ m p a//m õ m p a	
mk	m k	6	b i dz u l i ts a + m k e m u//l a m k a th i m a	
pts	p ts	1	n a p ts i b u	
^phr	^ ph r	3	ph r e l ʌi l u ŋ//ph r e l ʌi l u ŋ	
^sj	^ s j	1	s j a m p ui kh a	
lw	l w	1	b a l w a	
kkh	k kh	2	b ʌ k kh a//b ʌ k kh a l u ŋ	
mn	m n	19	u m n i m a//u m n i m a	
ŋp	ŋ p	5	s u ŋ p a//s u ŋ p a	
mbh	m bh	4	u m bh ʌ r//u m bh ʌ r	
ŋkhr	ŋ kh r	4	ʈ u ŋ kh r a//ʈ u ŋ kh r a	
ŋkh	ŋ kh	1	ʈ u ŋ kh + u w a	
^pj	^ p j	5	p j a dz//p j a dz	
nd	n d	5	b ʌ n d a k o p i//b ʌ n d a k o p i	
mtsh	m tsh	5	u m tsh uĩ//u m tsh uĩ	
tshj	tsh j	5	w a tsh j a//w a tsh j a	
ŋk	ŋ k	5	ʈ u ŋ k a m a//ʈ u ŋ k a m a	
^tsj	^ ts j	5	ts j o//ts j o	
rtsh	r tsh	5	s o r tsh a//s o r tsh a	
ls	ls	5	a ls e k o//a ls e k o	
nj	n j	5	kh ui n j o//kh ui n j o	
^hj	^ h j	5	h j a kk a//h j a kk a	
ɦj	ɦ j	5	u ɦ j a kk a//u ɦ j a kk a	
^ɦj	^ ɦ j	10	ɦ j a l o//ɦ j a l o	
kts	k ts	5	m a k ts u p a//m a k ts u p a	
mr	m r	10	s i m r a//s i m r a	
kn	k n	5	i k n a m//i k n a m	
kɦ	k ɦ	5	i k ɦ a k a//i k ɦ a k a	
lkh	l kh	5	kh a l kh a l//kh a l kh a l	
^khr	^ kh r	5	kh r a mm a//kh r a mm a	
mth	m th	5	l a m th i m a//l a m th i m a	
^pl	^ p l	5	p l i m a//p l i m a	
^khts	^ kh ts	1	kh ts i	
tsk	ts k	5	k ʌ ts k a//k ʌ ts k a	
