Grapheme	IPA	Frequency	Examples	Languages
a	a	858	ram//ʈakhlo	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
i	i	358	bulim//bulim	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
m	+ m	316	bulim//bulim	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
u	u	270	bulim//bulim	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
o	o	263	ʈakhlo//ʈakhlo	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
k	+ k	185	ɦikudima//jumakuluŋ	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
e	e	147	tʌmse//lem	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
r	+ r	139	nabro//nabro	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
l	+ l	131	bulim//bulim	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
ŋ	+ ŋ	117	mitsuŋ//mitsuŋ	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
^kh	kh	116	khori//khori	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
p	+ p	109	nadipuŋ//nadipuŋ	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
n	+ n	92	ghuruŋʈina//ghuruŋʈina	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
^m	m	79	mitsuŋ//mitsuŋ	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
^s	s	79	sembu//sembu	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
^n	n	71	nabro//nabro	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
^ɦ	ɦ	71	ɦeptshowa//ɦeptshowa	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
^b	b	66	bulim//bulim	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
ts	+ ts	64	mitsuŋ//mitsuŋ	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
ʌ	ʌ	63	tʌmse//natipʌ	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
j	+ j	63	djo//djo	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
s	+ s	57	tshusja//misam	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
^l	l	54	lem//lem	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
ʌi$	ʌi	52	mʌi//bhʌiti	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
kh	+ kh	51	ʈakhlo//ʈakhlo	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
^p	p	46	pʌmtsuŋ//putipa	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
^ts	ts	43	tsjhu//tsjhu	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
^d	d	41	djo//djo	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
^i	i	40	ikiniko//ikiniko	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
b	+ b	39	nabro//nabro	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
t	+ t	37	natipʌ//laptikho	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
tsh$	tsh	35	jetshabi//jetshabi	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
^ʈ	ʈ	33	ʈakhlo//ʈakhlo	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
^tsh	tsh	32	tshu//tshilima	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
^ŋ	ŋ	30	ŋai//ŋai	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
^k	k	30	kiŋ//kiŋ	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
^w	w	30	waɖhamma//waɖham	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
ui$	ui	26	ɦui//khuinjo	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
^r	r	25	ram//rukhja	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
d	+ d	25	nadipuŋ//nadipuŋ	Halesi/Hadunge/Balamta/Ratanchha/Aaptar
