Grapheme	IPA	Frequency	Examples	Languages
a	a	569	t̺aŋ//t̺aŋ	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
u	u	278	ŋaluŋ//ŋʌluŋ	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
i	i	253	bhŭḍi//tshuksiwa	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
o	o	244	pok//pokh	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
m	+ m	233	t̺aŋmo//t̺aŋmo	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
ʌ	ʌ	217	t̺ʌŋ//ŋalʌŋ	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
n	+ n	179	kuino//kuina	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
ŋ	+ ŋ	155	roŋ//Aŋpoɂk	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
e	e	149	lem//lem	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
r	+ r	116	t̺ʌŋbʌrʌk//t̺uŋboro	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
k	+ k	108	pok//Aŋpoɂk	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
g	+ g	94	aŋgula//mʌɂgri	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
^m	m	85	mõ//mo	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
ɂ	+ ɂ	84	Aŋpoɂk//mʌɂk	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
^ɦ	ɦ	81	ɦoɂn//ɦoɂn	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
^s	s	79	sʌpt̺en//sʌt̺en	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
t̺	+ t̺	70	sʌpt̺en//sʌt̺en	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
p	+ p	63	Aŋpoɂk//tshep	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
^kh	kh	63	khi//khi	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
^l	l	62	lem//lem	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
^p	p	60	pok//pokh	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
l	+ l	58	ŋalʌŋ//ŋaluŋ	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
^n	n	54	naphak//naphʌk	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
^b	b	47	bitsʌkʌln//bʌntsʌro	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
^k	k	45	kɨŋ//kʌŋ	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
s	+ s	45	disa//waskhep	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
b	+ b	43	nabuk//nãbu	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
^tsh	tsh	43	tshukuŋ//tshukphʌ	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
^ts	ts	43	tsʌm//tsala	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
ts	+ ts	43	kutso//kutso	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
^t̺	t̺	40	t̺aŋ//t̺aŋ	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
t	+ t	34	hatkela//silauta	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
kh	+ kh	33	pokh//pokh	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
^a	a	31	aŋgula//ambubu	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
w	+ w	29	ŋʌjʌwa//tshuksiwa	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
tsh	+ tsh	28	nʌmtshʌra//ɦʌrtshoɂmp	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
^i	i	28	indreni//indreni	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
j	+ j	24	ŋaju//ŋʌjʌwa	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
^j	j	23	jʌu//jʌu	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
^d	d	22	dudh//dudh	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
^t	t	22	tᵴhuk//tᵴhuk	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
^w	w	22	waɂluŋ//wʌɂluŋ	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
d	+ d	22	hathaudo//hathaudo	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
tsh$	tsh	22	watshipen//untshut̺	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
ã	ã	20	nãbu//nãbuk	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
ə	ə	20	dəs//dəs	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
h	+ h	19	lohoro//lohoro	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
^ŋ	ŋ	18	ŋalʌŋ//ŋaluŋ	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
ph	+ ph	17	naphak//naphʌk	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
au$	au	16	tsau//tsau	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
^r	r	14	roŋ//ro	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
dh	+ dh	14	dudh//dudh	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
^u	u	14	umpen//untshut̺	Bartole/Tharpu/Dandatole/Bastim
^ph	ph	13	phʌleko//phon	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
ṭ	+ ṭ	13	laŋṭʌk//laŋṭʌk	Tharpu/Dandatole/Bastim/Chaukibari
^e	e	13	egarəh//egarəh	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
ḍ	+ ḍ	12	bhŭḍi//paḍun	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
^ʌ	ʌ	10	ʌmlo//ʌmbuɂlo	Bartole/Chaukibari/Dandatole/Bastim
d̺	+ d̺	10	lad̺ipmn//lad̺ipma	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
mm	+ mm	10	tshereŋnʌmma//ɦimmʌ	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
ẽ	ẽ	10	pẽn//sẽn	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
õ	õ	9	mõ//mõ	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
ui$	ui	9	kuino//kuina	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
^h	h	9	hatkela//hathaudo	Bartole/Chaukibari/Dandatole/Bastim
^ch	ch	8	chano//chano	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
^ḍh	ḍh	8	ḍhari//ḍhiwa	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
^dh	dh	8	dhoka//dhago	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
+	+ +	8	bijuli tsʌmkʌnu//bijuli tsʌmkʌnu	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
ai	ai	8	sʌŋsibait̺buŋ//ɦamai	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
kk	+ kk	7	tsʌkku//tsukko	Chaukibari/Dandatole/Bastim
^d̤	d̤	7	d̤uwã//d̤uwã	Tharpu/Bartole/Bastim/Chaukibari
^c	c	7	cʌmilo//car	Dandatole/Tharpu/Bartole/Chaukibari
nn	+ nn	7	khannuŋgo//khannugo	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
c	+ c	7	hʌlʌca//pãc	Dandatole/Tharpu/Bartole/Chaukibari
^dzh	dzh	7	dzhan//dzhara	Tharpu/Bartole/Bastim/Chaukibari
^bh	bh	6	bhŭḍi//bhent̺a	Bartole/Tharpu/Dandatole/Bastim
^au	au	6	aula//au	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
ks	+ ks	6	tshuksiwa//ŋaksi	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
^g	g	6	gʌr//gʌũ	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
au	au	6	silauta//silauta	Bartole/Tharpu/Bastim/Dandatole/Chaukibari
